# Quest Data for Raids - Naxxramas
# Generated: 2025-08-18 16:56:07
# Total quests: 91
# Comment scrape timestamp: 2025-08-18 17:52:41

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=9117	Belt of Faith	60 Raid	60	Both	Item: Belt of Faith	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Father Inigo Montoy at Light's Hope Chapel in the Eastern Plaguelands will make a Belt of Faith if you bring him the following: 1 Desecrated Belt, 8 Wartorn Cloth Scraps, 2 Arcane Crystals and 2 Mooncloth. Desecrated Belt Wartorn Cloth Scrap (8) Arcane Crystal (2) Mooncloth (2)	You got some missing parts for the quest please go and get them all!	Father Inigo Montoy	Father Inigo Montoy	N/A	N/A	N/A	N/A	N/A
/?quest=9118	Bindings of Faith	60 Raid	60	Both	Item: Bindings of Faith	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Father Inigo Montoy at Light's Hope Chapel in the Eastern Plaguelands will make Bindings of Faith if you bring him the following: 1 Desecrated Bindings, 6 Wartorn Cloth Scraps, 1 Arcane Crystal and 1 Nexus Crystal. Desecrated Bindings Wartorn Cloth Scrap (6) Arcane Crystal Nexus Crystal	You got some missing parts for the quest please go and get them all!	Father Inigo Montoy	Father Inigo Montoy	N/A	N/A	N/A	N/A	N/A
/?quest=9084	Bonescythe Bracers	60 Raid	60	Both	Item: Bonescythe Bracers	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands will make Bonescythe Bracers if you bring him the following: 1 Desecrated Bracers, 6 Wartorn Leather Scraps, 1 Arcanite Bar, 2 Cured Rugged Hides and 10 gold pieces. Desecrated Bracers Wartorn Leather Scrap (6) Arcanite Bar Cured Rugged Hide (2) Required Money: 10	How do you expect me to get anything done without the items I requested?	Rohan the Assassin	Rohan the Assassin	About your obvous interest in the ring, Ill shed some light on how to obtain each classes ring. Unlike the rest of the set, the ring is the only item that is not crafted or a material turn in. Kel'Thuzad, the final boss of Naxxramas drops the class rings, I believe two rings at a time, (think Onyxia with the tier 2 helms.). I hope this helps, I have been doing extensive research into Tier 3 and its process of obtainment. Ill post more once I gather more information. Have a nice day. (May see a duplicate post, I posted this after I was not able to see my reply.)	The Bonescythe set is a 9 piece set that is quite awesome imo, but the mats needed to craft it are insane. I can't seem to find the mats needed for the ring, nor does it seem to exist in allakhazam's or thott's data bases. However, I made notes of what things are needed for everything but. All in all you'll need 5 nexus crystals, 42 cured rugged hides, 5 arcanite bars, 106 wartorn leather scraps (which drop from random mobs inside Naxx), and a whopping 485 gold. Again, I'm not sure what the ring needs but it's probably just a few additions to the mats I listed already. (give or take a nexus crystal) Oh...I almost forgot to mention that you'll need each specific slot item (i.e. head/chest/shoulder/wrist....ect.) called Desecrated *slot*. In conclusion, you're looking at about 2 epic mounts worth of materials to have this set created for you. Happy hunting!	imba	http://www.worldofraids.com/v2/?page=t3&rub=mat Dumb !@$s!	How much does it cost?
/?quest=9077	Bonescythe Breastplate	60 Raid	60	Both	Item: Bonescythe Breastplate	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands will make a Bonescythe Breastplate if you bring him the following: 1 Desecrated Breastplate, 25 Wartorn Leather Scraps, 2 Arcanite Bars and 6 Cured Rugged Hides. Desecrated Breastplate Wartorn Leather Scrap (25) Arcanite Bar (2) Cured Rugged Hide (6)	You got some missing parts for the quest please go and get them all!	Rohan the Assassin	Rohan the Assassin	giev plx	N/A	N/A	N/A	N/A
/?quest=9082	Bonescythe Gauntlets	60 Raid	60	Both	Item: Bonescythe Gauntlets	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands will make Bonescythe Gauntlets if you bring him the following: 1 Desecrated Gauntlets, 8 Wartorn Leather Scraps, 1 Arcanite Bar and 5 Cured Rugged Hides. Desecrated Gauntlets Wartorn Leather Scrap (8) Arcanite Bar Cured Rugged Hide (5)	How do you expect me to get anything done without the items I requested?	Rohan the Assassin	Rohan the Assassin	N/A	N/A	N/A	N/A	N/A
/?quest=9079	Bonescythe Helmet	60 Raid	60	Both	Item: Bonescythe Helmet	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands will make a Bonescythe Helmet if you bring him the following: 1 Desecrated Helmet, 15 Wartorn Leather Scraps, 8 Cured Rugged Hides, 1 Nexus Crystal and 75 gold pieces. Desecrated Helmet Wartorn Leather Scrap (15) Cured Rugged Hide (8) Nexus Crystal Required Money: 75	You got some missing parts for the quest please go and get them all!	Rohan the Assassin	Rohan the Assassin	Atleast you don't need rep to go along with it, like AQ40 or ZG.	i thot the sets would be drops instead of quest rewards....BOOOO!	Think of it like this, the bosses that drop the 'desecrated ....' would be the bosses who dropped the set pieces, so in a way they are, you just need to get a pile of other mat's to finish them.	N/A	N/A
/?quest=9078	Bonescythe Legplates	60 Raid	60	Both	Item: Bonescythe Legplates	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands will make Bonescythe Legplates if you bring him the following: 1 Desecrated Legplates, 20 Wartorn Leather Scraps, 1 Arcanite Bar, 8 Cured Rugged Hides and 100 gold pieces. Desecrated Legplates Wartorn Leather Scrap (20) Arcanite Bar Cured Rugged Hide (8) Required Money: 100	<Rohan laughs.>I just realized the irony in all of this.	Rohan the Assassin	Rohan the Assassin	N/A	N/A	N/A	N/A	N/A
/?quest=9080	Bonescythe Pauldrons	60 Raid	60	Both	Item: Bonescythe Pauldrons	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands will make Bonescythe Pauldrons if you bring him the following: 1 Desecrated Pauldrons, 12 Wartorn Leather Scraps, 5 Cured Rugged Hides, 1 Nexus Crystal and 50 gold pieces. Desecrated Pauldrons Wartorn Leather Scrap (12) Cured Rugged Hide (5) Nexus Crystal Required Money: 50	<Rohan eyes you suspiciously.>Been to Tyr's Hand lately?	Rohan the Assassin	Rohan the Assassin	Your a Druid Shut up and heal me...	Lol noob, Lovykar.	Always the same! Druids want to be rogues and palis want to be tanks. Just STFU and if you arent happy with your class, reroll.	N/A	N/A
/?quest=9081	Bonescythe Sabatons	60 Raid	60	Both	Item: Bonescythe Sabatons	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands will make Bonescythe Sabatons if you bring him the following: 1 Desecrated Sabatons, 12 Wartorn Leather Scraps, 3 Cured Rugged Hides, 2 Nexus Crystals and 25 gold pieces. Desecrated Sabatons Wartorn Leather Scrap (12) Cured Rugged Hide (3) Nexus Crystal (2) Required Money: 25	Just bring me the materials and stop wasting my time, <class>.	Rohan the Assassin	Rohan the Assassin	Too bad the stuff is so expensive on our server <	N/A	N/A	N/A	N/A
/?quest=9083	Bonescythe Waistguard	60 Raid	60	Both	Item: Bonescythe Waistguard	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Rohan the Assassin at Light's Hope Chapel in the Eastern Plaguelands will make a Bonescythe Waistguard if you bring him the following: 1 Desecrated Waistguard, 8 Wartorn Leather Scraps, 5 Cured Rugged Hides, 1 Nexus Crystal and 15 gold pieces. Desecrated Waistguard Wartorn Leather Scrap (8) Cured Rugged Hide (5) Nexus Crystal Required Money: 15	How do you expect me to get anything done without the items I requested?	Rohan the Assassin	Rohan the Assassin	N/A	N/A	N/A	N/A	N/A
/?quest=9113	Circlet of Faith	60 Raid	60	Both	Item: Circlet of Faith	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Father Inigo Montoy at Light's Hope Chapel in the Eastern Plaguelands will make a Circlet of Faith if you bring him the following: 1 Desecrated Circlet, 15 Wartorn Cloth Scraps, 3 Mooncloth and 3 Nexus Crystals. Desecrated Circlet Wartorn Cloth Scrap (15) Mooncloth (3) Nexus Crystal (3)	You got some missing parts for the quest please go and get them all!	Father Inigo Montoy	Father Inigo Montoy	N/A	N/A	N/A	N/A	N/A
/?quest=9058	Cryptstalker Boots	60 Raid	60	Both	Item: Cryptstalker Boots	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Huntsman Leopold at Light's Hope Chapel in the Eastern Plaguelands will make Cryptstalker Boots if you bring him the following: 1 Desecrated Boots, 12 Wartorn Chain Scraps, 1 Arcanite Bar and 3 Nexus Crystals. Desecrated Boots Wartorn Chain Scrap (12) Arcanite Bar Nexus Crystal (3)	You got some missing parts for the quest please go and get them all!	Huntsman Leopold	Huntsman Leopold	N/A	N/A	N/A	N/A	N/A
/?quest=9060	Cryptstalker Girdle	60 Raid	60	Both	Item: Cryptstalker Girdle	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Huntsman Leopold at Light's Hope Chapel in the Eastern Plaguelands will make a Cryptstalker Girdle if you bring him the following: 1 Desecrated Girdle, 8 Wartorn Chain Scraps, 1 Arcanite Bar and 3 Nexus Crystals. Desecrated Girdle Wartorn Chain Scrap (8) Arcanite Bar Nexus Crystal (3)	You got some missing parts for the quest please go and get them all!	Huntsman Leopold	Huntsman Leopold	first. oh, and....er....pally gear?	N/A	N/A	N/A	N/A
/?quest=9059	Cryptstalker Handguards	60 Raid	60	Both	Item: Cryptstalker Handguards	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Huntsman Leopold at Light's Hope Chapel in the Eastern Plaguelands will make Cryptstalker Handguards if you bring him the following: 1 Desecrated Handguards, 8 Wartorn Chain Scraps, 1 Arcanite Bar and 5 Cured Rugged Hides. Desecrated Handguards Wartorn Chain Scrap (8) Arcanite Bar Cured Rugged Hide (5)	You got some missing parts for the quest please go and get them all!	Huntsman Leopold	Huntsman Leopold	N/A	N/A	N/A	N/A	N/A
/?quest=9056	Cryptstalker Headpiece	60 Raid	60	Both	Item: Cryptstalker Headpiece	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Huntsman Leopold at Light's Hope Chapel in the Eastern Plaguelands will make a Cryptstalker Headpiece if you bring him the following: 1 Desecrated Headpiece, 15 Wartorn Chain Scraps, 4 Arcanite Bars and 2 Nexus Crystals. Desecrated Headpiece Wartorn Chain Scrap (15) Arcanite Bar (4) Nexus Crystal (2)	You got some missing parts for the quest please go and get them all!	Huntsman Leopold	Huntsman Leopold	do you have to be honored by dawn?	who gives this quest?	N/A	N/A	N/A
/?quest=9055	Cryptstalker Legguards	60 Raid	60	Both	Item: Cryptstalker Legguards	Raids	Additional requirements to obtain this quest: Your reputation with Argent Dawn must be at least Honored Huntsman Leopold at Light's Hope Chapel in the Eastern Plaguelands will make Cryptstalker Legguards if you bring him the following: 1 Desecrated Legguards, 20 Wartorn Chain Scraps, 3 Arcanite Bars and 5 Cured Rugged Hides. Desecrated Legguards Wartorn Chain Scrap (20) Arcanite Bar (3) Cured Rugged Hide (5)	You got some missing parts for the quest please go and get them all!	Huntsman Leopold	Huntsman Leopold	N/A	N/A	N/A	N/A	N/A
