# Quest Data for Dungeons - Scholomance
# Generated: 2025-08-18 16:53:32
# Total quests: 12
# Comment scrape timestamp: 2025-08-18 17:16:13

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5341	Barov Family Fortune	60 Dungeon	52	Horde	6600 XP	Dungeons	Venture to the Scholomance and recover the Barov family fortune. Four deeds make up this fortune: The Deed to Caer Darrow; The Deed to Brill; The Deed to Tarren Mill; and The Deed to Southshore. Return to Alexi Barov when you have completed this task. The Deed to Brill The Deed to Caer Darrow The Deed to Southshore The Deed to Tarren Mill	Bow your head in my presence, <race>. I am a noble, after all, and you are a copperless peasant.	Alexi Barov	Alexi Barov	Just did it 5 man. Shaman, Warlock, Druid and 2x hunters. This was really great fun. No warrior, priest or mage. And the deeds are to be found: The first is in the first big room you enter. Some groups needs to be killed before you can gain acces to it. Its in a corner to the left. (Deed to Southshore) The second is on a table right before where you can run down to Jandice Barov. Left to the stairs. (Deed to Tarren Mill) The third is by Ras Frostwhisperer on a table on the right side of the room. (Deed to Brill) The fourth is behind lord Alexei Barov. (Deed to Caer Barov)	Deed to South Shore: in the large room after you cross the bridge from the instance portal. It's in a small corner next to a bookshelf on top of a desk. Deed to Tarren Mill: It's on a desk to the right corner of the room before Dragon whelps. Deed to Brill: In the room where Ras Frostwhisper, the lich is. Deed to Caer Darrow: In the room where Lord Alexi Barov is. It is one of the Six r oom with mini bosses at the bottom side.	Aye, if he's not there it means the opposing side has offed him for their quest line.He respawns in 10 mins or so.You will find him on the right hand side of the bulwark if you are travelling from UC.He stands in front of the first tent.	Alexi Barov was located east of the zeplin tower, just before the bulwark.&nbsp On the right hand side, or at least that's where I found him, hope this helps.	Quest is actually worth 14300xp for the horde also
/?quest=5343	Barov Family Fortune	60 Dungeon	52	Alliance	6600 XP	Dungeons	Venture to the Scholomance and recover the Barov family fortune. Four deeds make up this fortune: The Deed to Caer Darrow; The Deed to Brill; The Deed to Tarren Mill; and The Deed to Southshore. Return to Weldon Barov when you have completed this task. The Deed to Brill The Deed to Caer Darrow The Deed to Southshore The Deed to Tarren Mill	Bow your head in my presence, <race>. I am a noble, after all, and you are a copperless peasant.	Weldon Barov	Weldon Barov	Deed to South Shore: in the large room after you cross the bridge from the instance portal. It's in a small corner next to a bookshelf on top of a desk. Deed to Tarren Mill: It's on a desk to the right corner of the room before Dragon whelps. Deed to Brill: In the room where Ras Frostwhisper is at. He is a Lich. Deed to Caer Darrow: In the room where Lord Alexi Barov is. It is one of the Six room with mini bosses at the bottom side.	The only deed that tends to be difficult to get to is the deed to Southshore. It is in the NW corner of the first room after you open the first gated door. The reason it can be difficult is that fear can end up being a huge problem, as groups of enemies are relatively close together. But if all goes well you should only have to clear about 3 extra groups (meaning groups you wouldn't need to kill if you were skipping this room) in order to get to it.	There is a helpful map of scholo here: [url=http://www.worldofwar.net/cartography/instances/scholomance.php]http://www.worldofwar.net/cartography/instances/scholomance.php[/url] It specifies where the four deeds are, among other things. (I hope this link works.)	we did it today with 5 man, all was pretty easy until alexei, we couldnt kill him with the adds so the only way was for someone to draw aggro and run up the stairs and others loot deed. hope this helps	Got into a group last night, 60 warrior, 60 druid, 60 mage, 60 shaman, 60 rogue. right after we killed rotgut our rogue had 'mom agg' and had to leave, we ended up 4 manning the rest of the instance , until the headmaster that is... It was alot of fun to 4 man Scholo, Alexi was the toughest but our warrior kited him while the druid bear formed the guards with the shaman healing and the mage nukung.&nbsp Gandling is definately 5 man material tho.&nbsp It's all about the group set up, like everyone has said before
/?quest=5531	Betina Bigglezink	60 Dungeon	57	Both	1650 XP	Dungeons	Bring the Frozen Eggs to Betina Bigglezink. Frozen Eggs Provided Item: Frozen Eggs	Hello, <name>! I heard you were here with some dragon eggs? Well, let's see them!	Leonid Barthalomew the Revered	Betina Bigglezink	1 L52 [url=https://classicdb.ch/quest=4726]Broodling Essence[/url] 2 L54 [url=https://classicdb.ch/quest=4808]Felnok Steelspring[/url] 3 L54 [url=https://classicdb.ch/quest=4809]Chillwind Horns[/url] 4 L54 [url=https://classicdb.ch/quest=4810]Return to Tinkee[/url] 5 L60 [url=https://classicdb.ch/quest=4907]Tinkee Steamboil[/url] 6 L60 [url=https://classicdb.ch/quest=4734]Egg Freezing[/url] 7 L60 [url=https://classicdb.ch/quest=4735]Egg Collection[/url] 8 L60 [url=https://classicdb.ch/quest=5522]Leonid Barthalomew[/url] 9 L60 [url=https://classicdb.ch/quest=5531]Betina Bigglezink[/url] 10 L60 [url=https://classicdb.ch/quest=4771]Dawn's Gambit[/url]	where does it go from here?	N/A	N/A	N/A
/?quest=4771	Dawn's Gambit	60 Dungeon	57	Both	9950 XP | Pick: [Windreaper, Dancing Sliver]	Dungeons	Place Dawn's Gambit in the Viewing Room of the Scholomance. Defeat Vectus, then return to Betina Bigglezink. Place Dawn's Gambit Provided Item: Dawn's Gambit	Remember, <name> - we must be tolerant yet rigid in our beliefs!	Betina Bigglezink	Betina Bigglezink	The first time I dropped the gambit in the viewing room I got a little tingle. I do love this quest. If you have never took time to do it you should!	This quest is part of a long chain that begins in the [url=?zone=46]Burning Steppes[/url] with the quest [url=?quest=4726]Broodling Essence[/url] from [url=?npc=10267]Tinkee Steamboil[/url]. After completing the quest, you can return to Betina Bigglezink at Light's Hope Chapel to get more gambits to activate [url=?npc=10432]Vectus[/url].	Is there any follow-up ? Edit: It looks like, there is no follow-up. Does it give any kind of reputation ? Edit: It gives a significant amount of reputation (if I remember right, 200) for Argent Dawn, of course. If I complete the quest, can I get another Dawn's Gambit (For farming Vectus)? Edit: If you complete the quest, you can ask for another box, so, Vectus is farmable.	Axe sold for over 5g :) When our group activated Dawn's Gambit, we did it in a far corner.&nbsp The room aggros and if you're in the middle they *all* aggro on you.&nbsp If you're in a corner, part of them attack immediately and then you can pull them in batches after that.&nbsp The mobs are pretty brittle and drop fast, but they can zerg you and overwhelm if you're not careful.	1 L52 [url=https://classicdb.ch/quest=4726]Broodling Essence[/url] 2 L54 [url=https://classicdb.ch/quest=4808]Felnok Steelspring[/url] 3 L54 [url=https://classicdb.ch/quest=4809]Chillwind Horns[/url] 4 L54 [url=https://classicdb.ch/quest=4810]Return to Tinkee[/url] 5 L60 [url=https://classicdb.ch/quest=4907]Tinkee Steamboil[/url] 6 L60 [url=https://classicdb.ch/quest=4734]Egg Freezing[/url] 7 L60 [url=https://classicdb.ch/quest=4735]Egg Collection[/url] 8 L60 [url=https://classicdb.ch/quest=5522]Leonid Barthalomew[/url] 9 L60 [url=https://classicdb.ch/quest=5531]Betina Bigglezink[/url] 10 L60 [url=https://classicdb.ch/quest=4771]Dawn's Gambit[/url]
/?quest=5382	Doctor Theolen Krastinov, the Butcher	60 Dungeon	55	Both	6600 XP	Dungeons	Find Doctor Theolen Krastinov inside the Scholomance. Destroy him, then burn the Remains of Eva Sarkhoff and the Remains of Lucien Sarkhoff. Return to Eva Sarkhoff when the task is complete. Doctor Theolen Krastinov slain Remains of Eva Sarkhoff Burned Remains of Lucien Sarkhoff Burned	The Butcher must be stopped!	Eva Sarkhoff	Eva Sarkhoff	Once the butcher is dead, look to each sides of the room, you will see piles of flesh. These are the remains of Eva Sarkhoff and her husband. Get rid of them and you will complete the quest.	We were able to stealth all three missions in this quest chain, multiple times, with various combos of rogues and druids. Here are some tips if you want to try stealthing it. Some of these comments were mentioned above as well. [b]Group[/b] Both four rogues and one druid, or three rogues and two druids works well. I personally prefer 4 and 1 and then the druid focuses on healing. The extra druid does not add much since the bear can't hold aggro and therefore it is better to have a 4th DPS rather than a second healer. You can get away with 58 rogues if they have talent points for master of deception. I think it's best to have 60 druids since they are spotted far more often. [b]Preparation[/b] To save time, make sure everyone knows to bring lots of heals, bandages, and the druids need mana type pots etc. You will burn through a lot of them and it sucks to get half way and run out of supplies. Usually a few people get to the instance early...get the early rogues to open the four doors that lead to Rattlegore. This saves a lot of time once everyone arrives. Unlock, Vanish, Prep, repeat or die and repeat. Opening the first four doors is not hard, expecially if the people don't mind dying. We found that it saved the most time to meet back at the bridge on the start and clear the four guards...the druids get seen by them too often and it helps to have them removed when getting through the locked door. [b]Rattlegore[/b] Get to rattlegore stealthed and have one rogue do the pulling. Thin the mobs just like regular 5 man play but if the puller gets an Add, he should vanish in Rattles room and then try again. If he vanishes late, the druid is going to get targettted and die. If you try and fight Rattle and an Add, it's 98% chance of wipe, so just vanish and save time. Do not let anyone grab the key. Tell the group that YOU are the only one who is gonna take the key or your closest guildmate. People burn out fast when dying and then quit the group with the key which sucks incredibly. Anyone can take the key if people look at it and leave it...then it is visible to all. Get the key! [b]The Locked Door[/b] As stated above, there are two ways to open this door. Have the entire group come back to the starting bridge and wait. Now make a choice...try an unstealthed sprint jump to the top of the door and attempt unlocking, or two people jump down stealthed, one unstealths and runs, uses evasion and a heal to pull aggro and the other stealthed person (you since you have the key) unlocks the door. The first method sounds all fancy and cool, but it goes bad so often that it is just 100 times simpler to use the suicide pull aggro method. Even if you make the door sill jump, you often get tons of aggro from below anyways and get interupted on each open attempt. [b]Butcher[/b] Now everyone can get to the butcher room. Pull normally to the doorway to clear the room and explain to new players about the green smoke. Also tell new players that if they die during the butcher fight, do not release, so they get credit for his death. Make sure people whack the meat in the corners too. Then everyone exists, cashes in the quest and grabs Bag of Horrors aka Jandice. [b]Jandice[/b] Again you will have to make a choice, either clear one side of the hall to get to Jandice like normal 5 man, or everyone stealth to her and hide in the back of her room. We found that druids were just easier to spot and so it was hard to get them to Jandice. With 5 people, usually someone gets spotted trying to do the super mario stealth tricks, and so we decided just to clear. I think it is technically possible to stealth to her though since I attacked her solo once as a test and did not pull aggro into the room. If you clear the hall, work quickly, pulling back to the door for the group. Do not dilly dally because by the time you get to her, the room starts respawning and then it's pure hell and everyone wants to quit. When you get to her, and she splits into 10, stay calm since you don't have to beat up all ten, just find her and the extras will fade. If you are successful, again everyone exists and cashes in the quest and grabs Kirtonos and blood of innocence. [b]Kirtonos[/b] This is straight forward like regular 5 man. We find it is easiest to group in the lower left corner beside the stairs all together. Then bouncing is minimized and DPS is maximized since time is not wasted getting back too him. I used to group at the back gate until I got bounced through the gate and into the room full of angry casters. lol [b]Other Tips[/b] Stuns are your friend. You can't cheap shot every boss but you can kidney almost all of them. Have the rogues ready to stun as much as possible and to space the stuns out so you go kind of in order to maximize the frozen time of the boss you are attacking. Oil of Immulsion is very handy. Many people have never tried the oil but it is great AOE for someone who can't AOE. We like to take 10 each when trying all three quests. The four attackers use 1-2 per boss. This is 1000-2000 more damage on the target and often makes the difference if you are going to live or die in a close fight. If your armor goes yellow, you or others can run to Chillwind for fast armor repair. These quests are especially worthwhile if you are an alchemist since the spectral essence lets you buy major mana and transmute water to air on a 24 hour timer. This quest series is also important if you are a rogue wanting the darrow spike dagger quest series which follow. Hope these tips were useful for those wanting to try the three quests stealthed.	Both remains are in the same room as the doctor, just off to the side. Looking back on it now, I can't believe I missed them.	If you Guys would just read the messages instead of posting the same question 20 times, this page would be much smaller... As mentioned above, the remains lie in the same room as the butcher...Just look a bit around, and you'll find 2 spots where your mouse pointer changes into a Cog wheel. Just click it, and quest is finished.	[b]'The Butcher'[/b] sounds like a Diablo 1 reference, the first boss to me.
/?quest=5582	Healthy Dragon Scale	58 Dungeon	55	Both	550 XP	Dungeons	Bring the Healthy Dragon Scale to Betina Bigglezink at the Light's Hope Chapel in Eastern Plaguelands. Healthy Dragon Scale Provided Item: Healthy Dragon Scale	<name>, do you have something to show me?	Healthy Dragon Scale	Betina Bigglezink	You can only loot the scales after you have completed https://classicdb.ch/?quest=5529, and is begun by the scale which drops off of plagued hatchlings.	You have to finish [url=https://classicdb.ch/quest=5529]Plauged Hatchlings[/url], first, or you can't see the healthy scales.	These give [b]50[/b] Points of Reputation per turn-in according to the UI mod 'Reputation'. [url=http://www.wowwiki.com/Reputation_Mod]http://www.wowwiki.com/Reputation_Mod[/url] - Best Reputation Mod there is. -Owl	After finishing the 'Plagued Hatchlings' Quest the white scales will drop randomly from the Hatchlings. 2-3 Scales per run in average.	When I click on this it sais: 'You don't meet the requirements for that quest'. It sais 'Requires Level 55' and I'm level 60, am I too high level?
/?quest=5384	Kirtonos the Herald	60 Dungeon	55	Both	8300 XP | Pick: [Penelope's Rose, Mirah's Song] | Item: Spectral Essence	Dungeons	Return to the Scholomance with the Blood of Innocents. Find the porch and place the Blood of Innocents in the brazier. Kirtonos will come to feast upon your soul. Fight valiantly, do not give an inch! Destroy Kirtonos and return to Eva Sarkhoff. Kirtonos the Herald slain Provided Item: Blood of Innocents	Be wary, Kirtonos is a seasoned fighter.	Eva Sarkhoff	Eva Sarkhoff	If you fail this quest, you can abandon and re-take it. You [b]Will need to reset[/b] the instance to 'summon' Kirtonos again. I managed to solo up to Kirtonos the Herald late one night (shadow priest) - and stayed in the instance until guildies came on in the morning - all the while i was running back and forth keeping the path clear by taking out the mobs as they respawned. (used a lot of spare armour bits and ran out of food and water though). I gave a shout, guildies came down and ran straight through to help me kill Kirtonos the Herald. He is in this room that has a big window overlooking the lake. (just off of the Chamber of Summoning). Would of gone smoothly but he has some kind of kick - or knockedback, and right near the end as he only had a little smudge of health left - he knocked me straight out the room into the lake. Next thing i know as im typing 'i got knocked out the room' - the other priest comes flying out too. (git). So beware his knockback effect. I had to abandon the quest and re-take it to get more blood, and reset the instance to get Kirtonos to respawn. 2nd attempt we had a pet (bat) tank him as we did very slow dps, with me pw shielding the bat, and the other priest healing the bat. Didn't see any kind of knockback the second time... In response to TiznaraN - you equip the [url=https://classicdb.ch/?i=Spectral%20Essence]Spectral Essence[/url] to see the ghosts in Caer Darrow, this lets you talk to an npc called Magistrate Marduke just outside of the instance entrance, who then gives you the Ras Frostwhisper quest. Step 1: The Human, Ras Frostwhisper [url=https://classicdb.ch/quest=5461]https://classicdb.ch/quest=5461[/url] (go to Arathi and find [url=https://classicdb.ch/?i=Keepsake%20of%20Remembrance]Keepsake of Remembrance[/url]. Then... Step 2: The Dying, Ras Frostwhisper Step 3: Menethil's Gift Step 4: Menethil's Gift Step 5: Soulbound Keepsake Step 6: The Lich, Ras Frostwhisper	When you get to this quest and summon Kirtonos. If he DOES NOT DROP Boots of Valor, then ABANDON the quest and talk to the spirit outside Scholomance and she will give u the quest AGAIN and ANOTHER BLOOD OF INNOCENTS. So u can summon him over and over until he drops ur Boots of Valor, and then turn in the quest. I didnt dawn on me to do that until after i turned in the quest and now its the last piece i need and have to rely on others that are on that part to summon him for my boots. Or i can kill 3 mobs in Scholomance for a chance they will drop another blood, Krastinov The Butcher, Jandice Barov (pain in the ars to get to) and the Blood Steward of Kirtonos who is in the first room u get to in the far right corner (looks like a Succubus (chic with wings)).	U don't need to repeat the quest... When u have copleted it u just need to kill the succubus in the first room and she'll dropps the blood 100% !	Pretty fun (and easy) quests overall. The Spectral Essence is the trinket that allows you to see the vendor (https://classicdb.ch/?npc=11278) in the little town outside Scholomance. The vendor carries the Major Mana recipe, as well some others ( https://classicdb.ch/?npc=11278M0zc ). So, if Gandling hasn't dropped the recipe for you yet, you can still purchase it if you don't feel like getting robbed at the auction house. :)	slaire, yes you do get both the trinket and a choice between one of the blues
/?quest=5515	Krastinov's Bag of Horrors	60 Dungeon	55	Both	6600 XP	Dungeons	Locate Jandice Barov in the Scholomance and destroy her. From her corpse recover Krastinov's Bag of Horrors. Return the bag to Eva Sarkhoff. Krastinov's Bag of Horrors	<Eva fades in and out of focus.>	Eva Sarkhoff	Eva Sarkhoff	Why do people find it necessary to criticize everything that someone says here? I read the comments to find out relevant information and 9 times out of 10 they turn into flame wars or debates on some completely unrelated/unimportant topic. Then, there are the posters like n00blets who decide to drop a 'rofl' and degrade someone because it took them a little longer to complete an instance. Perhaps it took him 4 hours because he cleared every mob in the instance instead of making a mad dash for the bosses. Maybe he got a phone call and had to take a break... Maybe you're full of s**t and it really took you 5 hours but you're trying to over-compensate for your... short-comings. No one is impressed. Arrogant prick. I hate people!	here's the scoop on jandice those of you who've wiped in 5 and even 10 man groups against her will be surprised to learn she isn't that tough. it's the illusions that make this hard. just before jandice disappears, she does an AOE curse on everyone within 10-15 yards. that curse is key. her illusions do very small damage, but that curse increases their damage significantly. make sure you have a druid or mage. tell the druid or mage that removing the curses is their PRIORITY for the fight. the illusions can only be killed with PHYSICAL damage. arcane explosion, hellfire, etc. WILL NOT work here. druids' swipe, warriors' thunderclap, etc., WILL work. the good news: these illusions have like, no hit points. one hit kills them. i can't be certain, but it appears that after a certain amount of time OR if you kill enough illusions, jandice comes back. she seems to spawn illusions at certain points as her health bar falls. thus stunning her repeatedly (she is stunnable) is a good idea. in sum: remove those curses, do physical damage to illusions. stun her as much as you can. make sure your tank continues to do '/tar jandice' or '/target jandice' when he/she loses her. gg jandice.	During the fight with Jandice, she will spawn a large number of clones that do not take damage. A few useful tips: 1) Use the 'V target' interface option so that nameplates show up above enemy NPCs. When Jandice clones, only her true form will have the name plate. DPS should target that instance. 2) Have a tank to an AoE taunt like demoralizing shout. Make sure not to AoE the clones, because once the tank loses aggro on a large number of them, it's going to be difficult to get them all off of whatever person aggroed them.	The easiest way to kill Jandice, Mage decurse, warrior tank in battle stance and thunder clap adds, and everyone else dps/stun jandice.&nbsp The easiest way to target her is to just hit V on your keyboard so the health bar will appear above the mobs heads.&nbsp In doing so, when she reappears, she is the only one with health over her head.	Simply put up a mark on her head, and there won't be a problem. Same way like AQ40 (Skeram :P).. and I know that the comments were posted 6 months ago, when the mark system did not exist. :P
/?quest=5529	Plagued Hatchlings	58 Dungeon	55	Both	6200 XP	Dungeons	Kill 20 Plagued Hatchlings, then return to Betina Bigglezink at the Light's Hope Chapel. Plagued Hatchling slain (20)	Get to the Scholomance, <name>. Take out those plagued hatchlings before they grow!	Betina Bigglezink	Betina Bigglezink	for people that dont know how to use this site--- Darrowmere Lake is in the Western plaguelan, the map cord on that map are-- 69.75 to middle of the lake where there is a sland	Pre-quest for the quest http://classicdb.ch/?quest=5582 You must do this quest in order to get the one in the link	As of patch 2.3 Pre-quest is not needed.	This quest gives reputation with the Argent Dawn.&nbsp If you're in a 5-man group in Scholo, you might as well do this, it's one of the easier areas in Scholo anyway.	This quest leads to alot of&nbsp quests. It ends up branching up to 3 different quests.
/?quest=8969	The Left Piece of Lord Valthalak's Amulet	60 Dungeon	58	Both	8300 XP	Dungeons	Use the Brazier of Beckoning to summon forth the spirit of Kormok and slay him. Return to Bodley inside Blackrock Mountain with the Left Piece of Lord Valthalak's Amulet and the Brazier of Beckoning. Kormok slain Left Piece of Lord Valthalak's Amulet Brazier of Beckoning Provided Item: Brazier of Beckoning	I commend you, <name>, if you have returned with the left piece of the amulet. If not, however, please take care of that as there is no time to waste, I assure you!	Bodley	Bodley	is 'in front of his master Ras Frostwhisper' the pint where this person needs to be summoned froom ? thank you for any reply	Clear the room and just use the brazier anywhere in the room, but buff up first. I tanked this as a prot paladin. Like most are saying, just nuke him into oblivion. You're on the downhill slope of the chain!	Didn't even notice his adds.&nbsp Just dps komok down and you are done.	this guys is a &*!@ if u dont have enuff dps, %^&*ing wipe 3 times already. mostly b.c my grp was filled with noobs with $%^ gear, also there was a noob rogue and pallie. Heres the forumla for sucess 1 decently geared Prot Warror who knows how to play thier class 1 decently geared mage who knows how to play thier class 1 decently gear hunter who knows how to play thier class (or just Two WarLOCKS) 1 decently gear lock who knows how to play thier class (OR TWO DECENTLY GEARED WARLOCKS WHO KNOW HOW TO PLAY THIER CLASS) Oh and then me, a Fairly decently geared Priest who knows how to play his class and is sick and @$%ing tired of $%^ casual players who need to L2P	[DELETED] see: [ [npc=16118] ] Edited, Wed Apr 19 04:08:53 2006
