# Quest Data for World Events - Children's Week
# Generated: 2025-08-18 17:03:18
# Total quests: 17
# Comment scrape timestamp: 2025-08-18 17:54:32

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=171	A Warden of the Alliance	60	10	Alliance	1650 XP | Pick: [Piglet's Collar, Rat Cage, Turtle Box, Curmudgeon's Payoff]	World Events	Watcher Callahan wants you to kill 12 Rabid Dire Wolves. Rabid Dire Wolf slain (15)	N/A	Watcher Callahan	Orphan Matron Nightingale	I think an Orphan Hide Bag would've been a worthy reward. :P	For the roleplayers: it's about the children For some of us: it's about REPUTATION! -first 3 quests: 50 rep each for all [alliance/horde] factions. -next 2 quests: 75 rep each for all [alliance/horde] factions. -final turn in: 200 rep each for all [alliance/horde] factions. (assuming you dont chose the gold bag, which is supposed to decrease your rep) ------------------------------- Total: 500 reputation with all of your team's factions. Sure you can get the experience easier somewhere else, but where can you get the rep?&nbsp Also can be done prior to level 60 so for a low enough character even the experience can't be gotten easier.	Ok, this quest isn't all that difficult, at least not if you already have the flightpoints. During Children's Week, pick up your orphan from the matron in the Cathedral District of Stormwind. Place the whistle in an action bar and pull him out only when completing another leg of the quest, otherwise keep him tucked away. Fly from SW to Sentinel Hill and ride out to the lighthouse on an island just off of the beach. (Past Moonbrook. Same place you encountered the ghost captain many levels ago. Beyond Sark and Old Murk-Eye.) Pull your orphan out AFTER it tells you the quest is complete. (He doesn't need to be out to complete these SW orphan quests... tho he will have to be out for at least one leg of the Shatt orphan quests which are not related.) Talk to your orphan to finish it off and tuck him away again. Ride back to the bird in Sentinel and fly to Lock Modan. I believe the town is called Telenaar. (I'd ck and make certain but the server is down right now. Forgive the mispellings of these place-names.) Ride out due north from Telenaar to the Dam on the northern end of the lake. Then ride to the middle of the dam and complete that leg of the quest. Return to the bird in Telenaar and fly to Menethil Harbor. Take the boat from there to Auberdine. Make certain to take the correct boat, there are two. At Auberdine, take another boat to Rut'theran Village and go through the portal there to Darnassus. Take the boy to the bank, which is near the portal, so he can see the tree. Talk to him and he'll give you the next two quests (you've already completed three now). Fly to Theramore or reverse your steps and take the boat from Menethil Harbor to Theramore. (I recommend flying there from Darn. Sure it takes 10-12 minutes, but less work. Go make yourself a nice cup of tea.) Enter the castle in Theramore and go all the way to the top to get the autorgraph of Lady Proudmore for the young lad. Fly to Gadgetztan. Ride out from Gadget to the racetrack north of Gadget and buy him an icecream cone. (You acutally have to buy 5. Only way they come.) The guy who sells the icecream is hard to find. Keep looking. He's behind a building, but definitely outside, not inside. Then you take the young fellow back to the matron in SW and choose your reward. Pig, Turtle, and Rat pets are your choices (and a sack of 5g for those who don't want a pet). They all have their own unique traits... except the gold, it just sits thre. Go with your instincts on the reward.	lol Elyktron do you really think Blizzard is that stupid they didnt make the pets BoP? Think again. If you take the bag of gold you can never EVER get one of the pets anymore on that character. They are unique pets and even have names. You can always get 5 gold, but you can get this pet only once, so you're crazy to take the gold. Maybe if it was 100g, you could take it in consideration.... But 5g is really a rip-off compared to a unique pet.	[url=http://i9.photobucket.com/albums/a89/veruka_247/speedy.jpg]http://i9.photobucket.com/albums/a89/veruka_247/speedy.jpg[/url] Mr. Wiggles is cute, too: [url=http://i9.photobucket.com/albums/a89/veruka_247/mrwiggles.jpg]http://i9.photobucket.com/albums/a89/veruka_247/mrwiggles.jpg[/url]
/?quest=171	A Warden of the Alliance	60	10	Alliance	1650 XP	World Events	Watcher Callahan wants you to kill 12 Rabid Dire Wolves. Rabid Dire Wolf slain (15)	N/A	Watcher Callahan	Orphan Matron Nightingale	I think an Orphan Hide Bag would've been a worthy reward. :P	For the roleplayers: it's about the children For some of us: it's about REPUTATION! -first 3 quests: 50 rep each for all [alliance/horde] factions. -next 2 quests: 75 rep each for all [alliance/horde] factions. -final turn in: 200 rep each for all [alliance/horde] factions. (assuming you dont chose the gold bag, which is supposed to decrease your rep) ------------------------------- Total: 500 reputation with all of your team's factions. Sure you can get the experience easier somewhere else, but where can you get the rep?&nbsp Also can be done prior to level 60 so for a low enough character even the experience can't be gotten easier.	Ok, this quest isn't all that difficult, at least not if you already have the flightpoints. During Children's Week, pick up your orphan from the matron in the Cathedral District of Stormwind. Place the whistle in an action bar and pull him out only when completing another leg of the quest, otherwise keep him tucked away. Fly from SW to Sentinel Hill and ride out to the lighthouse on an island just off of the beach. (Past Moonbrook. Same place you encountered the ghost captain many levels ago. Beyond Sark and Old Murk-Eye.) Pull your orphan out AFTER it tells you the quest is complete. (He doesn't need to be out to complete these SW orphan quests... tho he will have to be out for at least one leg of the Shatt orphan quests which are not related.) Talk to your orphan to finish it off and tuck him away again. Ride back to the bird in Sentinel and fly to Lock Modan. I believe the town is called Telenaar. (I'd ck and make certain but the server is down right now. Forgive the mispellings of these place-names.) Ride out due north from Telenaar to the Dam on the northern end of the lake. Then ride to the middle of the dam and complete that leg of the quest. Return to the bird in Telenaar and fly to Menethil Harbor. Take the boat from there to Auberdine. Make certain to take the correct boat, there are two. At Auberdine, take another boat to Rut'theran Village and go through the portal there to Darnassus. Take the boy to the bank, which is near the portal, so he can see the tree. Talk to him and he'll give you the next two quests (you've already completed three now). Fly to Theramore or reverse your steps and take the boat from Menethil Harbor to Theramore. (I recommend flying there from Darn. Sure it takes 10-12 minutes, but less work. Go make yourself a nice cup of tea.) Enter the castle in Theramore and go all the way to the top to get the autorgraph of Lady Proudmore for the young lad. Fly to Gadgetztan. Ride out from Gadget to the racetrack north of Gadget and buy him an icecream cone. (You acutally have to buy 5. Only way they come.) The guy who sells the icecream is hard to find. Keep looking. He's behind a building, but definitely outside, not inside. Then you take the young fellow back to the matron in SW and choose your reward. Pig, Turtle, and Rat pets are your choices (and a sack of 5g for those who don't want a pet). They all have their own unique traits... except the gold, it just sits thre. Go with your instincts on the reward.	lol Elyktron do you really think Blizzard is that stupid they didnt make the pets BoP? Think again. If you take the bag of gold you can never EVER get one of the pets anymore on that character. They are unique pets and even have names. You can always get 5 gold, but you can get this pet only once, so you're crazy to take the gold. Maybe if it was 100g, you could take it in consideration.... But 5g is really a rip-off compared to a unique pet.	[url=http://i9.photobucket.com/albums/a89/veruka_247/speedy.jpg]http://i9.photobucket.com/albums/a89/veruka_247/speedy.jpg[/url] Mr. Wiggles is cute, too: [url=http://i9.photobucket.com/albums/a89/veruka_247/mrwiggles.jpg]http://i9.photobucket.com/albums/a89/veruka_247/mrwiggles.jpg[/url]
/?quest=5502	A Warden of the Horde	60	10	Horde	1650 XP	World Events	Return your ward to the Orgrimmar orphanage by handing in the Orcish Orphan Whistle to Orphan Matron Battlewail in the Valley of Honor. Orcish Orphan Whistle	It is a pleasure to see you again, <name>. Have you attended to the duties you've volunteered for during Children's Week?	Orcish Orphan	Orphan Matron Battlewail	During Children's Week (The first or second week of May), you are able to obtain this Quest from the Orphan Matron located in Valley of Honor, Orgrimmar.	This was a Children's Week quest (second week of May, I believe). So, you can only get it during that time.	I just finished this quest as a level 40, taking my orphan for a spin of Burning Blades on my brand new mount (it still has that 'New Raptor' smell). The total quest experience is far greater than 1650.&nbsp However, you get 650 for each stop you make before turning the quest in.&nbsp With 5 stops, the total experience is 4900.&nbsp Not bad for just running around. For horde, you get a set of 3 stops followed by 2 more.&nbsp The first 3 are the Throne Room of Lorderan (just above Under City), the Rampart along the Gold Road north of the Crossroads and just before Ashenvale, and the docks of Ratchet.&nbsp Once these three are complete, the next two are available.&nbsp One is in Thunder Bluff the kid wants a footprint of the head honcho Tauren on the top rise.&nbsp Last, head to the Raceway in Thousand Needles.&nbsp It's just north of Gadgetzan, or follow the road east of Freewind Post until you hit Shimmering Flats, then head southeast.&nbsp It's labeled on the world map, but even if it wasn't it's hard to miss.&nbsp The ice cream vendor was on the west side of the track with the gnomes. I assume that's also a stop for the Alliance.&nbsp I saw a '?' Paladin who was kind enough to not kill me or my orphan.&nbsp (I wonder if you can kill&nbsp orphans something to try next year!) Sorry I don't have coordinates, but you really don't need them.&nbsp I had trouble finding the ice cream vendor, but once someone showed me I didn't see how I missed him in the first place. All in all, between the orphans, getting a mount, and the Darkmoon Faire, it's been an exciting week.&nbsp All that's left is streaking Ironforge and making it out alive!	As of patch 2.1.0, the whistle expires in two days (assuming it's like other holiday items that don't count offline time, it would be two days play-time: time actually spent online, like Engineering Cards). So, theoretically, if you only log in for two days of playtime over a year, you could probably keep the orphan for that long. I think I'll try this with a bank character. It's possible Blizzard will have the whistles esplode at the end of Children's Week, but since they've built in a timer, maybe not. Would be funny to pull out an Orphan for Winter Veil and cry about there being no presents for him. Okay, not so funny.	The difficulty level for this quest is set to 60, so that it flags up to everyone playing. If it were set to say, 40, then level 60s wouldn't see the yellow exclamation mark over the quest giver (of course, you'd hope that after 60 levels people would be smart enough to ask for the quest anyway...) It's not actually difficult to do all five quests in this series, although it may be time consuming if you're very low level, and if you're soft and chewy and not paying attention you might manage to die getting to one of the Points of Interest in the first three quests.
/?quest=5502	A Warden of the Horde	60	10	Horde	1650 XP | Pick: [Piglet's Collar, Rat Cage, Turtle Box, Curmudgeon's Payoff]	World Events	Return your ward to the Orgrimmar orphanage by handing in the Orcish Orphan Whistle to Orphan Matron Battlewail in the Valley of Honor. Orcish Orphan Whistle	It is a pleasure to see you again, <name>. Have you attended to the duties you've volunteered for during Children's Week?	Orcish Orphan	Orphan Matron Battlewail	During Children's Week (The first or second week of May), you are able to obtain this Quest from the Orphan Matron located in Valley of Honor, Orgrimmar.	This was a Children's Week quest (second week of May, I believe). So, you can only get it during that time.	I just finished this quest as a level 40, taking my orphan for a spin of Burning Blades on my brand new mount (it still has that 'New Raptor' smell). The total quest experience is far greater than 1650.&nbsp However, you get 650 for each stop you make before turning the quest in.&nbsp With 5 stops, the total experience is 4900.&nbsp Not bad for just running around. For horde, you get a set of 3 stops followed by 2 more.&nbsp The first 3 are the Throne Room of Lorderan (just above Under City), the Rampart along the Gold Road north of the Crossroads and just before Ashenvale, and the docks of Ratchet.&nbsp Once these three are complete, the next two are available.&nbsp One is in Thunder Bluff the kid wants a footprint of the head honcho Tauren on the top rise.&nbsp Last, head to the Raceway in Thousand Needles.&nbsp It's just north of Gadgetzan, or follow the road east of Freewind Post until you hit Shimmering Flats, then head southeast.&nbsp It's labeled on the world map, but even if it wasn't it's hard to miss.&nbsp The ice cream vendor was on the west side of the track with the gnomes. I assume that's also a stop for the Alliance.&nbsp I saw a '?' Paladin who was kind enough to not kill me or my orphan.&nbsp (I wonder if you can kill&nbsp orphans something to try next year!) Sorry I don't have coordinates, but you really don't need them.&nbsp I had trouble finding the ice cream vendor, but once someone showed me I didn't see how I missed him in the first place. All in all, between the orphans, getting a mount, and the Darkmoon Faire, it's been an exciting week.&nbsp All that's left is streaking Ironforge and making it out alive!	As of patch 2.1.0, the whistle expires in two days (assuming it's like other holiday items that don't count offline time, it would be two days play-time: time actually spent online, like Engineering Cards). So, theoretically, if you only log in for two days of playtime over a year, you could probably keep the orphan for that long. I think I'll try this with a bank character. It's possible Blizzard will have the whistles esplode at the end of Children's Week, but since they've built in a timer, maybe not. Would be funny to pull out an Orphan for Winter Veil and cry about there being no presents for him. Okay, not so funny.	The difficulty level for this quest is set to 60, so that it flags up to everyone playing. If it were set to say, 40, then level 60s wouldn't see the yellow exclamation mark over the quest giver (of course, you'd hope that after 60 levels people would be smart enough to ask for the quest anyway...) It's not actually difficult to do all five quests in this series, although it may be time consuming if you're very low level, and if you're soft and chewy and not paying attention you might manage to die getting to one of the Points of Interest in the first three quests.
/?quest=3861	CLUCK!	1	1	Both		World Events	Find some Special Chicken Feed and return to your befriended chicken. When you find it, /cheer at it before trying to give it the Special Chicken Feed. Special Chicken Feed	The chicken stares at you with dark, cold eyes. It waits for you hungrily.'BACAAAW!Cluck...cluck...cluck.'	Chicken	Chicken	This is a hidden quest in the game - mainly for alliance. This is what you do: 1: Go to westfall, Saldean's Farm. 2: Create a macro with the line /chicken . 3: Target one of the chickens at Saldean's Farm and spam the macro (this might take a while, be patient). 4: Eventually, the chicken will become green-labeled, rightklick the chicken (I presume your not level 1) and you will recive a quest - this quest. 5: Accept the quest, go to 'Farmer Saldean' and buy one piece of Special Chicken Feed. 6: Return to the chicken and give him the Special Chicken Feed - he will give you a 'Chicken Egg' (you have to pick it up yourself) - this egg is a pet :) This quest is A H but the special chicken feed is only buyable for the Alliance (you might be able to get it by the cross-faction AH). EDIT1: The quest will work properly even if you don't /cheer at the chicken. EDIT2: If I remember correctly it works on every chicken in Westfall, but why bother running all the way just to buy the food? :) - Merowlin	A few additional notes: This quest most likely works with every chicken in the game (I've completed it successfully with a chicken in Theramore and another in Tirisfal Glades.) Also, the Special Chicken Feed is not a quest item so you can easily buy it beforehand. Finally, once you have gotten the quest, you can /cheer at *any* chicken--not just the one you first used-- to 'activate' it to accept your quest. Also, when the quest is completed it spawns Farm Chicken Egg (https://classicdb.ch/?object=161513) which can be looted for your pet chicken (https://classicdb.ch/?item=11110).	The egg isn't given as a reward and so doesn't appear in your inventory automatically. You need to pick up the egg from the ground.	Ok, this quest is fun and anyone who can make it to [b]Saledans Farm[/b] ([b]Westfall (55, 31)[/b]) should be able to do it. As mentioned you must target a chicken at the farm and do /chicken dozens of times. The easiest way to do this is create a macro by typing /macro in the chat window, then click 'New' -&nbsp give your macro a name, chose an icon and into the 'Enter Macro Commands' window type [b]/chicken %t[/b] Now, drag the icon from the macro window onto your action bar. Target a chicken with the left mous button, stay close to the chicken and spam your macro like crazy. After a short while the chicken turns from yellow to green and you can talk to him. Get the chicken feed off saledan and speak to your green chicken again. If you chicken has wandered off, you can simply spam the macro at any other chicken and hand in the feed. Enjoy! [url=http://img138.imageshack.us/img138/2340/cluckok9.jpg]http://img138.imageshack.us/img138/2340/cluckok9.jpg[/url]	You have to have the chicken selected when you do /chicken.&nbsp Do it enough and it will say that the chicken looks up at you... and it turns green (friendly) and you can right-click on it to get the quest.&nbsp Once you have the special chicken feed you have to /cheer the chicken then right-click on the chicken and complete the quest.&nbsp It will then lay an egg which you right-click to loot the egg you use to summon/dismiss your pet!&nbsp Great quest!&nbsp I passed up on the pets during the childern's week quests and took the 5 G.&nbsp Now I have a pet anyway and it only cost 22 copper :)
/?quest=925	Cairne's Hoofprint	60	10	Horde	650 XP	World Events	Travel to Thunder Bluff to see about getting Cairne Bloodhoof's hoofprint for your ward. Cairne's Hoofprint	When the orcs were alone and without friends, the tauren welcomed them to a strange land and shared with them without asking anything in return. That's honor, <name>.	Orcish Orphan	Orcish Orphan	He can be found at 60, 51. Third rise of TB, big hut about as far east as you can go w/out going to Elder Rise.	It ends with https://classicdb.ch/quest=171	may 9th is the day.. (today)	Go to top floor of Thunder Bluff and speak to Cairne Bloodhoof <High Chieftain> coords 60,51	You guys do know that you have to accept the quests from one of the orphans before he'll give you the hoofprint.
/?quest=172	Children's Week	60	10	Horde		World Events	Use the Orcish Orphan Whistle to talk with the child you will be looking after during Children's Week. Provided Item: Orcish Orphan Whistle	N/A	Orphan Matron Battlewail	Orcish Orphan	FYI: You must talk to the Matron first. She has an option on her gossip window, 'Well what do you know, this is Children's Week! What can I do to help?' After using this option, the quest should be available. I initially went to the Matron at level 8 and was unable to pick it up, went back at level 10 and I was able to accept the quest.	When the orphan is spawned, he gives you several quests the final quest in the chain is A Warden of the Horde https://classicdb.ch/?quest=5502 which has the rewards.	I got 3 quests from my orphan at first: -Take my orphan to the docks at Ratchet -Take him to the throne room in the ruins above Undercity -Take him to Mor'shan Rampart (near the WSG portal) to see the 'new fronteer' Then I got 2 more quests: -Buy some ice cream for the orphan (Available near bank in Org) -Get an autograph from Cairne Bloodhoof in ThunderBluff The last quest: A Warden of the Horde -Return the orphan to Orphan Matron Battlewail in the Valley of Honor	This quest is exactly the same as last year. It is possible to do it again for a different reward (all the pets are 'Unique').	I guess that we have a quest to get Orcish orphans out in Duskwood, and Horde must have a quest to get Human orphans in...I dunno, Thousand Needles maybe?
/?quest=1468	Children's Week	60	10	Alliance		World Events	Use the Human Orphan Whistle to talk with the child you will be looking after during Children's Week. Provided Item: Human Orphan Whistle	N/A	Orphan Matron Nightingale	Human Orphan	There are 6 quests in total First he gives you these 3: -take him to the lighthouse southwest of Moonbrok by the shore (the one for the Old-Murk eye quest) -take him to the bank of darnassus (take boat from menethil harbor to auderbine and then to ruth'eran village-there is a portal to darnassus there) -take him to the dam in Loch modan (it is by that kobolds cave) After you hit these 3 you get 2 more: -get an aoutograph from Jana, the boss lvl wizard in Theramore wizard tower, the one you need to talk to when you are doing Lost diplomat quest i belive (to get to Theramore take the boat from Menethil harbor) -go to the vendor in SW or go to Shimering flats ice-cram vendor and buy the little dude an ice-cream After you complete these 2 you get final 1: -this one doesn't include any 'oh mister please take me there and buy me that and i want to be the hero of alliance and all that jazz' just bring the kid back to the place where you claimed him and VOILA TIPS:-i suggest you do it like this: westfall-->loch modan-->darnassus-->theramore-->ice-cream(buy it in SW)-->take the kid back -and also don't take the rat its the most boring pet of all 3 (Mr.Wigles or Speedy 4 life) EDIT: I didn't see but I'm wondering if you get any reputation with Stormwind for completing this?	You don't keep the child for good. At the end you have to return to the matron in Stormwind and return the child giving up your whistle as well. It's a total of 5 quests though. Once you finish the first three, he pops up with 2 more. FYI: Buy ice cream in Stormwind by the bank rather than flying to Tanaris or buying it at the AH for a ridiculous amount of silver. 5 silver = 5 ice cream. He also asks for Jana's autograph. Go to Theramore and Jana is in the middle tower at the very top.	You can either choose a piglet, rat or turtle.&nbsp You can also decide to take the money!	First 3 quests: -Take him to the Lordareon Throne room, the area before entering Undercity, with a throne in it (duh) -Take him to the docks of Ratchet, Barrens. This means the bit where the dock begins, and the land ends. -Take him to the Mor'shan Rampart, on the northen edge of the Barrens on the border of Ashenvale. After you do these 3 you get 2 more: -Get a hoofprint from Cairne Bloodhoof, Tauren leader, who is on the eastern side of the [b]middle[/b] bluff in Thunder Bluff. -Buy your orphan an ice-cream from either Shimmering Flats (1k needles), near the gnome pit crewmen, or Orgrimmar, between the bank and auction house. After you complete these 2 you get final 1: -Just take him back to the orphan matron in Orgrimmar, and ur done! Suggested order: *Start in Orgrimmar *Zeppelin to Undercity - complete quest *Zeppelin back to Orgrimmar *Fly to Crossroads, Barrens *Run to Ratchet - complete quest *Run to Crossroads, then north to Mor'shan Rampart - complete quest *Run back to Crossroads, Fly to Thunder Bluff *Talk to Cairne for the hoofprint *Fly back to Orgrimmar *Buy ice cream, take back orhpan and you're done!	The complete series of Alliance Quests in this series include: - Spooky Lighthouse (http://classicdb.ch/?quest=1687) - The Stonewrought Dam (http://classicdb.ch/?quest=1558) - The Bough of the Eternals (http://classicdb.ch/?quest=1479) - You Scream, I Scream... (http://classicdb.ch/?quest=915) - Jaina's Autograph (http://classicdb.ch/?quest=558) - A Warden of the Alliance (http://classicdb.ch/?quest=171)
/?quest=910	Down at the Docks	60	10	Horde	650 XP	World Events	Take your ward to the docks of Ratchet in the Barrens. Go to the docks of Ratchet in the Barrens.	Are we there yet?	Orcish Orphan	Orcish Orphan	buy strawberry ice cream in Org u need for the next part	OK I HAVE COMPLETED THIS AT RITCHET ! ITS EASY QUEST YOU JUST NEED TO GO IN RATCHET COORDS : 63 , 38 EASY 650 EXP. =))	I got 75, not 50, reputation with horde at level 52.	N/A	N/A
/?quest=911	Gateway to the Frontier	60	10	Horde	650 XP	World Events	Take your ward to the Mor'shan Rampart in the northern part of the Barrens, just before entering Ashenvale. Go to the Mor'shan Rampart in the Barrens.	N/A	Orcish Orphan	Orcish Orphan	Well just go to 47.5 in Barrens and you�re done =D 50 rep with Horde	Head to 47,5 in Barrens	First time i was walking around the Warsong Gulch portal, and it !@$ed me off when i didn't get a yellow ? on the little Orphan. Finally i tried to go more up to Ashenvale, then it worked. ^^ Head to 47,5 in The Barrens, near the Warsong Gulch portal...there you'll be able to finish the quest.	my lvl 12 undeath warrior has this quest wanna se what it does when i delivr it :P	where is the location were he is?
