# Quest Data for Kalimdor - Dustwallow Marsh
# Generated: 2025-08-18 16:47:23
# Total quests: 57
# Comment scrape timestamp: 2025-08-18 17:36:50

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1258	... and Bugs	40	33	Alliance	3150 XP | Item: Baroque Apron	Kalimdor	Bring 12 Pristine Crawler Legs to Morgan Stern in Theramore. Pristine Crawler Leg (12)	My research with the Mudrock tongues is progressing nicely. I trust your crab hunt goes well?	Morgan Stern	Morgan Stern	First off, the quest does NOT call them muckdwellers. he says the ones in theramore are called muckdwellers. the ones you are looking for are called slit crawlers and monstorous crawlers. the slit crawlers are level 40 and 41, the massive crawlers that i saw were all level 44. try not to go down to the southern shore area if you are alone, and don't have a pet, and happen to be under level 40. it's UNSAFE. there are dragonkin(40-45 elite), and murlocs(40-44), and spiders(40-41), and high level KOS humanoids(over 49) all about down there. unfortunatly, once i got down there, i was stuck down there, so i eventually suceeded. it took around 30-35 minutes at level 39 with my hunter, and the payoff was dismal compared to the effort to get to swamp of sorrows in the first place, and to trek across it(it appears almost all horde/KOS/dragonkin, so it's not kind to alliance folk. :-/&nbsp ) i would hold off soloing or partying it until level 41, for best results.	You have to go to from Dustwallow to the Eastern Kingdoms, Swamp of Sorrows. That's why he asks if you're 'willing to travel', it's a far away quest. The coordinates in the previous posts both correspond to areas near islands, but the pristine legs come from monsters in the Swamp of Sorrows, NOT Dustwallow . So take the ship back to the Eastern Kingdoms, from Menethil > Iron Forge > Stormwind > Darkshire, then walk along the road going EAST, keeping to the path on the LEFT, walk THROUGH Deadwind pass to the other side, you'll come out on the west side of the Swamp of Sorrows, in order to complete the quest, you need to go to the other side of the area into the water, where, at the locations mentioned above, you'll find your slit crab dealies.	Go to Darkshire in Duskwood, take the road East out of town. That leads to Deadwind Pass. East across this zone leads to the Swamp of Sorrows. easy to have this done under 5 min!	Whether it's easy to accomplish this quest, which as I remember from the last time one of my characters did it, involves gathering of the quest items on the east coast of the area and your recommendation is to come in from the west side of the area, depends entirely on one's level and abilities when attempting to navigate to the appropriate area to perform the requisite activities. If you are just finding out that you need to follow those directions to access the Swamp of Sorrows, you are probably unaware that Alliance players will almost immediately encounter [url=http://classicdb.ch/?npc=861]Stoneard Scouts[/url] and [url=http://classicdb.ch/?npc=862]Stonard Explorers[/url], marked PVP, patrolling the paths on the west side of the Swamp of Sorrows. If you don't want to be flagged for PVP for fighting them, they need to be avoided. And that's just the first of your worries for taking this path to the quest area. The path soon branches into paths leading southeasterly and northeasterly. The southeasterly path will take you smack dab into Stonard. If you get too near it one or more level 65 [url=http://classicdb.ch/?npc=866]Stonard Grunt[/url] (Bosses) will come out and attack and you'll be quickly dead. Again if you attempt to fight them, you'll be flagged for PVP (and dead). As soon as you spy it, detour to the northeast. The northeastern path leads into Fallow Sanctuary. which you'll also want to avoid as you'll get mobbed on your way through. So in either case you will be traveling off of the pathways and across country and likely agroing one battle after another with [url=http://classicdb.ch/?npc=767]Swamp Jaguars[/url], and [url=http://classicdb.ch/?npc=858]Sorrow Spinners[/url] in the jungle, and [url=http://classicdb.ch/?npc=1082]Sawtooth Crocolisks[/url], [url=http://classicdb.ch/?npc=1087]Snappers[/url], and [url=http://classicdb.ch/?npc=766]Tangled Horrors[/url] in the waterways. You may encounter the Pool of Tears in east central Swamp of Sorrows, which is generally quite safe to swim across the top, skirting the Temple of Atal' Hakkar in the center of the water. Once you reach the Misty Reed Strand, which forms the northeastern coast of the Swamp of Sorrows, be careful of the level 43 [url=http://classicdb.ch/?npc=1088]Monstrous Crawlers[/url] if you decide to attack them, as they can be problematic for lower level characters on this quest. So bottom line is if the quest is red or orange to you, tread very carefully when going this way. If it's green or gray to you, then it should be relatively easy to get across the area (and you probably already have the map filled in for this area, having been there before...).	You have to kill 'silt crawlers' https://classicdb.ch/?npc=922 or 'monsterous crawlers' https://classicdb.ch/?npc=1088 located along the eastern coast of Swamp of Sorrows. I found the most around 95, 48 but they can be found anywhere along the water, they have a good drop rate.
/?quest=1168	Army of the Black Dragon	43	38	Horde	4450 XP | Pick: [Tharg's Shoelace, Tharg's Disk]	Kalimdor	Tharg in Brackenwall Village wants you to kill 10 Firemane Scouts, 10 Firemane Ash Tails, and 5 Firemane Scalebanes. Firemane Scout slain (10) Firemane Ash Tail slain (10) Firemane Scalebane slain (5)	Mok'Morokk tell all ogres to stay and keep this place safe. Me think ogres need to kill black dragon army and get old home back.You help ogres get home back. Help ogres get revenge.	Tharg	Tharg	found where you can single pull Firemane scouts and Ash tails, thats at 42,66 on thottbot	Older players might recall the Firemane dragonkin as being elites. However a patch changed them to standard mobs making this quest quite a bit easier.	scalebanes at wyrmbog: 52,72 scouts and ashtails at stonemaul ruins: 45,66 when killings scouts at the ruins, watch for a chest at 42,65	Scalebanes can be found in the Wyrmbog between 48,75 and 51,80 I am a lvl 49 Shadow Priest- this is one very difficult quest.&nbsp The Elites are like lvl 51-52 regular creatures.&nbsp Bring a group.&nbsp I finally was able to complete solo at this lvl with alot of Buffs esp to absorb fire. 42,66 for the other elites	firemane scouts and ash tails at 44,66 (stonemaul ruins) scalebanes 38,66 (den of flame)
/?quest=6601	Ascension...	60	55	Both	5450 XP	Kalimdor	It would appear as if the charade is over. You know that the Amulet of Draconic Subversion that Myranda the Hag created for you will not function inside Blackrock Spire. Perhaps you should find Rexxar and explain your predicament. Show him the Dull Drakefire Amulet. Hopefully he will know what to do next. Dull Drakefire Amulet Provided Item: Dull Drakefire Amulet	Do not panic, <name>!	Emberstrife	Rexxar	This is a step in the long chain quest to get your Onyxia Key. Below is the Horde side chain from start to finish: - Warlord's Command(LBRS) - https://classicdb.ch/?quest=4903 - Eitrigg's Wisdom (Orgrimmar) - https://classicdb.ch/?quest=4941 - For The Horde! (UBRS) - https://classicdb.ch/?quest=4974 - What the Wind Carries (Orgrimmar) - https://classicdb.ch/?quest=6566 - The Champion of the Horde (Desolace) - https://classicdb.ch/?quest=6567 - Mistress of Deception (WPL) - https://classicdb.ch/?quest=6568 - Oculus Illusions (UBRS) - https://classicdb.ch/?quest=6569 - Emberstrife (Dustwallow Marsh) - https://classicdb.ch/?quest=6570 - - The Test of Skulls, Chronalis (Tanaris) - https://classicdb.ch/?quest=6584 - - The Test of Skulls, Scryer (Winterspring) - https://classicdb.ch/?quest=6582 - - The Test of Skulls, Somnus (Swamp of Sorrows) - https://classicdb.ch/?quest=6583 - The Test of Skulls, Axtroz (Wetlands) - https://classicdb.ch/?quest=6585 - Ascension... (Desolace) - https://classicdb.ch/?quest=6601 - Blood of the Black Dragon Champion (UBRS) - https://classicdb.ch/?quest=6602 Once you've completed all that return to [url=?npc=10182]Rokaro[/url] in Desolace to pick up your key!	This quest ends in the small village in Desolace at a NPC called Rokaro. Just walk straight forward from the FP NPC and you will soon see him.	uhm... level Sixty THREE?	It's a level 63 because that's the normalized level of General Drakkisath. All quests relating to Rend are level 62, for the same reason.	[npc=10182] is in Desolace. [i][small]Edited, Jan 27th 2007 11:39am by Jelleh[/small][/i]
/?quest=1220	Captain Vimes	35	30	Alliance	2750 XP	Kalimdor	Bring the Spy's Report to Captain Garran Vimes. Spy's Report Provided Item: Spy's Report	You have something for me?	Theramore Lieutenant	Captain Garran Vimes	how come when 1 person posts how much xp they got and how easy the quest is 10 other ppl have to do the same Friggen thing its like 1 of those weight loss commercials and u get 50 ppl saying i lost 68 pounds drinking slim fast and i lost 75 pounds drinking slim fast THIS SITE IS CREATED FOR PPL WHO NEED TO KNOW WHERE SH*T IS NOT 50 POSTS ABOUT HOW MUCH XP U GOT FROM COMPLETING IT	to start this quest you have to find the loose dirt which is around 56,25	67.48 and if u dont have cord system u should get it lol its upstairs in the building next to where u see all the ppl training when entering theramore isles u go left	Is this a reference to Captain Vimes from Discworld? Can this Vimes tell where he is through the feel of the cobblestone under his feet?	68,48 2750xp @ lvl 36
/?quest=1173	Challenge Overlord Mok'Morokk	45 Group	38	Horde	4850 XP | Pick: [Fiendish Skiv, Chillnail Splinter]	Kalimdor	Defeat Mok'Morokk and report the news to Draz'Zilb in Brackenwall Village. Drive Overlord Mok'Morokk from Brackenwall Village Suggested Players [2]	I thought you were going to attempt to drive Mok'Morokk out of the village. Instead you have come to me to chat?	Overlord Mok'Morokk	Draz'Zilb	All talk about crazy kite strategies aside, this guy is, simply put, not soloable for the average player.	At level 45 my hunter readily defeats elites up to level 46.&nbsp Which is weird because my shaman and warrior struggle against elites three levels below them.&nbsp I took my hunter for a pleasant stomp through the elites in southern Dustwallow, and by the time I got back I was pretty cocky.&nbsp Well Mok'Morokk humbled me.&nbsp This dude is NOT your typical level 45 elite!&nbsp He has the health of a small village.&nbsp And he whacks extremely hard.&nbsp My pet was getting crushed even though I was constantly healing it, so I turned off his growl.&nbsp Mok'Morokk turned on me, hit me TWICE and I dropped to 20% health !&nbsp Feign death... So I failed the quest, revived my pet, buffed up and tried again.&nbsp I intended to hit him with slowdowns and just run whilst my pet chomped away.&nbsp I used to employ this tactic to consistently beat mobs 6-7 levels above me.&nbsp Well it didn't work with Morokk, he just hits too damn hard.&nbsp And I died just as I was clicking the fake death button.&nbsp I hadn't even whittled Morokk down to 50%.&nbsp I checked the combat log in disbelief and sure enough me and my pet were dealing plenty-o-damage... I'm guessing Morokk has over 10,000 hit points... which is just freakish.&nbsp I plan to try again at level 48... This guy easily qualifies as a boss.&nbsp As for Cr4zyOn3's comments.... you double teamed the guy.&nbsp There's no comparison.&nbsp Not only that you let a total stranger 7 levels above you do all the work...&nbsp which hardly qualifies you to comment meaningfully on the difficulty of this quest.	The pre-requisite for this quest is the The Brood of Onyxia chain ( http://classicdb.ch/?quest=1170 ) which in turn has a pre-requisite of Identifying the Brood ( http://classicdb.ch/?quest=1169 ) I've just done this quest with a level 47 Paladin, very very tough fight. The fight itself lasted a good 8-10 minutes, used bubble twice and Blessing of Protection, as well as Divine Favour (I'm Holy spec) whenever it was off cool down, and the same for my jewel crafting owl. Great challenge though. He has just over 14,000 health, and as stated, he gives up at around about 30%. As for the stuns, they seem to be a proc on his weapon, judging by the fact that the stuns are every so many seconds exactly, the stun also lasts for 4 seconds, so it's best to heal pre-emptively if you're a healer (although I wouldn't try this solo if I wasn't a healer or a class that can kite).	Warlocks can easily solo this as he can be feared indefinately.	Did this quest as lvl 46 mage.. To all mages out there, he is really hard but you can do it too, the important thing is timing.. This guy couldn't hit me once :P Use frostbolt, and scorch him, when frostbolt effect is over and he comes near you use Cone fo Cold and blink.. Then when cone of cold effect is about to finish, time to use nova and frostbolt again.. Same things.. I had iceblock and coldsnap ready but used none.. I used mana agate, and also needed to use Evocation (do it just after nova'ing him).. Btw to my above poster: Yes he despawns at around %27 saying 'Me scared and Me go now'.. so you don't kill him. Just get him to %25 hp... No timers.. Quest gets completed.
/?quest=1285	Daelin's Men	38	30	Alliance	290 XP	Kalimdor	Return the information about Reethe to Captain Garran Vimes in Theramore.	N/A	Adjutant Tesoran	Captain Garran Vimes	Courtesy Nycertis, a user here on Wowhead... [quote]Part of the Shady Rest In quest chain - completed in patch 2.3 From WoWWiki - the whole chain as of patch 2.3 [35] James Hyal (2) (from Wetlands) [35] They Call Him Smiling Jim [35] Inspecting the Ruins (2.3) Black Shield [35] The Black Shield (1) [35] The Black Shield (2) [35] The Black Shield (3) Hoofprints [35] Suspicious Hoofprints Theramore Guard Badge [40] Lieutenant Paval Reethe (1) [40] Lieutenant Paval Reethe (2) [38] Daelin's Men [38] The Deserters (1) [38] The Deserters (2) Conclusion [38] A Grim Connection [38] Confirming the Suspicion [38] Arms of the Grimtotems [39] Tabetha's Assistance [39] Raze Direhorn Post! [39] Justice for the Hyals [39] Peace at Last[/quote] It's also interesting to note that there is a reference here to a common family of the Alliance, the Redpaths. Their full list of NPCs [url=http://classicdb.ch/?search=Redpathnpcs]can be found here[/url].	N/A	N/A	N/A	N/A
/?quest=1205	Deadmire	45	35	Horde	3900 XP	Kalimdor	Bring Deadmire's Tooth to Melor in Thunder Bluff. Deadmire's Tooth	Do you have the tooth of Deadmire, <name>? Have you ended the creature's suffering?	Melor Stonehoof	Melor Stonehoof	Look for a large white crocolisk roaming the rivers of the Quagmire or the Dragonmurk. He has a pretty big patrol route, so you will likely be doing some running. He's level 45, non-elite, so finding him is the hardest part of the quest. And if you forget where to turn this in, the guy is on Hunter Rise in Thunder Bluff.	The stretch of river leading north/northeast from STONEMAUL RUINS on your map is where you need to be, he swims up and down that. He is a huge brute, a dull white crocodile that is unmistakable, just check the screen and you'll not miss him. Easily found with Track Beasts as a Hunter. 47, 56 is where he met his end for me.	he is a massive white croc. as u can't miss him. he stick out badly. just stay around the big pool just north of the dragonkin. it has a tiny island with a pool inside it. then u know ur at right place.	got him at 47,61	Deadmire is level 41 now after patch 2.3 even though the quest stays red. He is a pushover. The quest now gives 5550 exp.
/?quest=6570	Emberstrife	60 Group	55	Both	5450 XP	Kalimdor	Travel to the Wyrmbog in Dustwallow Marsh and seek out Emberstrife's Den. Once inside, wear the Amulet of Draconic Subversion and speak with Emberstrife. Provided Item: Amulet of Draconic Subversion	N/A	Myranda the Hag	Emberstrife	This is a step in the long chain quest to get your Onyxia Key. Below is the Horde side chain from start to finish: - Warlord's Command(LBRS) - https://classicdb.ch/?quest=4903 - Eitrigg's Wisdom (Orgrimmar) - https://classicdb.ch/?quest=4941 - For The Horde! (UBRS) - https://classicdb.ch/?quest=4974 - What the Wind Carries (Orgrimmar) - https://classicdb.ch/?quest=6566 - The Champion of the Horde (Desolace) - https://classicdb.ch/?quest=6567 - Mistress of Deception (WPL) - https://classicdb.ch/?quest=6568 - Oculus Illusions (UBRS) - https://classicdb.ch/?quest=6569 - Emberstrife (Dustwallow Marsh) - https://classicdb.ch/?quest=6570 - - The Test of Skulls, Chronalis (Tanaris) - https://classicdb.ch/?quest=6584 - - The Test of Skulls, Scryer (Winterspring) - https://classicdb.ch/?quest=6582 - - The Test of Skulls, Somnus (Swamp of Sorrows) - https://classicdb.ch/?quest=6583 - The Test of Skulls, Axtroz (Wetlands) - https://classicdb.ch/?quest=6585 - Ascension... (Desolace) - https://classicdb.ch/?quest=6601 - Blood of the Black Dragon Champion (UBRS) - https://classicdb.ch/?quest=6602 Once you've completed all that return to [url=?npc=10182]Rokaro[/url] in Desolace to pick up your key!	This quest allows you to complete the last steps necessary to get the Onyxia key. Emberstrife gives you these three quests: https://classicdb.ch/?quest=6584 https://classicdb.ch/?quest=6583 https://classicdb.ch/?quest=6582 When these quests are completed (in any order), the quest chain resumes: https://classicdb.ch/?quest=6585	We just messed up on him for the UBRS key quest and accidently killed him. He took 5 mins to respawn on the nose. We timed him after coming to this page and seeing that no one was sure. Edited, Mon May 29 15:09:21 2006	where is he located?	what's the amulet for? You need to use that amulet so you can disguise to be one of the dragonkin if you don't use the amulet Emberstrife will pawn you If you need location or the whole series info check this link [url]http://wow.rpgbeacon.com/quest.php?ID=2448[/url]
/?quest=1271	Feast at the Blue Recluse	37	30	Both	Item: Moist Towelette	Kalimdor	N/A	N/A	Angus Stern	Angus Stern	If you won the Nobel prize and someone threw you a reception after the event, would you yell at all the people who ate and drank in your honor? Would you quickly gobble it all up before anyone could 'ninja' it? I know this is a game and you can sell it for cash, but it just sounds funny if you put it in a RL context :) EDIT: This post was in response to people complaining that other people were taking their food. Those posts are now gone.	In order to get this, you first need to do [url=/quest=1260]Morgan Stern[/url]-->[url=/quest=1204]Mudrock Soup and Bugs[/url] and [url=/quest=1222]Stinky's Escape[/url] Afterwards, go to the Blue Recluse inn in the Stormwind Mage Quarter and talk to Angus Stern. Edited, Sun Oct 2 11:24:16 2005	After speaking to and completing the quest with Angus Stern (41,89) don't forget to loot all the food and drinks off the tables they have put out in your honor.	I got it a day at lvl 33, ages ago, by the guy in the blue recluse Take a look there : http://forums-en.wow-europe.com/thread.aspx?ForumName=wow-quests-en&ThreadID=11379 Quote to prevent the topic vanishing : 'At lvl 33, I've done this quest, Feast at the Blue Recluse. It was the guy who was giving the quest with the cold eye basilisk who gave me it. I talked with him, clicked on complete quest 'nothing to do' and he spawned loads of fishes, cooked boars and water around the tables. NOTHING on Anonymous, Anonymous etc. What's up with this quest ? Is it exceptionnal ? Can it be done only in certain periods ? Theres a screen if you want : http://img88.imageshack.us/my.php?image=feastbluerecluse8vk.jpg '	This quest becomes available after completing [url=http://classicdb.ch/?quest=1222]Stinky's Escape[/url] in Dustwallow Marsh.
/?quest=1135	Highperch Venom	30	25	Alliance	3650 XP | Item: Windborne Belt	Kalimdor	Bring 10 Highperch Venom Sacs to Fiora Longears in Theramore. Highperch Venom Sac (10)	Did you find Highperch, <name>? Any luck with the wyverns there?	Fiora Longears	Fiora Longears	[ul] [li]You get this quest in Theramore. [/li] [li]What you got to do is head north on the road and simply follow it until you get to The Barrens. [/li] [li]In The Barrens you head south until you get to The Great Lift. [/li] [li]In front of the lift there are two horde guards, lvl 25 and 30. [/li] [li]Step into the his to get down from the mountain (wiiie) you have now landed in Thousand Needles. [/li] [li]Now go cross across Thousand Needles and up the hill to Highperch. [/li] [li]You will find some Highperch beasts there who will drop the Venom Sac's you need. [/li] [li]Coordinates(Thousand Needles): 11,35. [/li] [li]The beasts are at lvl 28-30 [/li] [li]This is my drop rates after finnishing the quest: Highperch Wyvern&nbsp 44% Highperch Consort&nbsp 30% [/li] [li]I didn't meet any horde at all. [/li] [li]The Highperch's doens't drop any good items except the Venom Sac [/li] [li]It took me about 20min to get the Venom Sac's, not included the travel time. [/li] [li]The Highperche's are melee, but they cast Poison. [/li] [li]It surely takes time to complete the whole quest, not fun at all. [/li] [li]Some nice xp as always though :) [/li] [/ul] [b]/edenvin[/b]	The wyverns are kind of in their own area, on the west side of the zone. Hug the south wall headed west and look for a gap in it. The gap is up in the wall a ways, so can be easy to miss if you aren't looking for it. Head through the gap, and you are in a region with the wyverns and nothing else. It's pretty easy to see how they move, so you can handily avoid adds. Mobs were level 28 and 29. Drop rate wasn't great. Edited, Tue Jan 4 10:15:12 2005	This quest's directions are pretty bad. Highpearches have their own subzone in northwestern Thousand Needles.&nbsp If you look on your map it's the obvious protrusion area off the west edge of the zone. Beware- Horde has a similar quest here and you are almost certain to encounter lvl 30ish PVP.	13,34	Make sure you go all the way in, up to the back then climb the ramp to the very top part. There is a rare beast plus a great chest with gold bar and lots of goodies at the base of the pillar. I just kept clearing the area out. Every time I cleared it I ran back to the top of the ramp then turned and ran back in. Every time but for once there was at least one respawn when I got back in. Mind you, the drop rate still sucked, but I did get the chest twice while there. There is a horde guy (quest giver I guess) who just stands there. Leave him alone he gives no xp and doesnt drop a thing.
