# Quest Data for Dungeons - Uldaman
# Generated: 2025-08-18 16:52:31
# Total quests: 29
# Comment scrape timestamp: 2025-08-18 17:17:06

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=721	A Sign of Hope	35 Dungeon	35	Alliance	2750 XP	Dungeons	Find Hammertoe Grez in Uldaman.	N/A	Prospector Ryedol	Hammertoe Grez	a. Tloc 54,58, OUTSIDE, I repeat, OUTSIDE the instance. b. As you enter the Uldaman cave, you'd normally proceed to Dig One in order to jump from a cliff there to find yourself directly in front of the Uldaman instance entrance. Just before you make it to the cliff where people usually jump to enter the instance (perhaps 50-100 yards back), you will note a small camp, a campfire, and a kneeling bald dwarf with a flame-coloured beard barricaded behind some boxes. It is the elusive Hammertoe Grez. c. This was written on Friday, 8th of September 2006, and Hammertoe is still bugged and unresponsive, in spite of the fact that I have completed the required prequests. As a matter of fact, you'll probably see the NPC kneeling in front of the fire, instead of standing or sitting, a further indication that he's bugged. EU server Nordrassil, Stuermbringer, Level 42 Rogue.	If the coords above confuse you, you have to actually go into the outer cave, before the instance for them to be valid. Those coords are for the Uldaman map, not the Badlands map.	If you can't talk to Hammertoe, bring a hordie to kill him, that'll solve that problem. He just needs a reset.	Alliance Side Only. Minimum Level Required: 35 You can find Hammertoe Grez at the following co-ords jsut outside of Ulda. (54,58) After completion of this quest you will be sent to do the 'Amulet of Secrets' quest.	Had the same problem, couldnt talk to the guy. Its common knowledge that you cannot interact with a NPC in combat. I figured someone would have attacked him and left, somehow leaving him in the state of combat. To my luck i had a lvl 60 horde on the server, so I traveled the long way to Uldaman and killed Hammertoe, then logged back to my alliance and waited for him to respawn, and there it was, quest complete
/?quest=704	Agmond's Fate	38	30	Alliance	2850 XP | Item: Prospector Gloves	Dungeons	Bring 4 Carved Stone Urns to Prospector Ironband in Loch Modan. Carved Stone Urn (4)	Did you find those urns, <name>? We must find the link between them and the troggs!	Prospector Ironband	Prospector Ironband	These are NOT inside the Uldaman instance, but in the tunnel leading to said instance! :) First one was next to the first tent inside the tunnel. No guard when I arrived. Second was next to the second tent you come to. 1 guard that will need to be occupied or killed. Third was inbetween 2 sets of boxes just before the Troggs. No guard that was necessary to eliminate. Next look left, up the ramp to the left of urn 3 is urn 4. No guard to kill Now git outta here and get that quest outta your log! PS. minimum killing assumes everyone plays a character who can stealth (don't you? well why not?) If you cannot stealth there will be much more killing! Good Luck!	I found these just outside the instance. Two urns spawn on each side of the portal/gate and atleast one other spawn under one of the tents further back.	I completed this quest at level 44 (when it was green). i got 2300 XP and an 'increase' in my Ironforge reputation.	These are located outside the instance.	Locations of Carved Stone Urn's @ Uldaman (outside instance): [u]53:60[/u] (at second tent at the right) [u]53:60[/u] (at the upper right also at 2 tents) [i]*go down now trough the caveway, stay at the path and make a left turn[/i] [u]53:61[/u] then walk down and there are about 2 or 3 Urn's at the instance portal... Hope you'll find them, good luck!
/?quest=722	Amulet of Secrets	40 Dungeon	35	Alliance	3150 XP	Dungeons	Find Hammertoe's Amulet and return it to him in Uldaman. Hammertoe's Amulet	The Shadowforge clan... is dangerous. Be careful. You must find the amulet.	Hammertoe Grez	Hammertoe Grez	The mob (Magregan Deepshadow) you want to kill is NOT IN ULDAMAN. When you begin your journey into the very first cave from Badlands, act like you're going to the instance...when you come to your first fork in the road...there should be Troggs on oneside and Dwarfs on the other. Deepshadow will find his way to the fork if you don't feel like fighting your way through the Dwarfs to get him if he isn't there already ;)	He's in the south of Uldaman cave. He is near the troggs. He is the dwarf with a sword. When you come to the junction where you have a choice to go into the room with the troggs or the room with the dwarfs, just stand there, and he'll show up coming from the room with the dwarfs.	The quest mob is still buggged.&nbsp The solution to fixing the quest mob is not reinstalling or deleting your folders, someone needs to kill him.&nbsp GM's will not do this for you, I've tried asking. The dwarf that drops the ammy is in the same hall with the Tablet in the chest.	I too found Hammertoe to be unresponsive.&nbsp Sent a GM ticket and he got back to me in about 20 minutes.&nbsp He was able to re-set the NPC and I was then able to turn in.&nbsp This was 22May06	No prblems finging that guy - but who drops that amulet?
/?quest=2200	Back to Uldaman	42 Dungeon	37	Alliance	2550 XP	Dungeons	Search for clues as to the current disposition of Talvash's necklace within Uldaman. The slain paladin he mentioned was the person who had it last. Provided Item: Talvash's Phial of Scrying	N/A	Talvash del Kissel	Remains of a Paladin	The body of the dead paladin is inside the Uldaman instance, close to the entrance. When you first enter, the mini map shows you as being in a green area with two loops -- the dead paladin is in the second loop. Watch out for the pats.	The paladin is not far into the instance.&nbsp There is a point where you come into contact with many troggs, and the path is split so you can either go left or right twice.&nbsp The minimap shows a semi-'8' design, which is sideways.&nbsp The paladin is on the right side of the second loop as you pass through.&nbsp As mentioned previously, the paladin does appear on your minimap.&nbsp	I'm not sure what the 'Dig Two' business is about but the paladin's body is found inside the Uldaman instance. It is in the NW corner of the first area called the 'Hall of the Keepers.' His body has the yellow '?' above it and doesn't have to be searched. That is, you can take a beating while completing the quest. Just make sure you have room in your inventory for the 'Bloodstained Journal' you get.	If you have made it as far as the big stone statue you are REAL close to the paladin. He is just right around the corner and you do not need to use the scrying item yet.&nbsp That is for the next part of quest.&nbsp The Paladin should appear on your mini map and will have a ? above him.&nbsp	I guess this quest goes on here: [url=https://classicdb.ch/quest=1282]Quest: Find the Gems[/url]
/?quest=2340	Deliver the Gems	44 Dungeon	37	Horde	1850 XP	Dungeons	Deliver the Necklace and Gem Salvage to Dran Droffers in Orgrimmar. Necklace and Gem Salvage Provided Item: Necklace and Gem Salvage	Well, look who it is! Took your sweet time getting here, I see. Let's hope this isn't a waste of my time! You'll not get paid unless you have everything I asked for. And trust me on this - we'll be double and triple checking everything!	Jarkal Mossmeld	Dran Droffers	Results in 1g25s and leads to: [url=/quest=2341]Necklace Recovery, Take 3[/url] which results in [url=/item=7888]Jarkal's Enhancing Necklace[/url]	Although it doesn't look like it, it is actually part of a series. [http://classicdb.ch/?quest=2339] leads here, and the whole chain actually starts with the Droffers in Orgrimmar.	N/A	N/A	N/A
/?quest=2201	Find the Gems	43 Dungeon	37	Alliance	3600 XP	Dungeons	Find the ruby, sapphire, and topaz that are scattered throughout Uldaman. Once acquired, contact Talvash del Kissel remotely by using the Phial of Scrying he previously gave you. From the journal, you know... * The ruby has been stashed in a barricaded Shadowforge area. * The topaz has been hidden in an urn in one of the Trogg areas, near some Alliance dwarves. * The sapphire has been claimed by Grimlok, the trogg leader. Shattered Necklace Ruby Shattered Necklace Sapphire Shattered Necklace Topaz Provided Item: Bloodstained Journal	Talvash's image comes into focus from the waters of the scrying bowl.'Wow, you're still alive! Did you manage to find the gems? Are you truly the savior of my reputation I have hoped for? Please tell me you didn't waste a charge on the phial just to chat; those things are NOT cheap, and I'm already in dire financial straits.	Remains of a Paladin	Talvash del Kissel	Do yourself a favor and use the scrying bowl before you kill the last boss: Archaedas. Else you're not on the quest and can't loot the quest item.	TOPAZ: In a 'conspicuous urn' near the Alliance dwarves, Dig Two. RUBY: In a 'Shadowforge Crate,' Dig Three (western side of the instance). Two Shadowforge Ambushers will show up (level 43 non-elite), but if you leave right after opening the crate they will be out of aggro range. SAPPHIRE: Drops off of Grimlok, all the way in the NW corner of the instance... whom I killed before logging this quest. Sigh. Well, I can wait for the instance to reset, I suppose.	No More Where Is This! [url=http://www.worldofwar.net/cartography/instances/uldaman.php]http://www.worldofwar.net/cartography/instances/uldaman.php[/url]	Dig Two = is the same room where u get the medallion for the Tsol shaft	Just FYI... You can complete this quest ANYWHERE!&nbsp I left some of the gems at the bank.&nbsp After I had them all, I used the Phial of Scrying right at the bank in Stormwind.
/?quest=2339	Find the Gems and Power Source	44 Dungeon	37	Horde	3750 XP	Dungeons	Recover all three gems and a power source for the necklace from Uldaman, and then bring them to Jarkal Mossmeld in Kargath. Jarkal believes a power source might be found on the strongest construct present in Uldaman. From the journal, you know... * The ruby has been stashed in a barricaded Shadowforge area. * The topaz has been hidden in an urn in one of the Trogg areas, near some Alliance dwarves. * The sapphire has been claimed by Grimlok, the trogg leader. Shattered Necklace Ruby Shattered Necklace Sapphire Shattered Necklace Topaz Shattered Necklace Power Source Provided Item: Bloodstained Journal	You've got another trip into the depths of Uldaman in store for yourself if you don't have the gems and a power source capable of channeling magical power back into the necklace.You'll be getting the gems back to deliver to the goons in Orgrimmar; I will be keeping the power source, since it will be the thing that will make the necklace work in the first place...	Jarkal Mossmeld	Jarkal Mossmeld	Pretty much self-explanatory - Shattered Necklace Ruby is in the Shadowforge Stash (I think that's what it's called) in the room with Galgann Firehammer. When you loot the chest, two mobs will spawn so be careful - Sapphire on Grim'lok, don't forget to loot him as many people missed this one, the most obvious of them all - The Topaz is in a Conspicuous Urn in the room with the three lost vikings, sort of right in front and on the left a bit as you enter it (where you get the Gni'kiv Medallion) - Power Source from Archaedas :)	The gems are found in Uldaman. First one is in a vase at the first boss (Baelog). Second one is in a chest at the boss Galgan Firehammer (or something). Third one is dropped by Grimlok the trogg. The power source is dropped by Archaedas (or something), the last boss. Good luck ^^	Leads to: [url=/quest=2340]Deliver the Gems[/url] which results in 1g25s and leads to: [url=/quest=2341]Necklace Recovery, Take 3[/url] which results in [url=/item=7888]Jarkal's Enhancing Necklace[/url]	http://classicdb.ch/?item=7668 (Bloodstained journal) will stay in your bag after you completed the quest, *You won't need it anyway when u turn in the quest so it's trash and safe to delete.	The urn is located near the 3 named dwarfs.&nbsp Olaf, Eric the Swift and the other guy
/?quest=2199	Lore for a Price	41 Dungeon	37	Alliance	2450 XP	Dungeons	Bring five silver bars to Talvash del Kissel in Ironforge. Silver Bar (5)	Have you got the five silver bars I asked for? I will share my sad tale of woe with you concerning the necklace you now possess... but only after I get those bars! Please, help a gnome out, won't ya?	Talvash del Kissel	Talvash del Kissel	I completed this at level 44 I got 2450 XP and an 'increase' in Gnomeregan Exiles reputation	A suggestion for those unwilling or unable to pay, at least in my experience, the sometimes exhorborant prices for silver bars (on my server it was several gold a bar) is to utilise the fairly decent drop rate from chests in the lowbie zones. [url=http://classicdb.ch/?object=2843]Battered Chest[/url] For example I used the maps for Elwynn Forest and Westfall and had barely started my lap around Westfall before acquiring all 5, your experience may vary however of course.	If you get the necklace in Uldaman, do yourself a favour and pick up 5 silver bars on the Auction House before you go to turn in. It will save you a bit of time as the next stage in the quest simply asks for 5 silver bars. Talvash Del Kissel can be found in the Mystic Ward at 36,3 (just north east of the Mage/Priest training hall).	Did you get them from the mail box yet?&nbsp maybe they are in the bank.&nbsp Try to abandon the quest and get it again, just make sure the 5 silver bars are in your bags.	Seems this quest has gone through a lot of changes. I just did it tonight for the first time, and got to keep the 5 bars after completing this stage of the quest. (Which was nice, just unexpected!)
/?quest=2283	Necklace Recovery	41 Dungeon	37	Both	2450 XP	Dungeons	Look for a valuable necklace within the Uldaman dig site and bring it back to Dran Droffers in Orgrimmar. The necklace may be damaged. Shattered Necklace	Well, do you have the necklace? You won't see a copper from us if you don't have that necklace!	Dran Droffers	Dran Droffers	As soon as you land in Orgrimmar by Zeppelin, take the bridge to the left of [b]Doras[/b] the Windrider Master.&nbsp Bare to the right, and then head down the tunnel you'll see to your right.&nbsp That will be [b]Cleft of Shadows[/b].&nbsp Run straight and take the exit toward NorthEast.&nbsp After entering [b]The Drag[/b], turn one quarter to the left.&nbsp Dran Droffers is straight ahead in that building...I think his brother is keeping him company.&nbsp (sorry, the maps are broken in that section and /tloc shows 0.0)	He's at 59, 36.&nbsp The directions above are accurate.	I will admit - I didn't read all of the notes on this one....or maybe I would have realized that when I find the shattered necklace I have to take it to Dran Droffers in Org. Instead, I attempted to accept the quest and was told 'this is not available to your race.' so I threw it away.	Dran Droffers = Fred Sanford rearranged Malton = Lamont (Fred's son) Anagrams! Not sure who Gilveradin Sunchaser is supposed to be, but it's certainly not Bubba.&nbsp Someone who drank lots of ripple I guess. The instance is in the Badlands.	This was pretty clearly a tip of the hat to sanford and son, but I only just noticed today that Dran Droffers and Malton Droffers are anagrams of Fred Sanford and Lamont.&nbsp I didn't watch the show regularly but I get the feeling that the guy in the hinterlands is a reference to someone else, too.
/?quest=2284	Necklace Recovery, Take 2	41 Dungeon	37	Both	2450 XP	Dungeons	Find a clue as to the gems' whereabouts in the depths of Uldaman.	N/A	Dran Droffers	Remains of a Paladin	Enter the Uldaman Instance from the main area in Northern Badlands. Once you're in the instance, head right, and keep following the wall to your right.&nbsp Eventually it'll lead you the the paladin.	The paladin is located just inside the main entrance, on the right side of those hallways.	The paladin corpse is marked on the minimap and is found on the instance-atlas (for the lucky ones who got one)... the corpse is guarded by a few troggs	The objective is nicely marked on the map - can't be any easier :)	this is a very simple quest. all you have to do is get inside the instance and run to the body. i done this with a shaman so it should be easier for all the other classes. when you get the the body, click it and complete the quest, then accept the new quest. haha very easy
