# Quest Data for Eastern Kingdoms - Burning Steppes
# Generated: 2025-08-18 16:45:18
# Total quests: 24
# Comment scrape timestamp: 2025-08-18 17:19:51

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=4022	A Taste of Flame	54	52	Both	5450 XP	Eastern Kingdoms	Show Cyrus Therepentous the Black Dragonflight Molt you received from Kalaran Windblade. Proof Presented Black Dragonflight Molt	<Cyrus's eyes form two blazing spheres.>	Cyrus Therepentous	Cyrus Therepentous	He's at 94.31	In order to get this quest you have to have done this quest series http://classicdb.ch/?quest=3442 which starts in Searing Gorge. EDIT: It turns out that this is the first quest you have to do, although it's very simple, and from the same guy. http://classicdb.ch/?quest=3441	Talk to him again once you get the quest...&nbsp He'll spawn a 54 elite.&nbsp Kill him and get the Molt as loot. If you're in a group, be warned: The Molt is NOT a group loot item, one person should get the quest, call in the minion, then the next person, etc...	I have the molt in hand and he keeps asking for me to show it to him...but then the quest marker for him after he asks for it turns grey, as if I have not filled the prereqs. About to submit a ticket if I can't find out more info.	Cyrus Therepentous gives it to you, he is in the cave in Burning Steppes&nbsp it's the cave to the NE along the Mountains.
/?quest=4023	A Taste of Flame	54 Group	52	Both	5450 XP	Eastern Kingdoms	Show Cyrus Therepentous proof of your worth. You have a feeling that Cyrus already knows that you are unworthy. Black Dragonflight Molt	<Cyrus's eyes form two blazing spheres.>	Cyrus Therepentous	Cyrus Therepentous	You can also get the molt by completing a series of quests, which ends with the quest [url=https://classicdb.ch/quest=3463]Set Them Ablaze[/url], in&nbsp the Searing Gorge. After all is said and done, there's a chest next to the squire from this chest you get the molt. THAT is what the other folks were talking about. The info is still valid with v1.10, 'cause I just completed it about 15 minutes ago. (29March2006)	Speak with Cyrus after you have the quest and say you do not have any proof. Another dialogue option saying you're ready will summon a 54 dragon to defeat for the quest.	Ok to talk to this guy you go to 94,31 click on man in cave he says proove your worth accept quest click on man again click 'how do i prove my worth?' slay dragon get molt then BRD time:)	Solo'd as a 54 hunter... Started the fight with pet tanking and spamming as much dmg as possible before pet died... Then I kited the drake south following the mountains using serpant sting and acrane shot... Aspect of Cheetah helped to get some distance for some auto and multishots before he got in range again... Didn't use any pots or other perishables during the fight Also, I'm pretty sure the level of the drake is related to the level of who who spawns it, as it was always 54 on my attempts~ Note: The drake is immune to all non-damage status effects	And for the record, the spawned dragon is no longer an elite.
/?quest=4726	Broodling Essence	52	50	Both	5100 XP	Eastern Kingdoms	Bring 8 Broodling Essence and the Draco-Incarcinatrix 900 to Tinkee Steamboil at the Flame Crest in the Burning Steppes. Broodling Essence (8) Draco-Incarcinatrix 900 Provided Item: Draco-Incarcinatrix 900	Do you have the broodling essence, <name>? I can't wait to study it.And besides that... my patron is not the type of person you want to disappoint.	Tinkee Steamboil	Tinkee Steamboil	Any of the small broodlings work for this quest. Fire the device at them, then kill them, and a crystal will spawn. Loot the crystal for the essence. Also, be careful - the device has a *tiny* range.	You�d better try 90,43. Many more there, than at the coords above. Well, at least, when I did the Quest. Regards, Rick	find a broodling dragon, click on it like u are gonna attack from a distance, once your attack sites are locked on to it,&nbsp right click on the gizmo the guy gives u to get the essence.&nbsp You have to get close enough to allow it to work.&nbsp Once you are close enough a bar graph shows up like any spell, or calling your horse, etc. when the bar graph runs through successfully the gizmo will shoot the dragon with some firework like stuff.&nbsp this will not harm the dragon but the dragon will now be encumbered in a purplish fog with circular black streaks, kill the dragon.&nbsp When the dragon dies a reddish orange crystal appears where he fell.&nbsp When you correctly put your sites on it, a gold gear will appear.&nbsp Right click for the gear's bar graph to appear and complete its time.&nbsp A loot window will then appear with a red circular item that is the essnce. click on it.&nbsp now u can do a regular loot on the dead dragon as well.&nbsp As a note i had no trouble for me to complete the aiming and shooting of the dragon with the gizmo.&nbsp I was able to solo this quite easily except for the annoying little scorpions that kept popping up	At level 54 this got me 5100 XP and an increase in my reputation with Steamwheedle Cartel.	Forgot to say 90,43 are the best cords. watch out for the patroling eleite dragon though
/?quest=4182	Dragonkin Menace	54 Group	48	Alliance	5450 XP	Eastern Kingdoms	Slay 15 Black Broodlings, 10 Black Dragonspawn, 4 Black Wyrmkin and 1 Black Drake. Return to Helendis Riverhorn when the task is complete. Black Broodling slain (15) Black Dragonspawn slain (10) Black Drake slain Black Wyrmkin slain (4)	How goes the dragon hunt?	Helendis Riverhorn	Helendis Riverhorn	This *was* the starting quest of the Onyxia access.	[i]Dragonkin Menace[/i] -> [i]The True Masters[/i] (part 1, Redridge) -> [i]The True Masters[/i] (part 2, SW) -> [i]The True Masters[/i] (part 3, back to Redridge) -> [i]The True Masters[/i] (part 4, back to Morgan's Vigil in Burning Steppes) -> talk to Ragged John -> talk to marshal Maxwell -> [i]Marshall Windsor[/i] -> [i]Abandoned Hope[/i]. Next step begins when you find a Crumpled Note off random drop in BRD. Take it back to Marshall Windsor and get [i]A Shred of Hope[/i] -> [i]Jail Break[/i] -> [i]Stormwind Rendevous[/i] -> [i]The Great Masquerade[/i], and you then get the key to Onyxia's Lair!	It seems in 2.3 they've changed the Black Drakes, Black Dragonspawn, and the Wrymkin from elite to non elite.	Very first step to fighting onyxia	A lot of posts about useless stuff and agruments and not enough on how to actually complete this part of the quest. [i]You receive the quest from Morgan's Vigil, from the only elf there.[/i] [b]To complete this part of the chain just walk down the ramp of Morgan's Vigil and turn east. Walk eastward until you hit the mountains and see some elites. From this point you can run strait north and along the way you will see all the required creeps you need to complete the quest.[/b]
/?quest=3823	Extinguish the Firegut	52	48	Alliance	5100 XP	Eastern Kingdoms	Slay 15 Firegut Ogre-Mages, 7 Firegut Ogres, and 7 Firegut Ogre Brutes, and return to Oralius when you are finished. Firegut Ogre Mage slain (15) Firegut Ogre slain (7) Firegut Brute slain (7)	There is not nearly enough blood on your uniform, soldier!	Oralius	Oralius	The enterence is at 76,47 and the brutes are rare spawn of the ogres... Edit: Brute cave at 82,38	For those that like coords, I found them starting at: 84.0,53.9	82,40 all the Brutes you could want!	Be extremely careful around Dreadmaul Rock, a level 60 elite rare circles here. He's hard to miss. Really tall and red.	I found all the ogres and magi I needed on the west side of the mountain. There were plenty of brutes in the northern cave.
/?quest=4283	FIFTY! YEP!	56	50	Alliance	5800 XP	Eastern Kingdoms	Oralius wants 50 Blackrock Medallions. Chances are high that these medallions can be found on the orcs in the Burning Steppes. Blackrock Medallion (50)	<Oralius is talking into a rather large, severed ogre ear.>Burning Steppes to control, come in control.	Oralius	Oralius	Don't be 'scared' that you need 50 of these. The mobs can drop up to 10 some times, very quick quest to do!	The Pillar of Ash is indeed the best place with the smallest pulls to grind the orcs out. The coordinates are 49,57	My wife and I just did this quest and tried the worgs in the SE near the dragonkin. Every once in a GREAT while we got a couple, but got 50 each in just a few minutes on the orcs near the Pillar of Ash area.	56,36	confirm [b]45,37[/b] It is blackrock stronghold, you can see it on your map.
/?quest=4808	Felnok Steelspring	54	50	Both	2700 XP	Eastern Kingdoms	Give Tinkee's Letter to Felnok Steelspring. Tinkee's Letter Provided Item: Tinkee's Letter	It's cold up here! I hope you brought me a blanket!	Tinkee Steamboil	Felnok Steelspring	61,38	Quest starts at the NPC named: Tinkee Steamboil A prereq to this quest is: Broodling Essence [quest=4726] Exp reward for this quest is: 2700 exp Completing this quest leads to: Chillwind Horns [quest=4809]	Felnok Steelspring is a male goblin located at (61,6.38,6) at Everlook, Winterspring. He is located outside the first building east of the inn. /target Felnok will do the trick for you if you have a hard time finding him. As of patch 2.3, you are rewarded 3.900 experience and 75 reputation (82 reputation if you are human). Never been to Winterspring? Go to the northern part of Felwood. Through the Timbermaw Hold. Once you get to Winterspring, follow the road east til you get to (a goblintown) called Everlook.	1 L52 [url=https://classicdb.ch/quest=4726]Broodling Essence[/url] 2 L54 [url=https://classicdb.ch/quest=4808]Felnok Steelspring[/url] 3 L54 [url=https://classicdb.ch/quest=4809]Chillwind Horns[/url] 4 L54 [url=https://classicdb.ch/quest=4810]Return to Tinkee[/url] 5 L60 [url=https://classicdb.ch/quest=4907]Tinkee Steamboil[/url] 6 L60 [url=https://classicdb.ch/quest=4734]Egg Freezing[/url] 7 L60 [url=https://classicdb.ch/quest=4735]Egg Collection[/url] 8 L60 [url=https://classicdb.ch/quest=5522]Leonid Barthalomew[/url] 9 L60 [url=https://classicdb.ch/quest=5531]Betina Bigglezink[/url] 10 L60 [url=https://classicdb.ch/quest=4771]Dawn's Gambit[/url]	to get to Everlook, you have to go through Felwood to Timbermaw Hold. Before you can do so, there are some quests you have to do for the neutral furbolg in that area. they will then allow you to pass through Timbermaw hold and on to Winterspring.
/?quest=3824	Gor'tesh the Brute Lord	53	48	Alliance	5250 XP	Eastern Kingdoms	Find Gor'tesh, somewhere to the west of Dreadmaul Rock. Kill Gor'tesh and then take Gor'tesh's Lopped Off Head back to Oralius in Burning Steppes. Gor'tesh's Lopped Off Head	Oh glorious day! Have you returned with the head?	Oralius	Oralius	I found Gor'tesh at 40, 55(ish) with a level 57 add, he hits really hard for a normal mob, so classes that can't kite should have a health potion ready.	I'm not sure if he's was bugged before the patch or not, but he's on permanent evade for me.	39 . 54&nbsp this is tloc...	Here is the most simple way of finding him. Go to Burning Steppes. Run to The Pillar of ashes. Go to the hut on the western side when looking at your map. Wait for pats and kill him and his guard. Was that so hard to tell people who need help now?	39.55 ! ! проверено
/?quest=3822	Krom'Grul	53	48	Horde	5250 XP | Item: Sha'ni's Ring	Eastern Kingdoms	Recover Sha'ni's Nose-Ring from Krom'Grul and return it to Thal'trak in Kargath. Search the various caves and mines in Dreadmaul Rock. Sha'ni's Nose-Ring	Did you find Sha'ni? Is she ok?	Sha'ni Proudtusk	Thal'trak Proudtusk	He wanders around the Ogre area. First check the cave at the foot of the hill, then walk over to your left and around to the cave on the other side. You'll run into him in either of the 2 caves or in between them.	For all the confused people, (like I was) here you go. 1. YOU need to go to the path at 78,34 2. Follow the path upwards (east) until you see a cave on your right, at 83,38. 3. Enter the cave. (83,38) 4. Turn RIGHT (down the skinny piece of map.) Krom'Gul should be at 79,47 or near there inside the cave. That is where I found him at. If you don't have cords, you better get some.	For all the confused people, (like I was) here you go. 1. YOU need to go to the path at 78,34 2. Follow the path upwards (east) until you see a cave on your right, at 83,38. 3. Enter the cave. (83,38) 4. Turn RIGHT (down the skinny piece of map.) Krom'Gul should be at 79,47 or near there inside the cave. That is where I found him at. If you don't have cords, you better get some.	I have done this quest at least twice and found him in different caves. The second time I did the quest he was exactly where EvilGrinUK described, but someone killed him before I did. I waited for him to respawn, hoping he would respawn in the same spot, but he did not. He respawned in the same cave, but in a different location ... way in the back. The first time I found him he was in the cave on the opposite side of the mountain. You can use a macro '/target Krom' to help. Respawn time is your typical 5 minutes, or there abouts.	So I was having some trouble finding this guy like some do, and after reading a bit I found him like this... I Made a macro to target him. /target Krom'Grul Then because I'm a priest, I mind vision from guard to guard clicking my target macro till I target Krom. Then Mind vision him and find out where he is. To other classes I hope the target macro helps you. --For me, Krom was in the cave that is on the northern most side of the mountain. at the fork inside, where you can go left, straight or right, he was down the left eastern most one in the big room with the water flowing to the center. He was in a small little cave on the right side of the room being blocked by another ogre.
/?quest=5522	Leonid Barthalomew	60 Dungeon	57	Both	4950 XP	Eastern Kingdoms	Bring the Frozen Eggs to Leonid Barthalomew in the Eastern Plaguelands. Frozen Eggs Provided Item: Frozen Eggs	You are the one up to mischief in Blackrock Spire, yes? Do you have what I asked for?	Tinkee Steamboil	Leonid Barthalomew the Revered	1 L52 [url=https://classicdb.ch/quest=4726]Broodling Essence[/url] 2 L54 [url=https://classicdb.ch/quest=4808]Felnok Steelspring[/url] 3 L54 [url=https://classicdb.ch/quest=4809]Chillwind Horns[/url] 4 L54 [url=https://classicdb.ch/quest=4810]Return to Tinkee[/url] 5 L60 [url=https://classicdb.ch/quest=4907]Tinkee Steamboil[/url] 6 L60 [url=https://classicdb.ch/quest=4734]Egg Freezing[/url] 7 L60 [url=https://classicdb.ch/quest=4735]Egg Collection[/url] 8 L60 [url=https://classicdb.ch/quest=5522]Leonid Barthalomew[/url] 9 L60 [url=https://classicdb.ch/quest=5531]Betina Bigglezink[/url] 10 L60 [url=https://classicdb.ch/quest=4771]Dawn's Gambit[/url]	the chain starts at Burning Stepps 64,24...its the northern most cave area in Burning Stepps towards the center of the map. Hope this helps. You will have to do chains through UBRS (Upper Black Rock Spire) In order to get to this part. Good Luck.	is the follow up from : https://classicdb.ch/quest=4735	its a long quest chain, im looked for it for long time, checked thott and allakhazam as well as other wow sites. and finnaly i found (at least i hope) whole chain so i can find where im in it (cause i did some of the quests) [url=http://pc.gamespy.com/guides/wowat60/alliance/scholomance.html]http://pc.gamespy.com/guides/wowat60/alliance/scholomance.html[/url] check downs gambit chain ill confirm it after i get ze staff :)	N/A
