# Quest Data for Eastern Kingdoms - Hillsbrad Foothills
# Generated: 2025-08-18 16:43:26
# Total quests: 53
# Comment scrape timestamp: 2025-08-18 17:23:43

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=565	Bartolo's Yeti Fur Cloak	34	29	Alliance	2700 XP | Item: Yeti Fur Cloak	Eastern Kingdoms	Bring Bartolo Ginsetti of Southshore a Bolt of Wool, a Hillman's Cloak, Fine Thread and 10 clumps of Yeti Fur. Bolt of Woolen Cloth Fine Thread Hillman's Cloak Yeti Fur (10)	So you have returned to the great Bartolo. Perhaps you have finished gathering the materials needed for your Yeti Fur Cloak? Or maybe you just enjoy basking in the greatness of me, Bartolo!	Bartolo Ginsetti	Bartolo Ginsetti	Bolt of Woolen CLoth -- ask a player who train tailor make for you Hillman's Cloak -- ask a player who train leatherworking make for you Fine Thread -- buy from a npc vendor in tailor shop Yeti Fur -- go kill them	The [b]Yeti Fur[/b] has a pretty decent drop rate in the [b]Darrow Hill[/b] cave. I went in the cave and there were literally like 10 other people in there killing yeti's and we're all running around trying to grab a yeti... And I STILL was able to get 10 furs in like 15 minutes. The Cave Yeti's have a REALLY fast spawn rate. I would recommend going in the cave and killing Cave Yeti's and Ferocious Yeti's to get your furs. (The Yeti's are levels 30-31) The loc of the cave entrance is: [b]46, 31[/b] in Hillsbrad Foothills. Good Luck! It's an easy quest... except you have to buy the other three ingredients from AH or other people. But getting the Yeti Furs, you should have no problems. [b]For People WITHOUT Coords Mod:[/b] Darrow Hill is just NORTH of Southshore.	found a cave full of yeti at 46,32 lvl 30-31 and 1x32. got the fur in 10 min.	To all those who have finished this quest but cant complete it because of the greyed-out button issue, you need to make sure you have all items in your inventory, NOT IN YOUR BANK. If you have an item in the bank, it will show up as credit in your quest log but you wont be able to complete the turn-in	The materials needed to make a cloak are 5 Heavy leather and 2 Fine thread. Leatherworkers with 150+ can make it for you.
/?quest=527	Battle of Hillsbrad	24	19	Horde	1950 XP	Eastern Kingdoms	Kill 6 Hillsbrad Farmhands, 6 Hillsbrad Farmers, Farmer Ray and Farmer Getz and report back to Darthalia in Tarren Mill. Hillsbrad Farmer slain (6) Hillsbrad Farmhand slain (6) Farmer Ray slain Farmer Getz slain	As High Executor of Tarren Mill, under the direct command of Varimathras and the Dark Lady, you are subject to follow my command.Perhaps you take this war with the Alliance lightly? If such is the case I should behead you right here and now. Otherwise, travel west to the town of Hillsbrad and wage battle against the humans, as ordered.Dismissed.	High Executor Darthalia	High Executor Darthalia	Ray spawns at what know either inside the big house (2nd floor) or in the garden thingy to the east of it. Getz spawns at what i know 3 locations. Either in the barn, the small house or out on the second and middle field.	Location for [url=https://classicdb.ch/?npc=232]Farmer Ray[/url] Location for [url=https://classicdb.ch/?npc=2403]Farmer Getz[/url]	I was found Ray in Loc 33,35 and Getz 36,39	If you are having trouble locating them, try typing /target farmer ray and /target farmer getz as you move about the camp, and then mark them with a raid icon.. easier to spot them this way when you look for a giant skull.	Part 1: Kill the farmers and some workers! one of the farmers is in a house another is in the middle of a field. Part 2:Kill some cowardy peasents! There all south of where the farmers are or around the town hall building. Part 3:Kill the blacksmithers There outside the town hall building. The blacksmither that you have to kill (Not the apprentices) is on the north side of the building and the iron is inside the blacksmiths Part 4: The mine is just below the hillsbrad farms. It is lvl 25-31 npc's the&nbsp guy you need to kill is far inside the mine and is standing on a wooden stage. when he dies a bunch of dwarf's (lvl 30) try and kill you Part 5:The dwarf's hollow mountain hold is east of southshore. (south east of Tarren mill) there lvl 27-32 ELITES! this you will need a part of 3+ unless your above the level of 26 Part 6:The easiest bit! Make your way to the undercity, Royal quater. the letter needs to be handed in to the demon guy standing next to lady Sylvanas WIndrunner. AND THATS ALL! the rewards are nice if you havent got a good shield sword or cloth item.
/?quest=528	Battle of Hillsbrad	25	19	Horde	2000 XP	Eastern Kingdoms	Kill 15 Hillsbrad Peasants and report back to Darthalia in Tarren Mill. Hillsbrad Peasant slain (15)	You have your orders, <class>. Quit dawdling here in Tarren Mill when there is work to be done elsewhere.	High Executor Darthalia	High Executor Darthalia	Coords. are 34,46 - 35,46. Lvl 27 Mage, np. If you have q 'Dangerous!' (recommended) you can find Kalaba in this area as well.	Find Hillsbrad Peasants mostly at 35, 45	Make sure you stop and get the souveneirs of death quest too.&nbsp You'll be needing to collect skulls and they don't drop them very fast.&nbsp You'd think there'd be one skull per peasant, but nooooo.&nbsp More like one skull per 3 humans killed.&nbsp Maybe I hit them too hard.	Be aware that the peasents run at about ~40% health and run very fast. Prepare to get about 15 adds if they run into the council building. Lvl 30 quest.	They are in the field at 34.46 I did this quest as a 23 Shaman, no problem, just use Frost Shock and lay a Earthbind Totem down so when they run they dont get away.
/?quest=529	Battle of Hillsbrad	26	19	Horde	2100 XP	Eastern Kingdoms	Kill Blacksmith Verringtan and 4 Hillsbrad Apprentice Blacksmiths. Retrieve a shipment of iron and report back to Darthalia in Tarren Mill. Blacksmith Verringtan slain Hillsbrad Apprentice Blacksmith slain (4) Shipment of Iron	Were you able to carry out your orders, <class>? Did you dispose of Verringtan and his assistants? And where is that iron shipment?	High Executor Darthalia	High Executor Darthalia	Blacksmith Verringtan: 32, 44 Hillsbrad Apprentice Blacksmith: 32, 46 Shipment of Iron: 32, 46 (https://classicdb.ch/?object=1736)	32,46 is the shipment they are around there..	Follow the road to Hillsbrad (going west).&nbsp They are located in South Hillsbrad right off the road.&nbsp Look north for the foundry and blacksmiths.&nbsp The iron is also in the workshop.	Iron is at 32.45 inside the building..	A note to player blacksmiths: The forge and anvil in the Hillsbrad smithery is fully usable. So it is sometimes convenient to kill the Hillsbrad citizenry in order to smelt and/or smith your ore rather than pay a visit to the Undercity.
/?quest=532	Battle of Hillsbrad	26	19	Horde	2100 XP	Eastern Kingdoms	Kill Magistrate Burnside and 4 Hillsbrad Councilmen. Destroy the Hillsbrad Proclamation. Steal the Hillsbrad Town Registry. Report back to Darthalia in Tarren Mill afterwards. Magistrate Burnside slain Hillsbrad Councilman slain (4) Hillsbrad Proclamation destroyed [ Opening ]	What news have you?	High Executor Darthalia	High Executor Darthalia	These coords. are not right. Can be found at [b]29,41[/b] [b]Burnside[/b] is in the big house standing in the large room. [b]Proclamation[/b] is just in front of Burnside. [b]Registry[/b] in also next to Burnside it is the book in the corner. The councilman are around this house to. did it alone as a 27 mage.	Was in the area as a 36/37 warrior, so I hung around the town hall and watched / helped lvl 20-25 who were doing this quest. It was raining in Hillsbrad Foothills... My observations: -- Lvl 20-25 PCs aggro in a huge (make that HUGE) radius in this area. Or more correctly, the mobs are tightly confined in a small area, and there are several places where view is obscured, and it's really easy to aggro an add in the heat of battle. -- It is not uncommon for 4-6 mobs to aggro to lvl 20-25 PCs in the town hall courtyard and in the council chamber room of the town hall. For example, just outside the entrance of the compound it's likely that at a minimum a councilman and 2-3 footmen will engage the PCs, and given the difficulty of taking them down, runners and / or patrols will probably pull in more mobs. A councilman will aggro and begin lobbing frost spells, likely locking down one or more PCs with 'frost boots' -- then you can't pursue the runners. At the doorway to the town hall there are two guards + patrols + at least one councilman who will easily aggro if any one of them is engaged. The courtyard is full of footmen and more council members who may aggro off of runners. As a lvl 24 squishy and I were leaving the town hall 6 or 7 mobs aggroed to us, and it was all I could do to keep her alive as they aggroed to her. Later a 20 and 25 engaged the two footmen at the doorway and a councilman off to the right out of view aggroed and started blindsiding the squishy with frost spells (sometimes I wish that WoW aggro would handle line-of-sight better -- it's frustrating to suddenly have frostbolts coming out of a wall at you). Inside the two rooms leading to the council chambers is a single guard in each room no problem if you take them down without allowing them to run. Lastly, the nightmarish council chamber must be dealt with. I don't have an accurate count of the mobs in the room, but I do know that there is a footman by the door, a footman + council member in the back corner, the clerk in the middle of the room, the mayor at the far podium, and I think there are a couple more footmen and another councilman in the middle. So about eight mobs. As a level 36 warrior it was not a problem since I could take three mobs at a time, hamstring, cut them down, and not aggro others in the room. When a lvl ~25 enters the room the whole place lights up, and you'll have at least six mobs on the PC. If you can't stealth, then my advice is to enlist a lvl ~35+ to help clear the mobs, or get together a big group of lvl 20-25 -- I'd suggest a party of six at that level. For the lvl 20-25 with the Battle of Hillsbrad and Dangerous quests grouping with a lvl ~35+ you might have to kill the clerk, major, and some council members off of respawns, and the XP of the lvl 20-25 may be reduced a lot, but a lot of frustration will be saved. Good luck...	Can be found at 30, 42.	You'll need a gun or long range weapon for this! Soloed this with a lvl 27 Orc Warrior. (did not die at all :)... got close once, but nothing serious.. just make sure you've got some nice potions ready) You can easily sneak your way in through the right side of the gate that leads to the house. (right when standing in front of the house, facing the entrance.. not that you should do that). There should be one guard there.. but no problem. After you wait for the councilman to the left to clear the area (do NOT attack him.. this will aggro 3 other guards to kick your butt), sneak to the left and drag one guard who's standing in front of the house with you.. make sure not to run too far or you'll find yourself fighting 3 people :) After that just pick off the councilman who's standing right there... some guard will come rushing, but nothing serious. Next, go back to the entrance of the house, on the right side should be a councilman, a guard and a few peasents. When timed right, you can get the guard alone, the councilman alone and the two peasents who should be easy by now. Next, just go inside, charge the one guard standing there... kill him, charge the next guard.. kill him too :D.. here comes the tricky part.. use the long range weapon i previously mentioned to shoot the councilman on the LEFT of the council room.. this should only aggro the councilman and the guard next to him. Assuming you beat those two... now comes the only hard part... killing a group of 3 (councilman and two guards) by standing in front of the councilroom and running in while staying to the left. Then just run back outside and force the councilman to follow you (since you're out of his line of sight :p). Next, just shoot the remaining councilman, this way you won't aggro that.. eh.. boss guy, run out of the room again so he has to follow you. And then just nail Mr. Boss-whos-name-i-forgot (too lazy to press back on my browser). voila... that's how i did it ^^	Like many quests this one got a whole lot easier in 2.3, the rooms before the main one now contain a single weak councilman each of which can be pulled without adds. The main room only contains burnside, 1 councilman and the clerk all of which can be pulled individually. Burnside is level 30 but he's pretty weak now. Easily soloed as a level 26 fire mage without even using polymorph.
/?quest=539	Battle of Hillsbrad	28	19	Horde	2300 XP	Eastern Kingdoms	Kill Foreman Bonds and 10 Hillsbrad Miners and report back to Darthalia in Tarren Mill. Foreman Bonds slain Hillsbrad Miner slain (10)	You were given direct orders to attack the Azureload Mine. Your reasons for loafing about Tarren Mill better be good or I will behead you for treason.	High Executor Darthalia	High Executor Darthalia	Very easy quest.&nbsp Don't mind the sentrys outside the mine.&nbsp Just go inside the mine and take the miners one at a time. The cords for the mine are : 26,61 The cords for Foreman Bond are 30,58.(Underground/In the Mine) He didn't call any dwarves on me because I killed him fast but if you don't kill him fast enough he will call out two dwarves.	Foreman Bonds is at 31,56 in the Azurelode Mine. Use the lower entrance.	This mine is link city, but a group of 3 level 25's should be able to handle it without much trouble. Enemies range from 27-28. Foreman Bonds is level 30.	as a level 28 priest. Go down the mine and take the first fork to the right, then straight, then right. There is a platform, like a stage mentioned earlier. I thoroughly cleared the room making single pulls of each mob. I then pulled Bonds, using fear and Mind Flay when the dwarves appeared. The dwarves will die automatically a short after Bonds' death because I only killed one of them but they both died. I got 408xp (204 rested) for Bonds, 244xp (122 rested) for the Dun Garok Soldier that spawns, 2300xp and +100 rep (Undercity) for turn in.	Also don't forget to pick up Dangerous! http://classicdb.ch/?object=2008 Miner Hacket is in there as well.
/?quest=541	Battle of Hillsbrad	30 Group	19	Horde	2450 XP	Eastern Kingdoms	Travel to Dun Garok and kill 8 Mountaineers, 4 Riflemen, 2 Priests and Captain Ironhill and report back to Darthalia in Tarren Mill. Dun Garok Mountaineer slain (8) Dun Garok Rifleman slain (4) Dun Garok Priest slain (2) Captain Ironhill slain	Dun Garok proves to be too much of an obstacle for you, <class>? And here I thought you had established yourself valiantly in Hillsbrad.If you're not up to handle the mission assigned to you, I will find another who can produce better results. As for you, well, I am sure the Dark Lady could always use more grave diggers back in Tirisfal Glades.	High Executor Darthalia	High Executor Darthalia	Anyone else think the 'ankle bashers' comment in the description was funny? Cause I cant stop laughing about it.	Cords 69,78	There is a step missing in between this step and the kill Mayor step: Objectives: Kill Foreman Bonds and 10 Hillsbrad Miners and report back to Darthalia in Tarren Mill. Game Description: The Hillsbrad Town Registry indicates that the Azureload Mine is under Alliance control. Furthermore, the mine is a prime source of iron ore for the Alliance armories. Even though we've struck a decisive blow to the town of Hillsbrad, the Alliance still supports and protects the Azureload Mine fervently. The mine lies due south of Hillsbrad. Go there and slay the foreman, a human by the name of Bonds. Kill his miners as well. That should send a clear message to the Alliance. Rewards: You will receive 16 sp, 50 cp	As of patch 2.3 the mobs in Dun Garok are no longer elite, so this quest can be done solo at its level.	Capt. ironhill can spawn either downstairs in the dining room or upstairs in a barracks like room. I think he was level 34. Thinking he was downstairs, we pulled into the room at the bottom of the stairs, which leads into the upper portion of the dining room. With the right timing you can get 1 or 2 per pull. If he is upstairs then we pulled to the top of the stairs. Its best to clear the room to the left of the capt's room to avoid extra adds when you fight him. Runners can be a major problem up there and will lead to some nice trains if they get away since the space is tight. Just a warning for some reason I kept getting aggro from up above in the big room with the steam tanks. There were riflemen up there that kept sniping me then would chase down the strairs bringing about 10 of their friends. If this happens to you id suggest running to the opposite side of the room and dieing at the bottom of the stairs as that spot seemed to be safe to res/buff. Dunno if this was a bug or just the fact that riflemen were up there and i was an orc or what but the undead and troll i was with did not have the problem. Perhaps im just unlucky. cord 71.78 )
/?quest=550	Battle of Hillsbrad	32	19	Both	2550 XP | Pick: [Sacred Burial Trousers, Deadskull Shield, Runic Darkblade] | Item: Band of the Undercity	Eastern Kingdoms	Take Darthalia's Sealed Commendation to Varimathras in the Undercity. Darthalia's Sealed Commendation Provided Item: Darthalia's Sealed Commendation	What brings a <class> all the way to the Undercity from the battlefield?	High Executor Darthalia	Varimathras	56,92	Getting great quest rewards outside instances are very rare. But combine this quest with other quests in Hillsbrad, and you're looking at a very good xp reward. There are several other quests in Tarren Mill which can be done along with this chain.	If you look at the map of Undercity .. there is a small passage leading BEHIND the Apothecarium. Go thru the middle door when ur in front of the Apothecarium. It leads to a big room with the Banshee Queen and this guy - big ugly winged fellow :) Fem	Varimathras is located in the Royals area of Undercity.	ok so I found out you need 21300 to get to level 20. doesn't give you much to play with. So if I did try for this, I'd make sure I had a 70 with me at all times and only group when killing quest mobs xp from quest turn ins give a total of 15450 xp. that's just from turn ins.
/?quest=506	Blackmoore's Legacy	36	29	Both	2100 XP	Eastern Kingdoms	Return the information gathered by Gol'dir to Krusk in Tarren Mill.	N/A	Gol'dir	Krusk	Go back to Tarren Mill and talk to Krusk.	N/A	N/A	N/A	N/A
/?quest=557	Bracers of Binding	34	30	Horde	2700 XP	Eastern Kingdoms	Bring 4 Bracers of Earth Binding to Keeper Bel'varil in Tarren Mill. Bracers of Earth Binding (4)	Hello, <name>. Elementals are tough quarry, but I know you're up to the task. Do you have those bracers of binding?	Keeper Bel'varil	Keeper Bel'varil	i think its hilarious how people complain about drop rates... its made like that so you spend time grinding to get what you need... personally if i didnt have a goal to killing something endlessly i get bored real quick. so its nice to have these quests that force you to grind (most of the time... some of ya get lucky).	seems to be that there are 2 camps....one near the Lorderon Internment Camp....and then another one further North directly on the east side of the shield.&nbsp Go to the 2nd one and you'll have better luck.&nbsp You'll also notice there are many more elementals there. =)	Bracers from elemental slaves can be found at 22,66 in dalaran	Easy, just kill the elemental slaves in Dalaran. Double this quest up with Dalaran Patrols for easy xp.	I got the bracers off Elemental Slaves in Dalaran. around 14,72
