Rank	Name	Guild	Faction	DPS	Size	Date	Duration	Head	Neck	Shoulder	Chest	Waist	Legs	Feet	Wrist	Hands	Ring1	Ring2	Trinket1	Trinket2	Back	Weapon1	Weapon2	Ranged
1	Naapi	Gnomeboys	Alliance	400.9	28	Jan 23	2:10	High Councillor's Circlet (10139)	Star of Mystaria (12103)	Elegant Mantle (10210)	Master's Robe (10254)	Ban'thok Sash (11662)	Nightshade Leggings (10227)	High Councillor's Boots (10137)	Adventurer's Bracers (10256)	Mighty Gauntlets (10149)	Ring of Spell Power (19147)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Aurastone Hammer (17105)	Mystical Orb (15938)	Egan's Blaster (13289)
2	Freymir	N/A	Unknown	377.8	36	Mar 12	1:48	High Councillor's Circlet (10139)	Star of Mystaria (12103)	Master's Mantle (10253)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Adventurer's Legguards (10262)	High Councillor's Boots (10137)	Elegant Bracers (10213)	Adventurer's Gloves (10260)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
3	Alphos	Zandalar Tribe	Horde	363.7	39	Mar 16	2:05	High Councillor's Circlet (10139)	Tempest Talisman (18317)	Master's Mantle (10253)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Adventurer's Legguards (10262)	High Councillor's Boots (10137)	High Councillor's Bracers (10136)	Mighty Gauntlets (10149)	Maiden's Circle (13001)	Eye of Orgrimmar (12545)	Briarwood Reed (12930)	Eye of the Beast (13968)	Masterwork Cape (10267)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
4	Damaji	Fire Templar	Alliance	358.3	30	Feb 9	3:10	Green Lens (10504)	Choker of Enlightenment (17109)	Kentic Amice (11624)	High Councillor's Tunic (10135)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Mighty Armsplints (10147)	Adventurer's Gloves (10260)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Mastersmith's Hammer (18048)	Tome of Arcane Domination (19308)	N/A
5	Grantx	Unboon	Alliance	354.1	35	Jan 26	2:15	Adventurer's Bandana (10261)	Star of Mystaria (12103)	Master's Mantle (10253)	High Councillor's Tunic (10135)	Ban'thok Sash (11662)	Grand Legguards (15194)	High Councillor's Boots (10137)	Master's Bracers (10248)	Adventurer's Gloves (10260)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Sorcerous Dagger (18878)	Tome of Arcane Domination (19308)	N/A
6	Fischgesicht	Nichts C Thun	Alliance	352.8	37	Mar 17	1:44	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Cyclone Spaulders (18528)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Adventurer's Bracers (10256)	Ogreseer Fists (11665)	Band of Rumination (18103)	Songstone of Ironforge (12543)	Burst of Knowledge (11832)	Eye of the Beast (13968)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	N/A
7	Moonandstar	we like turtles	Alliance	348.1	38	Mar 1	1:31	Mighty Helmet (10150)	Star of Mystaria (12103)	Burial Shawl (18681)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Waterspout Boots (18322)	Elegant Bracers (10213)	Mighty Gauntlets (10149)	Songstone of Ironforge (12543)	Band of Rumination (18103)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Energetic Rod (18321)	Tome of Arcane Domination (19308)	N/A
8	Deadliftx	LuxurY	Alliance	343.6	33	Mar 9	2:05	High Councillor's Circlet (10139)	Choker of the Fire Lord (18814)	Lieutenant Commander's Dragonhide Shoulders (23309)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Orphic Bracers (18337)	Earth Warder's Gloves (21318)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
9	Powerpump	sweat level medium	Horde	342.2	36	Mar 6	1:57	Nightshade Helmet (10226)	Star of Mystaria (12103)	Master's Mantle (10253)	High Councillor's Tunic (10135)	Mana Igniting Cord (19136)	Legionnaire's Dragonhide Leggings (22878)	Master's Boots (10247)	Adventurer's Bracers (10256)	Nightshade Gloves (10225)	Ring of Spell Power (19147)	Ring of Spell Power (19147)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Staff of Dominance (18842)	N/A	N/A
10	Gigimurin	Numenorian	Alliance	338.3	35	Mar 5	2:02	Green Lens (10504)	Star of Mystaria (12103)	Kentic Amice (11624)	Robe of Everlasting Night (18385)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Sublime Wristguards (18497)	Ogreseer Fists (11665)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Master's Cloak (10249)	Staff of Jordan (873)	N/A	N/A
11	Communities	N/A	Unknown	320.2	35	Feb 8	2:28	Wolfshead Helm (8345)	Mark of Fordring (15411)	Wyrmhide Spaulders (12082)	Knight-Captain's Dragonhide Chestpiece (23294)	Cloudrunner Girdle (13252)	Devilsaur Leggings (15062)	Knight-Lieutenant's Dragonhide Treads (23281)	Blackmist Armguards (12966)	Devilsaur Gauntlets (15063)	Don Julio's Band (19325)	Band of Accuria (17063)	Blackhand's Breadth (13965)	Mark of the Chosen (17774)	Stoneskin Gargoyle Cape (13397)	The Unstoppable Force (19323)	N/A	Egan's Blaster (13289)
12	Hypernate	Ashbringer(old)	Alliance	310.7	25	Mar 16	3:33	Green Lens (10504)	Star of Mystaria (12103)	Lieutenant Commander's Dragonhide Shoulders (23309)	Robe of Volatile Power (19145)	Mana Igniting Cord (19136)	Knight-Captain's Dragonhide Leggings (23295)	Omnicast Boots (11822)	Elegant Bracers (10213)	Ogreseer Fists (11665)	Songstone of Ironforge (12543)	Cyclopean Band (11824)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Aurastone Hammer (17105)	Tome of Arcane Domination (19308)	N/A
13	Uokay	N/A	Unknown	308.7	34	Jan 2	2:30	Master's Hat (10250)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	High Councillor's Robe (10143)	Adventurer's Belt (10259)	Nightshade Leggings (10227)	High Councillor's Boots (10137)	High Councillor's Bracers (10136)	Adventurer's Gloves (10260)	Songstone of Ironforge (12543)	Band of the Unicorn (7553)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Magus Long Staff (15276)	N/A	N/A
14	Mirya	Eternity	Alliance	304.2	24	Feb 23	4:08	Cap of the Scarlet Savant (12752)	Star of Mystaria (12103)	Burial Shawl (18681)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Master's Bracers (10248)	Hands of Power (13253)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
15	Glenglooie	N/A	Unknown	299.0	37	Feb 20	1:54	Cenarion Helm (16834)	Star of Mystaria (12103)	Cenarion Spaulders (16836)	Elegant Robes (10215)	Ban'thok Sash (11662)	Cenarion Leggings (16835)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Cenarion Gloves (16831)	Songstone of Ironforge (12543)	Band of Rumination (18103)	Briarwood Reed (12930)	Eye of the Beast (13968)	Sapphiron Drape (17078)	Aurastone Hammer (17105)	Spirit of Aquementas (11904)	Egan's Blaster (13289)
16	Boomer	Internet Dragon Slayers	Alliance	296.1	39	Feb 12	2:32	Councillor's Circlet (10097)	Tempest Talisman (18317)	Bonecaster's Spaulders (14298)	Mystical Armor (10181)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Dragonrider Boots (18102)	Elegant Bracers (10213)	Ogreseer Fists (11665)	Songstone of Ironforge (12543)	Maiden's Circle (13001)	Briarwood Reed (12930)	Eye of the Beast (13968)	Mighty Cloak (10148)	Staff of Dominance (18842)	N/A	Egan's Blaster (13289)
17	Phantomdruid	MaHeKeHbI	Alliance	292.7	35	Mar 6	2:38	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Burial Shawl (18681)	Robe of Everlasting Night (18385)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Sublime Wristguards (18497)	Hands of Power (13253)	Maiden's Circle (13001)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Talisman of Ephemeral Power (18820)	Amplifying Cloak (18350)	Aurastone Hammer (17105)	Therazane's Touch (19315)	Egan's Blaster (13289)
18	Mbell	Vesuvius	Alliance	292.6	33	Feb 16	2:28	High Councillor's Circlet (10139)	Star of Mystaria (12103)	High Councillor's Mantle (10142)	High Councillor's Robe (10143)	Ban'thok Sash (11662)	Nightshade Leggings (10227)	High Councillor's Boots (10137)	Elegant Bracers (10213)	Nightshade Gloves (10225)	Ring of Spell Power (19147)	Songstone of Ironforge (12543)	Eye of the Beast (13968)	Briarwood Reed (12930)	Supreme Cape (15437)	Hypnotic Blade (7714)	Tome of Arcane Domination (19308)	N/A
19	Upaghataka	Jinxed it	Horde	291.3	39	Mar 9	2:00	High Councillor's Circlet (10139)	Tooth of Gnarr (13141)	Elder Wizard's Mantle (13013)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Omnicast Boots (11822)	Mighty Armsplints (10147)	Ogreseer Fists (11665)	Band of Rumination (18103)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Energetic Rod (18321)	Tome of Arcane Domination (19308)	N/A
20	Naterr	Imperium	Alliance	285.2	38	Feb 28	1:59	Crimson Felt Hat (18727)	Tooth of Gnarr (13141)	Elegant Mantle (10210)	Elegant Robes (10215)	Ban'thok Sash (11662)	Knight-Captain's Dragonhide Leggings (23295)	Elegant Boots (10211)	Elegant Bracers (10213)	Ogreseer Fists (11665)	Band of Sulfuras (19138)	Maiden's Circle (13001)	Eye of the Beast (13968)	Briarwood Reed (12930)	Master's Cloak (10249)	Sorcerous Dagger (18878)	Tome of Arcane Domination (19308)	N/A
21	Frupyd	Awakening	Alliance	284.5	38	Feb 5	2:19	Crimson Felt Hat (18727)	Tooth of Gnarr (13141)	Lieutenant Commander's Dragonhide Shoulders (23309)	Elegant Robes (10215)	Ban'thok Sash (11662)	Spiritshroud Leggings (12965)	Waterspout Boots (18322)	Master's Bracers (10248)	Dreamweave Gloves (10019)	Songstone of Ironforge (12543)	Band of Rumination (18103)	Rune of the Dawn (19812)	Briarwood Reed (12930)	Master's Cloak (10249)	Energetic Rod (18321)	Tome of Arcane Domination (19308)	Egan's Blaster (13289)
22	Helmorte	XVII	Alliance	284.4	39	Feb 5	1:35	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Cyclone Spaulders (18528)	Robe of Everlasting Night (18385)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Elegant Boots (10211)	Elegant Bracers (10213)	Ogreseer Fists (11665)	Cyclopean Band (11824)	Band of Rumination (18103)	Briarwood Reed (12930)	Eye of the Beast (13968)	Master's Cloak (10249)	Staff of Dominance (18842)	N/A	N/A
23	Shadestar	N/A	Unknown	282.9	39	Mar 2	1:57	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Lieutenant Commander's Dragonhide Shoulders (23309)	Robe of Volatile Power (19145)	Ban'thok Sash (11662)	Luminary Kilt (11823)	Omnicast Boots (11822)	Elegant Bracers (10213)	Ogreseer Fists (11665)	Cyclopean Band (11824)	Songstone of Ironforge (12543)	Briarwood Reed (12930)	Eye of the Beast (13968)	Stormpike Sage's Cloak (19086)	Demon Blade (15246)	Tome of Arcane Domination (19308)	N/A
24	Cultivations	CerealKillers	Alliance	280.9	33	Mar 4	2:19	Cenarion Helm (16834)	Choker of Enlightenment (17109)	Kentic Amice (11624)	Flamestrider Robes (11747)	Ban'thok Sash (11662)	Spiritshroud Leggings (12965)	Omnicast Boots (11822)	Cenarion Bracers (16830)	Earth Warder's Gloves (21318)	Band of the Unicorn (7553)	Songstone of Ironforge (12543)	Talisman of Ephemeral Power (18820)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Rod of the Ogre Magi (18534)	N/A	Egan's Blaster (13289)
25	Bobwiley	N/A	Unknown	278.2	28	Feb 28	2:35	Adventurer's Bandana (10261)	Tempest Talisman (18317)	Cenarion Spaulders (16836)	Robe of Everlasting Night (18385)	Mana Igniting Cord (19136)	Luminary Kilt (11823)	Cenarion Boots (16829)	Adventurer's Bracers (10256)	Cenarion Gloves (16831)	Ring of Spell Power (19147)	Eye of Orgrimmar (12545)	Eye of the Beast (13968)	Briarwood Reed (12930)	Spritecaster Cape (11623)	Staff of Jordan (873)	N/A	N/A
26	Tabbitab	Shift	Alliance	277.6	24	Feb 13	3:51	Crimson Felt Hat (18727)	Star of Mystaria (12103)	Burial Shawl (18681)	Robes of the Royal Crown (11924)	Ban'thok Sash (11662)	Skyshroud Leggings (13170)	Waterspout Boots (18322)	Mighty Armsplints (10147)	Hands of Power (13253)	Songstone of Ironforge (12543)	Cyclopean Band (11824)	Eye of the Beast (13968)	Briarwood Reed (12930)	Sapphiron Drape (17078)	Staff of Dominance (18842)	N/A	N/A
