# Quest Data for Eastern Kingdoms - Tirisfal Glades
# Generated: 2025-08-18 16:45:53
# Total quests: 35
# Comment scrape timestamp: 2025-08-18 17:30:17

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=361	A Letter Undelivered	7	4	Horde	480 XP	Eastern Kingdoms	Find Yvette Farthing, and deliver to her the letter from Thurman Agamand. Thurman's Letter Provided Item: Thurman's Letter	Yes?	A Letter to Yvette	Yvette Farthing	ok its so simple everyone. go to the tavern in brill and as soon as you enter past the firstaid trainer turn left before you go down the short flight of stairs to the landing and there she is, if nothing else look for the yellow dot on your minimap. and there she is. shes rather depressing though. well this is my first post so i hope i did it right, now bed good night.	~ ~ ~ ~ ~ ~ ~ Dearest Yvette, I will entrust this letter to our fastest runner. I pray he can find a way through the forces surrounding us. And I pray you read these words, for they are the last you will hear of me. My only comfort in these dark days is the relief I feel, knowing that you are free of my fate. I fear my father made a grave error when he decided to remain and defend our home. The forces of the Scourge rage through Tirisfal Glades, and although we are well fortified and well stocked, after the betrayal of my brother Devlin we lack the strength and numbers to withstand their continued assault. If you receive this letter, Yvette, then know that Devlin is a traitor. Devlin despaired and sought an escape from our ill fortunes, and in doing so he made a pact with the Scourge. I do not know what price was promised him for his betrayal, but I'm sure it was laced with lies. If you see my brother, then flee from him. He is a fiend. A few nights ago he murdered two of our watchmen and let a small group of Scourge through the breach. Leading them to where many more of us slept. Their ambush was brutal. They slew a third of us before we could take them down. Now, we barely have enough men to watch our borders. It is only a matter of time before our wearying guard drops and the Scourge attack. And although I saw Devlin's face amidst the desperate men and gaunt-faced Scourge on that cursed night, he slipped away before I could catch him. He might be dead, or he might still live as an agent of the Scourge. Either way, he is a monster. Devlin warned us that if we tried to face the Scourge, then we were doomed. He told us this when they first entered Tirisfal Glades, well before they encircled our home. Perhaps he was pleading with us to leave, or perhaps he was gloating. It was always hard to understand Devlin's motives. Since he was a child, he was a mystery to us. But he was right. We are doomed. The Agamand family line will end. Although I still live, I know I will soon be dead. I am not afraid, and I do not regret remaining with my family. But my last thoughts will be of you. Live on, my beloved Yvette, and I will find peace. - Thurman ~ ~ ~ ~ ~ ~ ~	So much backstory to such an overlooked quest. I've been playing this game for years and still get chills when I read the letter. It's so depressing--a perfect example of the beliefs of the Forsaken, both in the note and in Yvette's reaction.	The 49,30 location is wrong it is 61,52 in the city brill!	The Tavern in Brill.&nbsp It seemed kinda obvious :P. Hope that helps
/?quest=367	A New Plague	6	6	Horde	550 XP | Item: Weak Troll's Blood Potion 3	Eastern Kingdoms	Apothecary Johaan in the town of Brill wants you to collect 5 Vials of Darkhound Blood. Darkhound Blood (5)	Have you collected 5 vials of darkhound blood yet, <name>? Time is fleeting!	Apothecary Johaan	Apothecary Johaan	you can find some cursed darkhounds just next to the stillwater pond. cordinates 49,49	Just about any Darkhound over level 5 may carry this blood and you do not have to venture far from the Johaan to find them.	Quite a number of them can be found at [b]58,60[/b].	i found the dogs with the blood all over the field at around 63.53	How to complete [quest=367]: [ol] [li]pick quest /way 59,50, 52,34 Apothecary Johaan[/li] [li]go around the lake /way 50,02, 50,78[/li] [li]kill [npc=1548], [npc=1547] for drop 5x [item=2858][/li] [li]return quest /way 59,50, 52,34 Apothecary Johaan[/li] [/ol] [b]Video guide[/b]: https://youtu.be/OI4p0nZfDzw Note: this quest have 4 versions of the same name [ol] [li][quest=367] 5x [item=2858][/li] [li][quest=368] 5x [item=2859][/li] [li][quest=369] 4x [item=2872][/li] [li][quest=492] Bring Johaan's Special Drink to the Captured Mountaineer.[/li] [/ol]
/?quest=368	A New Plague	9	6	Horde	775 XP | Item: Slumber Sand 5	Eastern Kingdoms	Apothecary Johaan of the town of Brill needs 5 Vile Fin Scales from Murlocs in Tirisfal Glades. Vile Fin Scale (5)	<name>, were you able to obtain 5 Vile Fin Scales from the Murlocs?	Apothecary Johaan	Apothecary Johaan	murlocs are at 58,26 if anyones interested	its can be found on the coast at 61,29	There is another place also to get those Vile Fin Scales (35,44).. I killed 7 'n got all scales..	I found that the 'Vile Fin Muckdwellers' dropped the scale the most. They are around 66,29.	&nbsp I guess it is luck of the draw, or don't do this quest on a Sunday. &nbsp I killed well over 70, levelled twice upto the point that the quest went grey, spent approx 2 hours attempting this quest. &nbsp After whining in general chat, someone suggested I must be in a raid group.&nbsp I replied, 'I am level 15 and have never been in a raid group!'&nbsp He invited me to a group to make sure, and of course I accepeted his/her invite and advice willingly.&nbsp Upon grouping, they said, 'Well you're in the right spot that's where I got mine after around 20 mobs, and you're obviously not in a raid group, I don't know what to tell you keep trying and submit a trouble ticket.'&nbsp &nbsp I submitted a ticket, moved from the river mouth Vilefins near Vagras field to Soliden Farm where I had started out for about another half an hour, then went onto other quests while I waited for a GM's reply.&nbsp The GM's response after about 4 hours was, 'The quest is functioning properly!' (now this I found funny) 'I recommend abandoning the quest, logging off, then back on and relogging the quest.'&nbsp I must admit I had a bit off a laugh through my frustration, if the quest is functioning properly why did he recommend abandoning the quest and going through that rigamoral. &nbsp Need to say I did abandon the quest but never took it up again, my frustration with the game that day was unparalelled, having lost my warlocks summoned pet for no reason about 5 times while running down roads, running through the cities of UC and Ogrimaar (another game glitch the GM earlier told me they were aware of and trying to hard to fix).&nbsp I am not a new player having taken a warrior to level 60 and having an allinace level 45 warlock, but this is the first quest in well over a year playing I have abandoned and not completed.
/?quest=369	A New Plague	11	6	Horde	220 XP | Item: Apprentice Sash	Eastern Kingdoms	Apothecary Johaan in the town of Brill wants you to bring him 4 samples of venom from a Vicious Night Web Spider. Vicious Night Web Spider Venom (4)	Do you have some venom from a Vicious Night Web Spider yet, <name>? It's the final component I need in order to test my experiment.	Apothecary Johaan	Apothecary Johaan	This quest you have to go to Venomweb Vale. This is located NE of the Crusader Outpost, and south of the Scarlet Monestary. Take the road East out of UC, head NE on the path towards SM, then once you past the Crusader Outpost on the right, leave the path, and head down into the vale.	Venomweb Vale is at 82,47, right below Scarlet Monastery.	You can start to see this spider on the 86,47	go to themonestary then go down (south) you will find many there	If you are doing this quest right after at war with the scarlet crusade(friars and captain vachon) you can see them at 83,53
/?quest=492	A New Plague	11	6	Horde	875 XP	Eastern Kingdoms	Bring Johaan's Special Drink to the Captured Mountaineer. Johaan's Special Drink Provided Item: Johaan's Special Drink	Why if I had my trusted rifle you'd be as good as dead, <class>. Just wait until the Steam Tank Brigade arrives to rescue me!	Apothecary Johaan	Captured Mountaineer	I find it amazing that people can't find the celler when they've been there before for step 2 in this quest...	He's in the inn in the cellar after you enter go to the kitchen and to the left are some stairs. Go down them and there he is. As simple as 412!	Go into the Basement of Brill, The Mountianeer is down there.	875 at lvl 11 +100 rep with UC	So what happens when he drinks it?
/?quest=5901	A Plague Upon Thee	55	48	Horde	5650 XP	Eastern Kingdoms	Use the Empty Termite Jar on the Termite Mounds in Eastern Plaguelands. After you've gathered 100 Plagueland Termites, return to Mickey Levine at the Bulwark in Tirisfal Glades. Empty Termite Jar Plagueland Termites (100) Provided Item: Empty Termite Jar	Do you have the termites yet, <name>? I am sure it is obvious to a smart <class> like yourself.Once we have enough of them, we'll make sure no one can use the lumber mill ever again!	Mickey Levine	Mickey Levine	The [url=https://classicdb.ch/?object=177464]Large Termite Mounds[/url] from which you need to extract the termites are located in several spots in the area south of Stratholme within the Undead encampments. They look like little juts of ground with a green ring on top. Each mound will give you around 20 termites when you use the Empty Termite Jar on it, so collecting 100 will not be as daunting as it first sounds. If you end up with over 100 (which will more than likely happen), simply discard the rest, as you will not need them.	You can find these at various spawn points, a few that I spotted were in the vicinity of these coordinates. 35,34 34,34 34,32 32,36 41,34 41,33 30,32 Located in Eastern Plaguelands in Plaguewood, just South of the tower. It's not too bad once you know what to look for, there really isnt a set pattern.	They can be found at 35,35 34,34 34,30 32,36 And I am sure there will be other mounds then just those.	I found termites at the locations above.&nbsp Thanks!&nbsp I also found them at: 43,34 41,31 38,32	Despite other people's descriptions here, I didn't actually start noticing many of them until I'd found my first one. A picture of that can be found [url=http://www.gmalivuk.com/wow/termites.jpg]here[/url]. If you have the termite bottle (and nothing's bugged), you just go up to the mound and right-click to get the termites out of it.&nbsp Took me about 4-5 mounds to get the 100.
/?quest=5902	A Plague Upon Thee	55	48	Horde	2800 XP	Eastern Kingdoms	Find someplace suitable in the center of the Northridge Lumber Mill in Western Plaguelands to place the Barrel of Plagueland Termites. Provided Item: Barrel of Plagueland Termites	N/A	Mickey Levine	Termite Barrel	48,32	The reason it isn't complete for you is that you have to right click the barrel after it goes onto the box, complete that quest, and it asks you if you want to accept the new one. You accept the new quest and THEN you go back to the lady and turn in that quest... Hope that's a bit helpful. Omreis, 56 Rogue of Mythical Proudmoore 'Hahaha Pwnt...'	This was pretty simple to do. Just head to coord. 48,32 in the lumber and click on the wooden box and then the little barrel that sits on top of it and your done. There are about 4 guards there but it's possible to pull each one individually.	It's in the barn like structure.&nbsp HOT TIP!&nbsp Go at it from behind!&nbsp Stand in the hills and if you can, shoot the guy on the left.&nbsp He'll run out alone.&nbsp Then shoot the guy on the right.&nbsp Last take out the guy just past the crate!&nbsp Watch out for the protector though.&nbsp Lure the pulls off the beaten path behind the barn to avoid aggravating the protector.&nbsp then, go in and activate the crate putting the barrel on it.&nbsp Right click on the Green smoking barrel and do what it says (Release the termites).&nbsp Then, run back to Chilliwind and collect.&nbsp easy as pie!	its at 48.32
/?quest=404	A Putrid Task	6	4	Both	410 XP	Eastern Kingdoms	Bring 7 Putrid Claws to Deathguard Dillinger in Brill. Putrid Claw (7)	Have you completed the task with which I have charged you? Do you have those putrid claws?	Deathguard Dillinger	Deathguard Dillinger	just in case.. the bridge is 53,53 and the guys are under it	I got this quest at level 4. With my imp I could kill Rotting and Ravaged, but stayed with Rotting as they are lower. Rotting Dead are level 5-7, whereas Ravaged at almost always 7. Be careful from straying too far from the bridge area, past the graveyard. Behind the graveyard is where the Rot Hide Graverobbers and Rot Hide Mongrels hang out, and boy are they mean!	around 53,53	I'd went about killing a bunch of them in the woods, and wondered why i couldnt find any claws... You could also get claws from mobs on the field to the left after the bridge when comming from the quest giver.	Cold heart manor is a nice spot too. lvl 6-7 53,57
/?quest=370	At War With The Scarlet Crusade	9	5	Both	775 XP	Eastern Kingdoms	Executor Zygand in Brill wants you to kill Captain Perrine, 3 Scarlet Zealots and 3 Scarlet Missionaries. Captain Perrine slain Scarlet Zealot slain (3) Scarlet Missionary slain (3)	Young <class>, you shouldn't be wasting your time here in Brill when your people need you fighting for their cause. Now, take up arms and travel to the southwest, to the ruined tower, and slay Captain Perrine along with 3 Scarlet Zealots and 3 Scarlet Missionaries. We shall herd the Scarlet Crusade like cattle to their demise.	Executor Zygand	Executor Zygand	Missionary - 43,64 Zealot - 49,66 Captain Perrine - 51,69 in tower	Missionaries are level 7-8 Zealots are level 8-9 The captain, who is level 9. is inside of a ruined tower and is guarded by a level 9 zealot.	If you go directly west of Undercity along the mountians you'll find the tower. It's south west from the Zepplin if that helps. The zealots and missionaries are outside and the captian is inside, if he's not there when you get inside just wait for him to respawn...it took me a little while to make sure it was the right tower, then he showed up lol.....Good Luck:)	the palce is located at 51,67. Just west of Under City.	Do this along with 'Proof of Demise'. http://classicdb.ch/?quest=374
/?quest=371	At War With The Scarlet Crusade	10	5	Both	850 XP	Eastern Kingdoms	Executor Zygand in Brill has commissioned you to slay Captain Vachon and 5 Scarlet Friars. Captain Vachon slain Scarlet Friar slain (5)	I see you have returned but your task is not complete. Perhaps you are at ease with the mere humans interfering with The Dark Lady's plan? Or perhaps you can heed the call of duty and slay Captain Vachon and his band of Scarlet Friars!	Executor Zygand	Executor Zygand	Vacon is in the tower at 78,56	Captain Vachon is inside a tower called Crusader Outpost, which is located at cords 78,56. The scarlet Friars are scattered throughout this area.	Captain Vachon is at 79, 55 in Tirisfal Glades.&nbsp He has friars and zealots around him.	he spawns kinda rare directly in the tower )	This is a very difficult quest to solo, there are many little forest nasties out to get you and the tower is nicely out of easy reach.
/?quest=372	At War With The Scarlet Crusade	12	5	Both	900 XP | Pick: [Ceremonial Knife, Striking Hatchet]	Eastern Kingdoms	Executor Zygand in the town of Brill wants you to assassinate Captain Melrache and his two bodyguards. Captain Melrache slain Scarlet Bodyguard slain (2)	You have not yet performed your duty, <class>. We cannot expect to carry out The Dark Lady's plan with the Scarlet Crusade pestering our soldiers. Bring about their deaths and perform your duty to Sylvanas!	Executor Zygand	Executor Zygand	As a rogue, standing near him in the tower, real coordinates are 80,26.	The two gaurds and the Captian are locatated at 79,26	he real coords are 79,25	The last part of the Scarlet Crusade quest. This particular tower is located up near Scarlet Monestary.. Take the road east from Undercity, to the little dirt path that splits off on your left. Follow the path up like you are going to Scarlet Monestary. Just before you get to the monestary, the path splits, and there is a sign to the left towards this tower. The path is guarded by NPC's all the way up to the tower itself, where the Captain is guarded by two 'Scarlet Bodyguards' (level 8), and the Captain himself Level 12. Its a bit tough to solo at 12 cause the bodyguards can deal some damage. If you have a UI, the location for the tower is: 79,26. Hope that helps!	tower is at 79,26 the above location is the previous quest. maged it easily solo at lvl 11 with sheep and frost
/?quest=427	At War With The Scarlet Crusade	8	5	Both	700 XP	Eastern Kingdoms	Executor Zygand of Brill wants you to kill 10 Scarlet Warriors. Scarlet Warrior slain (10)	If you wish to prove your worth to The Dark Lady, slay 10 Scarlet Warriors, <class>.	Executor Zygand	Executor Zygand	Just to clear up any confusion - there are no Scalet Warriors at 79,55. That's another leg of the quest. Scarlet Warriors are at the Holliden Farmstead, around 38,48.	I had to catch myself...I was on the verge of flaming Brumaire...but decided against it.&nbsp Even though he doesn't really know what he's talking about, he does mention the right coords for Zealots and Missionaries.&nbsp Warriors:&nbsp &nbsp &nbsp 34,48 Missionaries:&nbsp 51.66 Friars:&nbsp &nbsp &nbsp &nbsp 79.55 Thanks for wasting my time Brumair, I will learn your posts may be a little off in the future.	Easy enough to do this one. Just stay on the road and go past the Solliden Farmstead. When you get to the farmstead watch for wandering humans from the farm,they will aggro if you get too close. My results: You gain 700 experience. Received 2 Silver 24 Copper.	Scarlet Warrior 3748	37.48, they are around the footpaths.
/?quest=431	Candles of Beckoning	10	5	Both	Item: Candle of Beckoning	Eastern Kingdoms	N/A	N/A	Crate of Candles	Crate of Candles	Click on 'Crate of Candles' (which Starts the quest) in the 'Quick Facts' box. It takes you to https://classicdb.ch/?object=1586 which has a map showing exactly where the crate is. Try using the resources which Wowhead offers you before asking silly questions.	Nice story.. but how can I get those candles?	N/A	N/A	N/A
/?quest=354	Deaths in the Family	11	7	Both	875 XP	Eastern Kingdoms	Bring Gregor's Remains, Nissa's Remains and Thurman's Remains to Coleman Farthing in Brill. Gregor's Remains Nissa's Remains Thurman's Remains	Do you have the remains of the Agamands? Are those cursed beasts finally destroyed?	Coleman Farthing	Coleman Farthing	[u][b]Nissa's Remains[/b][/u] If you walk up the path leading to Agamand Mills Nissa's remains will be inside the first house you see. To get her remains you will need to kill [b]Nissa Agamand (lvl 10)[/b]. [b]Cord's: (49,35)[/b] [u][b]Gregor's Remains[/b][/u] From Nissa's Remains walk north west to a wind mill and kill [b]Gregor Agamand (lvl 10)[/b]. [b]Cord's: (47,30)[/b] After i killed him at the above cord's I noticed him walking around at (43,30) so if no luck at first set of cord's try this one. :) [u][b]Thurman's Remains[/b][/u] Walk South West to another wind mill located next to a clif face and kill [b]Thurman Agamand (lvl 10)[/b] [b]Cord's: (42,33)[/b] [b]Note[/b] All of these targets seem to walk around there above area's. Also there are normaly Darkeye Bonecaster's with them. Very quick respawn time too. I hope this helps and enjoy :)	Nissa's Remains If you walk up the path leading to Agamand Mills Nissa's remains will be inside the first house you see. To get her remains you will need to kill Nissa Agamand (lvl 10). Cord's: (49,35) Gregor's Remains From Nissa's Remains walk north west to a wind mill and kill Gregor Agamand (lvl 10). Cord's: (47,30) After i killed him at the above cord's I noticed him walking around at (43,30) so if no luck at first set of cord's try this one. :) Thurman's Remains Walk South West to another wind mill located next to a clif face and kill Thurman Agamand (lvl 10) Cord's: (42,33) Note All of these targets seem to walk around there above area's. Also there are normaly Darkeye Bonecaster's with them. Very quick respawn time too.	Hello I have found the fellowing mops at these coordinaton gregor 46,31 thurmann 44,33 Nissa 49,35 See you in WoW	I finished the quest earlier as a Level 9 Undead Priest, I received the quest as Level 8, the only trouble I had being lower level than suggested, was the adds from other little monsters *rottens and bonecasters*, all in all at level 9 this quest had a great reward in terms of EXP but was a bit difficult to accomplish alone. Also I only received 875 EXP at Level 9. Edited, Sun Dec 5 13:02:58 2004	A little more about Gregor's location. As previous poster mentioned, you take the left fork out of square where grain silos, barn and cottage is at. As the road curves to the left, Gregor is at the second windmill tower on the right. The one with the big tree stump next to it. I saw him spawn on the opposite side of the windmill from the road. So you'll have to go up to windmill and go around to other side and check for him. There should be a lootable water barrel there too.
/?quest=445	Delivery to Silverpine Forest	10	9	Both	625 XP	Eastern Kingdoms	Take Apothecary Johaan's findings to Apothecary Renferrel in Silverpine Forest. Johaan's Findings Provided Item: Johaan's Findings	What business do you have with me, <class>?	Apothecary Johaan	Apothecary Renferrel	43,41 in silverpine	at 42.9,40.9 you can find Apothecary Renferrel	Hi, the coordinates are 42.40 in Silverpine Forest Bye	in the sepeculcher	those are the coordinates to get the quest, not where to get the stuff to finish the quest
/?quest=5482	Doom Weed	6	5	Both	550 XP	Eastern Kingdoms	Collect 10 Doom Weed and deliver them back to Junior Apothecary Holland. Doom Weed (10)	This had better be good. I trust you have all of the doom weed that I require?	Junior Apothecary Holland	Junior Apothecary Holland	Bring WEED to apothecary HOLLAND ? =D	This one is easy and you can do it while doing another quest. The best location for the weeds are just north of the mass grave yard on a tiny hill. You really can't miss it. The Doom Weeds clumped in sets of two for me. Found a couple that were just in the middle of the field by itself. Once collected you need to turn in to the Junior Apothecary Holland in the grave yard. Keep in mind he's a wandering mob and if you don't see him just stay on the path and keep your eyes open. My result: You gain 550 experience. You received 1 Silver 25 Copper	can be found at 55,42	i found my first one at 58.40..	This one is easy and you can do it while doing another quest. The best location for the weeds are just north of the mass grave yard on a tiny hill. You really can't miss it. The Doom Weeds clumped in sets of two for me. Found a couple that were just in the middle of the field by itself. Once collected you need to turn in to the Junior Apothecary Holland in the grave yard. Keep in mind he's a wandering mob and if you don't see him just stay on the path and keep your eyes open. My result: You gain 550 experience. You received 1 Silver 25 Copper loc 55.43
