# Quest Data for Classes - Rogue
# Generated: 2025-08-18 16:56:55
# Total quests: 54
# Comment scrape timestamp: 2025-08-18 17:11:06

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=8233	A Simple Request	52	50	Both	500 XP	Classes	Speak with Lord Jorach Ravenholdt in Ravenholdt Manor.	N/A	Ormok	Lord Jorach Ravenholdt	the path starts here [url=http://img139.imageshack.us/img139/8521/worldofwarcraftscreensnapz001ut3.jpg]http://img139.imageshack.us/img139/8521/worldofwarcraftscreensnapz001ut3.jpg[/url]	The path starts at 75,23 The quest giver is at 83,18 Save your Syndicate Emblems (get through pick pocketing) and turn them in there for credits.&nbsp	Since nobody else seems to be able to post this, the entrance to the Manor area is at 75, 23 in Hillsbrad.	The path starts at 75,23. The quest giver at 83,18. Save your Syndicate Emblems (by pick pocketing for them) and turn them in there.&nbsp	This quest can be picked up for Horde from Miles Dexter, the Rogue Trainer in the Undercity (85,72).
/?quest=2282	Alther's Mill	20	16	Alliance	1550 XP | Item: Certificate of Thievery	Classes	Open Lucius's Lockbox, recover the Token of Thievery and return it to Lucius in Lakeshire. Token of Thievery Provided Item: Thieves' Tools	Did I forget to mention the orcs?I hear they have been nosing around up by the mill.	Lucius	Lucius	The following areas provide footlockers that can be used to upgrade Rogues' lockpicking abilities. Hillsbrad Foothills - Durnholde Keep Redridge Mountains - Lake Everstill Ashenvale Forest - Zoram Strand Stonetalon Mountains - Windshear Crag and Associated Mines Wetlands - Murloc Camps Desolace - Sar'theris Strand Badlands - Angor Fortress Swamp of Sorrows - Pool of Tears Searing Gorge - The Slag Pit Tanaris Desert - Lost Rigger Cove Azshara - Bay of Storms Eastern Plaguelands - Tyr's Hand (elite Keep inmind that you will want to lockpick in the area that is current for your level if possible. if for example if you are 50th and your lockpicking is 100 you will need to go back to some lower level areas and then work your way up to the more difficult. hope this helps.	This location is very easy to find using the coordinates: 52,45. If you stand at a particular spot. You have the ability to unlock 4 of the five Practice Lockbox's there. (Screenshot Provided). Just in case. The words 'Practice Lockbox' will ALWAYS be yellow. The word 'Locked' changes colors the way Ebonstar says. You should stay there with the practice boxes until you cannot level your picking skill anymore (when the word 'Locked' becomes gray). The boxes respawn very quickly, and sometimes they are booby-trapped. ( I had the Frost Hold Magic trap. ) I was able to gain 101 skill points from this location. I went there with a skill level of 4 and left there with a skill level of 105. Not Bad - Now I go back to the Zoram Strand! There are numerous creatures outside. But you do not have to worry about them coming in to attack you (at least I did not have to). My stealth was good enough to walk past all creatures - INCLUDING horde. So it is possible to make it there without a fight. In case you are just trying to get your picking skill up. Good luck, ~Lie	The next picking area for me was: [url=http://classicdb.ch/?object=123214go-to-comment-78701]Duskwood Chest[/url] So it was no hassle getting higher skill. All I had to do was kill the one spawn every time it showed up. I got to open the chest several times before he showed up. After that, I went to Desolace - in Kalimdor: [url=http://classicdb.ch/?maps=405:408170401186391188378200353233354201357221345221]Area of Lockboxes[/url] The pins are not the actual lockbox locations. But it is the area you should be in. Just be sure to bring something to breath under water with, as the boxes are ALL underwater, and you should have the ability to kill a level 33 mob. I am now level 46, and my picking is maxed at 230. The Desolace boxes are still green for me and only take about 4 to give me one skill point. At a 230 skill level you can open most of these on the list: [b]Junkboxes[/b] Battered Junkbox - 1 Worn Junkbox - 75 Sturdy Junkbox - 175 Heavy Junkbox - 250 Strong Junkbox - 300 [b]Chests[/b] Battered Chest - 1 Small Locked Chest - 1 Burial Chest - 1 Primitive Chest - 20 Large Iron Bound Chest - 25 Duskwood Chest - 70 Reinforced Locked Chest - 75 Sturdy Locked Chest - 125 Ironbound Locked Chest 175 Large Mithril Bound Chest - 175 ([b]Within Uldaman[/b]) Large Mithril Bound Chest - 250 ([b]Found in: Blackrock Spire, Dire Maul and Stratholme[/b]) Bound Fel Iron Chest - 300 Wicker Chest - 300 Bound Adamantite Chest - 350 [b]Lockboxes[/b] Ornate Bronze Lockbox - 1 Heavy Bronze Lockbox - 1 Iron Lockbox - 70 Strong Iron Lockbox - 125 Steel Lockbox - 175 Reinforced Steel Lockbox - 225 Mithril Lockbox- 225 Thorium Lockbox - 225 Eternium Lockbox- 225 Khorium Lockbox - 325 I'm on the Mannaroth Server, and I very rarely see any Horde there. For that matter, I rarely ever see Alliance there either. Plus, you're under water.	The certificate is to hang on the wall and show everyone that you are a certified klepto.....won't your mother be so proud!...but seriously, it is just a certificate, you don't use it for anything.&nbsp The purpose of the quest is to get you trained up in lock picking so you are able to use the skill for the other quests to come that involve picking locks.&nbsp The very next rogue quest involves picking a lock in the tower in SE Westfall.	51,44
/?quest=2458	Deep Cover	20	20	Horde	1150 XP | Item: Soft Fur-lined Shoes66	Classes	Travel to the Venture Co. Tower, north of the Sludge Fen and contact the Shattered Hand's covert operative, Taskmaster Fizzule. When the tower is in sight, use the Flare Gun to signal your arrival to Taskmaster Fizzule. Fire off TWO flares, then approach Taskmaster Fizzule and perform the Shattered /Salute. These actions must be performed in the correct order, as Fizzule will attack and terminate any person he does not recognize. Provided Item: Flare Gun	N/A	Shenthul	Taskmaster Fizzule	This quest is the pre-req to the chain that gives Rogues the ability to use poisons for the Horde. It leads to Fizzule is located at 56,6 and he will be ? red to you until you shoot the 2 flares in the air. Once you shoot the flares, walk up to him and use the '/salute' emote on him. He'll then allow you to talk to him and get the next quest: https://classicdb.ch/?quest=2478 You'll need a locking picking skill of at least 80 (might as well get 100) in order to complete the next quest, so I would recommend doing the Plundering the Plunderers (https://classicdb.ch/?quest=2381) quest to get your skill up to 100 before completing the next quest.	Two 20 rogues can do this no problem. 1. The Key: One rogue gets close to the foreman while stealthed, this will distract him for about 10 seconds, during which time your partner can pickpocket without being detected. 2. 1st floor: It is fairly difficult to sneak in and ambush the elite guards, but possible to do this step solo in that fashion, run, and return to kill the 2nd guard.&nbsp If duo, it is much easier to pull at range one of the guards while they're far enough a part so as not to BAF.&nbsp Your partner ambushes, rinse and repeat. 3. 2nd floor: These guards are not elite, just kill them. 4. 3rd floor: these are the ones that die to eviscerate.&nbsp They actually turn in to level 23 slime when you eviscerate, so a decent challenge at 20 unless you have above average equipment.&nbsp You definitely would want to take them one at a time anyways. 5. Top floor: This is the only step you will absolutely have to have a partner to do at level 20.&nbsp I'm not sure how the above poster soloed this even at his level unless he had vanish.&nbsp His back is to you, so a 1-2 ambush (need 2 to drop him to about 5%) is pretty simple to pull off.&nbsp We did run in to a problem after we killed the last guy, only one of us were able to get his head.&nbsp So we waited for him to respawn, but you get a condition called 'Touch of <his name', that for 7 days prevents you from sneaking up on him unless you die.&nbsp So one of us had to die and we did it again.	Location is 55,5 The deal is you get in range of Fizzule and fire the flare gun twice, as the quest says, you will then notice he will turn green. Now walk up to him and type '/salute' He then rewards you and offers you another quest	where is this tower located	For idiots like me. The NPC is the dwarf... not the goblin. Took me a good hour to figure this out >_<
/?quest=2242	Destiny Calls	10	10	Alliance	850 XP | Item: Blade of Cunning	Classes	Find Sethir the Ancient and bring back any clues that you may discover to Syurna. Sethir's Journal	Have you anything to report from Sethir the Ancient, <name>?	Syurna	Syurna	Here is where he is located.. [url=http://i35.photobucket.com/albums/d172/n1nj4-b01/Location.jpg]http://i35.photobucket.com/albums/d172/n1nj4-b01/Location.jpg[/url]	Sethir is a level 12 Satyr that can be located at the coordinates 37, 22. Conversely, you can just go north of the Oracle Glade and follow the wall of wood to the west. He is out on a branch. You need to pick his pocket using stealth in order to grab his journal. If he sees you, he usually spawns 1-5 minions. The best way to pick his pocket is to take a wide path around him while approaching from behind. Pickpocket him at maximum pickpocket range. If the minions spawn, hit sprint and run out of the area.	The best way to find it is go to the 'O' of Oracle on the map and then go north, you will then see a little cut in the mini map and then go on that tree u see, then he will be to your right, then walk up to him or as close and possible till he speaks then wait like 2 minutes then he will be on the main log and then sneak up behind him and just pick pocket.. did it in my first try and then tried to kill him, i killed him at level 10 but his minions got me befor i could even click the damn body to CHECK for loot leta lone actually loot him	Sathir can be found at 37,23. once u take the journal about 10 underlings come to do battle.	In answer to poster 1 - the Satyr is located physically on a tree branch that hangs effectively 'off' the map. Past the Oracle Glade, you will find the zone barrier - along this barrier slightly towards the East (directly North of the Glade now) you will find the branch. The Satyr was standing straight out (although when I finally completed it he was on the branch to the right). He is facing you and will say 'I know you are there rogue' when you approach. I am not sure - but this doesn't mean he actually sees you. I tried to backstab him :( The second time I got all pissed off, stealthed up to him, backstab and ended his life really quickly - just out of spite. He died before he could call his friends. The third time I realized that when the NPC says 'maybe stealth is the way' - she MEANS it. Hit your stealth, walk up behind him or on the side, get behind him in any case, pickpocket and sneak out. It was dumb easy once I actually tried to steal his journal.
/?quest=8235	Encoded Fragments	52	50	Both	5100 XP	Classes	Bring 10 Encoded Fragments to Archmage Xylem in Azshara. Encoded Fragment (10)	Have you found enough fragments to continue my work?	Archmage Xylem	Archmage Xylem	Pick pocket first. Then kill em.	Look up 'Forest Ooze' on Anonymous, the oozes with the decent respawn rates are in that northeastern area.&nbsp Run around spamming a macro '/target Forest Ooze'.&nbsp Also, kill any chimeras you come across - they share the same spawn as the oozes. I got them all in about 30 minutes.	[url=http://avtii.dsl.ge/oozes.jpg]http://avtii.dsl.ge/oozes.jpg[/url] Worked like a charm. Just kill Mistwing Ravagers if you are getting low on Oozes. Props to that GM.	There's just not enough of these! Ive combined 2 of the methods there- macro spamming: /target Forest Ooze and the piramid map- [url=http://img96.imageshack.us/img96/5965/image14sy.jpg]http://img96.imageshack.us/img96/5965/image14sy.jpg[/url] REMEMBER: Pickpicket those slimey suckers! This takes a bitty of time, but works a treat xD	After the last patch the quest was changed from just oozes to any beasts in Azshara. Of course I didnt read the quest description first and headed to the ooze spot, killed a hippo and got a fragment. Quest is much easier now.
/?quest=3102	Encrypted Letter	1	1	Alliance	40 XP	Classes	Read the Encrypted Letter and speak to Jorik Kerridan in the stable behind Northshire Abbey. Encrypted Letter Provided Item: Encrypted Letter	You made it here in one piece, and it doesn't look like too many people saw you. Good enough for me. I don't like to have much attention drawn to me back here... nice and quiet. I'm sure you can understand.Have any trouble yet? I'm glad to hear not. That'll change soon enough.	Marshal McBride	Jorik Kerridan	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	N/A	N/A	N/A	N/A
/?quest=3113	Encrypted Memorandum	1	1	Alliance	40 XP	Classes	Read the Encrypted Memorandum and speak to Solm Hargrin in Coldridge Valley. Encrypted Memorandum Provided Item: Encrypted Memorandum	Glad to see you got my note and came over. Sorry about pretendin' it was a memorandum from your higher-ups... no offense intended. I just knew the two of us, along with others of our kind, gotta stick together.Not many think it's the best thing in the world to have your kind and my kind holed up in the same city, but I think we can work things out just fine. What do you think?	Sten Stoutarm	Solm Hargrin	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	Started by [url=https://classicdb.ch/npc=658/]Sten Stoutarm[/url]	N/A	N/A	N/A
/?quest=3088	Encrypted Parchment	1	1	Horde	40 XP	Classes	Read the Encrypted Parchment and speak to Rwag in the Valley of Trials. Encrypted Parchment Provided Item: Encrypted Parchment	Shhh, not so loud. I don't trust Nartok over there. Anyone that has to hide deeper in a cave than I do shouldn't be trifled with.I trust you had no problem finding your way around?	Gornek	Rwag	The troll equivalent is [quest=3083 domain=classic]	N/A	N/A	N/A	N/A
/?quest=3109	Encrypted Rune	1	1	Alliance	40 XP	Classes	Read the Encrypted Rune and speak to Solm Hargrin in Coldridge Valley. Encrypted Rune Provided Item: Encrypted Rune	You made it! Great!We've got an influx of activity lately, so I'm glad to count another of the Ironforge clan among our numbers. Too many of us are lookin' to the arcane, and divine for my own tastes. Nothin' against them and their beliefs, but there's nothing like a cold blade in your hand and a shadow to keep you from the light, know what I mean?	Sten Stoutarm	Solm Hargrin	Starting Mob : Sten Stoutarm (29,71) Coldridge Valley Ending Mob : Solm Hargrin (28,67) Anvilmar	This quest and others of its ilk are 'introduction' quests where the player is first given the opportunity to meet a class trainer. At level 2, as with every even-numbered level until 60, a player is given the opportunity to train spells and abilities, but this will give you access to the first ones that are trainable for your class. The trainer is usually quite close to the quest giver, so if you begin this and aren't sure where to go, read the received item for a more specific location. Accepting this quest will require one open bag slot.	Started by [url=https://classicdb.ch/npc=658/]Sten Stoutarm[/url]	N/A	N/A
/?quest=3096	Encrypted Scroll	1	1	Horde	40 XP	Classes	Read the Encrypted Scroll and speak to David Trias in Deathknell. Encrypted Scroll Provided Item: Encrypted Scroll	So you've made it? Good, we'll have need of more rogues as time goes on. The Shadowstalkers will probably wind up finding you when they think the time's right, so don't go and slip up or do anything you might regret. They need talented agents... not pickpockets and fools.	Shadow Priest Sarvis	David Trias	The Encrypted Scroll is located in your backpack.&nbsp There is no need to run around the world and try to find it like I did....&nbsp newbie	N/A	N/A	N/A	N/A
