# Quest Data for Kalimdor - Durotar
# Generated: 2025-08-18 16:46:42
# Total quests: 31
# Comment scrape timestamp: 2025-08-18 17:36:09

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=2161	A Peon's Burden	5	1	Both	110 XP | Pick: [Tough Hunk of Bread 5, Refreshing Spring Water 5]	Kalimdor	Bring Ukor's Burden to Innkeeper Grosk in Razor Hill. Ukor's Burden Provided Item: Ukor's Burden	Welcome to Razor Hill!	Ukor	Innkeeper Grosk	You will find Inkeeper Grosk at (51 41). If you have any problems like stuck on downloading addons (I was the same for like.. 7 months until I reinstalled)then contact me at Timmy/Horde/Outlands	Very simple quest. Just grab the quest from the peon standing outside the Sen'jin Village and run north to Razor Hill. The completetion NPC is within the inn. Easy reputation and experience.	This is the quest that leads you to the town in between the newbie area and the capitol for orcs and trolls. Simaller to the ones that take you to bloodhoof, brill, kharanos, goldshire, dolanaar, azure watch, and the ruins of silvermoon.	Ukor is east of the Valley of Trials at the split to go to Razor Hill or Sen'jin Village.	N/A
/?quest=818	A Solvent Spirit	7	5	Both	625 XP | Item: Really Sticky Glue 10	Kalimdor	Bring 4 Intact Makrura Eyes and 8 vials of Crawler Mucus to Master Vornal in Sen'jin Village. Intact Makrura Eye (4) Crawler Mucus (8)	Time is the true test of your strength and will. Lose patience or give in to weakness, and your true self will be shown.	Master Vornal	Master Vornal	61,52 [b]Best[/b]area, look around for more stuff, they are all cramed together so be careful Pygmy Surf Crawlers drop Crawler Mucus Makrura drop intact Makrura eyes Hope it helps!	Those that feel that Makruras are a rare spawn and hard to find, don't bother with swimming around between Senjin and the islands. Instead head over to the ship wreaks by Razor Hills. There are good spawns of them there and I got all 4 eyes within 20 mins.	This is a fairly easy quest but can take a bit. You'll need to kill the tiny crabs on the very nearby beach to the southeast.&nbsp You can search this beach all the way from the mountains to the north to just south of the fishing trainer.&nbsp Also, a little ways into the water, are red Makrura thingies.&nbsp You don't need to kill as many of those.&nbsp They spawn less rarely, too, and usually can't be seen from land, so wade or swim in the shallows. You can go as far as Echo Isles if you want, but there's no need to do so for this quest, just continue going up and down the coast until you've collected enough.&nbsp ^_^ Return to the guy back in the Troll village and that's it!	I've done this quest a few times, make sure to get the other quest which involves getting Durotar tiger hides. Then go out to the beach and start killing the tiny crabs (which give you mucus) and the makuta (which give you eyes, duh). Keep moving towards the islands, and once you hit the big one, you'll run into the tigers. The drop rate is really low for all of the things you'll need, but if you focus on doing them at once, it'll save you some time.	It's actually better to do this question on the east shore by Tiragarde Keep. Even on mature servers, it seems like people are still fighting over the kills just south of Sen'jin Village. Not to mention you can bust out the Gnomish Toolboxes as well.
/?quest=809	Ak'Zeloth	13	4	Both	460 XP	Kalimdor	Speak with Ak'Zeloth in the Barrens. Destroy the Demon Seed	N/A	Neeru Fireblade	Ak'Zeloth	32,44 confirmed for Durator map 62,20 confirmed for Barrens map	yeh this quest gained me an easy 460 xp and the location of 62,20 is right&nbsp	look in your quest log and you will see that it's under 'durotar'. so it's west of durotar not the barrens. I know it was a bit confusing so i hope this helps for those of you without and map mod.	Easy quest, just run west from Razor Hill until you see a bridge. Cross the bridge and turn left. Ak'Zeloth is under the watch tower next to some stones on a table.	Hey read the quest a little closer... you dont kill him, he is his assistant that is located in the barrens. that means you talk to him.
/?quest=815	Break a Few Eggs	8	6	Both	700 XP | Item: Tough Hunk of Bread 5 | Item: Tough Jerky 5	Kalimdor	Bring 3 Taillasher Eggs to Cook Torka in Razor Hill. Taillasher Egg (3)	Breakfast, lunch, dinner! Who cares which meal it is? It still has to be cooked by someone--namely me!	Cook Torka	Cook Torka	Very simple quest. The raptor eggs are located on the Echo Islands just south of Sen'jin Village. You will see at least one raptor guarding an egg nest on every single island.	60.82 63.86 68.86 these are the correct locations to me basically for who dont have cosmos: go to eco island, one is on west side, one south and one on east side of the island	If you swim around the Islands south from Sen Jin Village, you will find raptors guarding their eggs. All you have to do is, kill the raptors (or sheep etc) and loot the eggs right behind them. NOTE: Not all raptors will have the eggs, some are just sitting there, but you will be able to find eggs in every island.	Found some at Echo Isles (61,78), (64,82), and (63,86)	Location: The raptors are found on echo isles, southeast of sen'jin village. Its the one with all those separated islands Mobs: Just look for the purpleish eggs guarded by a level 6-7 taillasher. These guys cant follow you into the water so if you get jumped and your dying just jump into the water and your safe Its a good idea to do it with Practical Prety http://classicdb.ch/?quest=817
/?quest=832	Burning Shadows	12	4	Both	675 XP	Kalimdor	Take this eye to Neeru Fireblade. Eye of Burning Shadow Provided Item: Eye of Burning Shadow	You have something vital to report. I can sense it behind your eyes.	Eye of Burning Shadow	Neeru Fireblade	Neeru Fireblade is found at 49,50 in the Cleft of Shadows in Orgrimmar. To get there you need to enter from The Drag. He is in a hut just outside the Ragefire Chasm instance portal.	this starts as a drop of Gazz'us in skull rock, not from Thrall. Its called the Eye of Burning Shadow	This starts from a dropped item from Gazz'uz, NOT Thrall	Neeru Fireblade (the person that you take the Eye to,) is located in the Cleft of Shadow Just out side of the entrance to Rage Fire, he's in the tent.	Very easy quest. Take the Eye of Burning shadow to Neeru Fireblade in the drag. He is located in the hut right outside of the instance portal to Rage Fire Chasm.
/?quest=791	Carry Your Weight	7	4	Both	625 XP | Item: Handmade Leather Bag	Kalimdor	Furl Scornbrow in the Razor Hill watchtower wants 8 Canvas Scraps. Canvas Scraps (8)	I fought proudly alongside the Warchief when these lands were pioneered. The scars of battle mark my skin.The honor of the Horde has been upheld with the help of my axe and battlecry during the defeat of Archimonde, when the unholy alliance was made with the humans and elves, wrought from necessity.But my position as watchman and provider has given me a new sense of worth.	Furl Scornbrow	Furl Scornbrow	58,53 Droped by [b]Kul Tiras Sailor[/b]	The NPC's in Tiragarde Keep drop these quest items. Surprisingly high drop rate. I'm quite certain the Sailors drop more than the Soldiers.	The quest giver is one skilled orc; he can make a leather bag from canvas.	Stack with Vanquish the Betrayers http://classicdb.ch/?quest=784	The quest giver is not actually in Razor Hill. He is in the guard tower, at the top, overlooking Razor Hill. He is found at 49,40.
/?quest=840	Conscript of the Horde	12	10	Both	460 XP	Kalimdor	Follow the western road from Razor Hill to the Barrens over a bridge. Stop at the orc outpost across the bridge. Give Kargal Battlescar at the Barrens outpost your recruitment letter. Recruitment Letter Provided Item: Recruitment Letter	What do you want, pup? If you're not here for recruitment, I don't have time for you.	Takrin Pathseeker	Kargal Battlescar	Kargal Battlescar is located west of Razor Hill. Follow the road until you get to the borderline of the Crossroads and speak to him. He'll tell you that help is needed at the crossroads, so continue west and you'll enter a whole new area of quests that will bring you well into your lower twenties :). For those with Coordinate-Readers, Kargal is located at: (62,19.)	460 exp at lvl 13 +50 rep with Orig and DS trolls	Coordinates please?	Just go right over the bridge to the west. Area: The Barrens Coordinates: 62,19	N/A
/?quest=842	Crossroads Conscription	12	10	Both	900 XP	Kalimdor	Follow the western road from Kargal's Far Watch Outpost. At the T intersection, turn left and follow the road south. Find Sergra Darkthorn at the crossing of roads within the Crossroads. Signed Recruitment Letter Provided Item: Signed Recruitment Letter	Well well well, what do we have here? Has Kargal deemed me worthy of another recruit?	Kargal Battlescar	Sergra Darkthorn	[b]confirmed at 52,30[/b] Just remember she's in the Barrens, not Durotar :P	52,31 in the Barrens [b]CONFIRMED[/b]	can i get some cords on where it ends? thanks	52,31 :)	For those interested, the completion text is different for female characters. Unfortunately I didn't write down what it said.
/?quest=806	Dark Storms	12	4	Both	900 XP | Item: Tiger Hide Boots	Kalimdor	Bring Fizzle's Claw to Orgnil Soulscar in Razor Hill. Fizzle's Claw	Did you find Fizzle, <name>? He, and rest of the Burning Blade, must be scoured from our lands!	Orgnil Soulscar	Orgnil Soulscar	I had some trouble finding this guy.&nbsp You can either go to where he is, and drop into his camp, or you can enter the strip-mine, and fight your way through to his camp.&nbsp Here are the directions to got to him, by fighting your way through. To start in the strip-mines, go to 39,33, and then walk&nbsp north. When you get to 39,28, go north again. When you get to 41,24, go south. Final position is 41,26.	Fizzle Darkstorm is at 42,26 (Durotar)	A tip on how to make this quest a bit easier: Remember the skull that you got rewarded from the Minshina's Skull quest? Save it up to use on Fizzle. At maximum power, it sucks 125 hp from him and recharges you with the same amount. When timed correctly, that can be a 250 hp turnaround and a game breaker. Remember that if you are an Orc, use this BEFORE you use Blood Fury to maximise its effect. And lastly, take out the imp first. Good luck.	For those having difficulty finding the place: The entrance to Thunder Ridge is at 39.4,32.7 Go STRAIGHT ahead at the junction at 39.2,28.5 Follow the canyon as it makes a right at 39.5,23.6 Next junction is at 41.6,24.9 - take a RIGHT here, away from the main canyon, to find Fizzle. If you die, your corpse run is from the graveyard close to Org. I found that if I jumped down into Thunder Ridge from above, I had to follow the canyon for a bit and then LEFT to find Fizzle (and my body...)	DO NOT do this quest when you first get it. It's red and red for a reason. Fizzle is level 12 and has an imp minion. He casts a lot of shadow bolts and his imp does fire bolts. You will die fast since he's in the middle of all the other burning blade orcs. Make sure you're at least level 11 or even 12 before completing this quest. He's located in Thunder Ridge. Upon entering the ridge, go left and then follow the path to the right. He's in a little valley on the right side.
/?quest=837	Encroachment	10	6	Both	625 XP	Kalimdor	Kill 4 Razormane Quilboars, 4 Razormane Scouts, 4 Razormane Dustrunners and 4 Razormane Battleguards for Gar'Thok at Razor Hill. Razormane Quilboar slain (4) Razormane Scout slain (4) Razormane Dustrunner slain (4) Razormane Battleguard slain (4)	Though they do possess some intelligence and some organization, I find it constantly amazing that the quilboars were able to capture and hold so much territory in Kalimdor. Perhaps they are more crafty an enemy than I give them credit for...	Gar'Thok	Gar'Thok	Razormane Quilboar&nbsp &nbsp : 0/4&nbsp &nbsp &nbsp &nbsp &nbsp /43,47&nbsp /&nbsp Razormane Scout&nbsp &nbsp &nbsp : 0/4&nbsp &nbsp &nbsp &nbsp / 43,47 / Razormane Dustrunner&nbsp : 0/4&nbsp &nbsp &nbsp &nbsp / 44,41&nbsp / Razormane Battleguard : 0/4&nbsp &nbsp &nbsp &nbsp / 44,41&nbsp /	I can't seem to find the battleguards and the dustrunners... I have killed the rest.. any ideas? OK.. the coords..47.49 are fine for the first 2 kinds... however I found the battleguards and the dustrunners at 38.51 Further out than I expected..	Like the above poster said if you leave Razor Hill and head west there are camps on either side of the road. If you have an addon mod the coords are 43,41 for the Dustrunners and Battleguards and 47,48 for the Scouts and Quailboar. There are other camps for the Scouts and Quailboars but this location gives you a lot of mobs to kill.	If you exit Razor Hill going west, to the left of the road will be a mountain. If you follow the cliff edge going southwest, you'll encounter a few encampments containing two of the quest mobs, then a few containing the other two quest mobs.	Scout and Quilboar: 43,48. Dustrunner and Battleguard: 45,41.
