# Quest Data for Kalimdor - The Barrens
# Generated: 2025-08-18 16:48:35
# Total quests: 98
# Comment scrape timestamp: 2025-08-18 17:45:12

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=6361	A Bundle of Hides	10	10	Horde	210 XP	Kalimdor	Bring the Bundle of Hides to the wind rider master Devrak in the Crossroads. Bundle of Hides Provided Item: Bundle of Hides	Are you here for a wind rider? You have something to transport?	Jahan Hawkwing	Devrak	[ul] [li]Orc and Troll version : [url=http://classicdb.ch/?quest=6365]Meats to Orgrimmar[/url] [/li][li]Tauren version : [url=http://classicdb.ch/?quest=6361]A Bundle of Hides[/url] [/li][li]Undead version : [url=http://classicdb.ch/?quest=6321]Supplying the Sepulcher[/url] [/li][li]Blood Elf version : [url=http://classicdb.ch/?quest=9130]Goods from Silvermoon City[/url] [/li]	Last poster, right about it being Tauren only. Wrong about this: &nbsp -You do not start out with your race's major city flight path.&nbsp Every race MUST travel to each major city and get it himself. (My Tauren has this quest and he does not have the flight path to TB.) My recent Orc alt, did not have the flight path to Orgrimmar. Taurens do not need the flight to TB, Devrak the wind rider will give you one. I wish the quest opened up to other races because it is very convenient way to save so much travel time.	51,29	Must be tauren.	Based on the followup quests, I'm guessing this is only for people that already have the Thunderbluff FP (i.e. Tauren). As a level 12 troll I don't get it either.
/?quest=1153	A New Ore Sample	29	25	Horde	2350 XP | Item: Orcish War Sword	Kalimdor	Find an Unrefined Ore Sample on a Gravelsnout Digger or Surveyor and bring it to Tatternack Steelforge at Camp Taurajo in the Barrens. Unrefined Ore Sample	I saw the travelers again - the ones that would not sell me a sample of the ore. I spit at them for not helping the warchief.May they die in battle like cowards and not like warriors as should be the right of all people who ally themselves with the Horde.	Tatternack Steelforge	Tatternack Steelforge	I found it between 65,51 - 67,51, watch for the respawn right where the round boulder is up against a small mountain. It seemed every 5-10 minutes a surveyor or someone similar would come around, it was an eventual drop. DO NOT LEAVE THIS AREA. For those without Cosmos, if you are to come out of Shimmering Flats and take the main road (the one that is almost a straight line through Thousand Needles,) on the map you'll notice that immediately there are 2 hills to the left and one to the right, GO TO THE RIGHT SIDE OF THE RIGHT MOUNTAIN. Do not go past this mountain.	Note that it only drops from Gravelsnout Diggers, Gravelsnout Surveyors and the rare spawn Gibblesnik. These are found only in the northen and southern parts of the zone. (So do NOT try to get it from any of the Gravelsnout Foragers, Gravelsnout Kobolds or Gravelsnout Vermins that roams the central parts of the place as I did before I decided to look it up... That will make for a really bad droprate.) I don't think the mining animation has anything to do with the droprate.	I believe you have to complete [url=http://classicdb.ch/?quest=893]Weapons of Choice[/url] to be offered this quest. At least at level 32 Tatternack Steelforge would only offer me that quest.	This is a horrible quest. I've spent at least half an hour trying to complete it on just about every character I've taken through 1k Needles, and haven't been successful once. There's only a few of these guys in the whole region, and the drop rate is very low. Just spend the time grinding on wolves while you wait for one of them to spawn over and over.	There is nothing magical about this quest. You dont need to wait for them to dig. The digger I killed has JUST SPAWNED. Location - 53,44
/?quest=5043	Agamaggan's Agility	20	14	Horde		Kalimdor	My tribes greatest scouts are said to be unrivaled in their accuracy, and no rogue <snort> could measure up to their quickness in battle. Bring me 4 blood shards and I will make you even more agile than any quilboar born. Blood Shard (4)	N/A	Mangletooth	Mangletooth	Only horde can turn this quest in even though alliance can obtain [url=http://classicdb.ch/?item=5075]Blood Shards[/url]. Obtain four [url=http://classicdb.ch/?item=5075]Blood Shards[/url] and go to 44, 59 (Camp Taurajo) to the quillboar in a cage near the flight master. [url=http://classicdb.ch/?item=5075]Blood Shards[/url] are obtained by killing quillboars or mining in [url=http://classicdb.ch/?zone=17]the Barrens[/url].	Great for leveling. Blood Shards drop off all Bristleback quillboards located in the barrens.	I wish they would add notes so you don't have to click on the spell name. This isn't a quest, it's a 'trade', a spell that the giver casts on you if you give him 4 Blood Shards. You can use it endlessly.	I'll agree, this isn't exactly clear, but technically, it [i]is[/i] a quest.	N/A
/?quest=5042	Agamaggan's Strength	20	14	Horde		Kalimdor	I will need 4 blood shards if you wish Agamaggan's strength, <race>. Your foes will cower before your strength were you to be given this blessing. <snort> The Razormane's greatest warriors are infused with such power! Blood Shard (4)	N/A	Mangletooth	Mangletooth	Strength +10 for 10 minutes	Sorry. Strength +10 for THIRTY minutes. Cost of 4 Blood Shards. This isn't a quest, it's a spell you get cast on you. If you are soloing this might be a good deal, but for most ppl I recommend selling the shards.	NVM. Edited, Tue Oct 4 10:27:10 2005	Only horde can turn this quest in even though alliance can obtain [url=http://classicdb.ch/?item=5075]Blood Shards[/url]. Obtain four [url=http://classicdb.ch/?item=5075]Blood Shards[/url] and go to 44, 59 (Camp Taurajo) to the quillboar in a cage near the flight master. [url=http://classicdb.ch/?item=5075]Blood Shards[/url] are obtained by killing quillboars or mining in [url=http://classicdb.ch/?zone=17]the Barrens[/url].	N/A
/?quest=880	Altered Beings	16	10	Horde	1150 XP	Kalimdor	Bring 8 Altered Snapjaw Shells to Tonga Runetotem at the Crossroads. Altered Snapjaw Shell (8)	How goes your collection? Did you get the shells?	Tonga Runetotem	Tonga Runetotem	Altered Snapjaw Shell --> Kill Oasis Shapjaw's :) at the stagnant oasis at 55,42	The above post by Lailoken is correct. The Snapjaws are both at The Stagnant Oasis (55,42) or if you don't have coords Southeast of Crossroads and The Lushwater Oasis (46,38) Southwest of Crossroads. The Drop Rate is 100% Levels of the Oasis Snapjaws are 15-16. The also do a debuff called Sling Dirt that decresses your chance to hit by 40% for 10 Seconds.	Stagnant oasis again =) 54'42	Just head to an oasis and kill snapjaws. The drop rate is 100%	The best you can get and anyway when you go into the stagnant oasis be aware about the fissure down there...it supports undemned breathing so you can stay down there killing them turtles for hours.
/?quest=853	Apothecary Zamah	15	10	Horde	800 XP | Pick: [Elixir of Minor Fortitude 4, Elixir of Minor Agility 4, Minor Rejuvenation Potion 3, Swiftness Potion 2] | Item: Cauldron Stirrer	Kalimdor	Bring the Rendered Spores to Apothecary Zamah in Thunder Bluff, before the time limit is up. Rendered Spores Provided Item: Rendered Spores	You have something from Apothecary Helbrim?	Apothecary Helbrim	Apothecary Zamah	From crossroads, head SOUTH until you hit Camp Taurajo.&nbsp Then, go WEST to Bloodhoof Village in Mulgore.&nbsp From there, head on the NORTH road (from Bloodhoof Village, the road goes northwest for a bit) towards Thunder Bluff.&nbsp On the way there, take the elevator-like thing up to Thunder Bluff, then head towards Spirit Rise.&nbsp From Spirit rise, if you look closely, there are two bridges.&nbsp Go to where the lower bridge hits Spirit Rise, and follow that path downward into the Pool of Visions.&nbsp Zamah is in there.	The Quest end is in Thunder Bluff, ask a guard for the mage trainer	Easy quest. Just run south in Barrens. Once you see Camp T, go west into Mulgore and follow the road until you hit Thunder Bluff (road should lead north). The NPC to turn the quest in is located within the 'Spirit Rise' in the underground cavern. Make sure to pickup the FP in TB if you do not already have it. Great quest to get TB as a FP point.	entrance to pool of visions is 30,30	Thunder Bluff people! The easiest way to do this is before taking the quest, follow the south road (and then the signs) to TB. Talk to the wind rider, fly back. Take the quest, fly back to TB, go to the elder rise (Or the other non-hunter rise, I forget which). The person is in the cave you can see from the bridge to the rise. very easy to do in the time alloted.
/?quest=879	Betrayal from Within	25	17	Horde	1500 XP	Kalimdor	Kill Nak, Kuz, and Lok Orcbane and bring their skulls to Mangletooth at Camp Taurajo in the Barrens. Kuz's Skull Nak's Skull Lok's Skull	How goes your hunt, <race>? <snort>Thork thinks he knows the truth about who leads the raids against his people, <snort> but he shall learn how wrong he is if you are successful.My death is inescapable, but you have caused great pain to my enemies, so Mangletooth regrets nothing. <snort>	Mangletooth	Mangletooth	I found: LOK: Hut on top of hill, 40,80 KUZ: 43, 80 ish Walking around NAK: 41, 83 Walking around	Go south on the southern gold road.&nbsp After you get to the quest-giving Tauren, keep looking right (west) and there's a large hill.&nbsp Go along the road until you've passed it, then pull in right and start killing quillboars. If you take the hill as a clock and the road as 6 o'clock, then NAZ is in stealth at around 9 o'clock - he's the easiest to find.&nbsp Go on round to the big tree at about 1 o'clock and Kuz is there, a frost mage, also easy to kill at around lvl 21 (I was a lvl 23 priest by the time I got there and soloed without effort) Lok is up the incline west of the hill.&nbsp Kill Kuz then head out into the plain looking for the small pool that's around 12 o'clock.&nbsp To the left of it is a path that goes up the slope with various lvl 23/24 hunters and mages on it.&nbsp At the top is a hut in which Lok waits. He's lvl 25 but a fairly easy kill and doesn't draw any adds.&nbsp I got a blue set of shoulder pads and half a dozen greens by levelling from 23 - 24 here&nbsp - easy kills, just tedious	this is were i found them kuz @ 43,81 nak @ 43,83 lok @ 40,80	This one is a nice one to do. Solo'd it without any problems at all. Be sure to stock up on self heals and bandages because you're gonna get smacked around a bit. All three named mobs you need are south of Camp Taurajo but just north of Thousand Needles. As you go south stay nead the western hill side. You'll notice the giant thorn vines jutting out of the ground indicating the proper mob. Kuz was a wandering mob and I found him first. Next was Nak. He was kinda up the on hill in a large hut. As you go uphill you'll notice his hut. Good thing he's the only one inside. The last one is Lok. I found him further south pacing back and forth. As you kil these guys keep an eye out for the stealthy pig guys. You'll see them only when they are just about on you. My result: You gain 1500 experience. Your reputation with Orgrimmar has increased.	kuz: 44,79(ish) nak: looking west you will see a hut on the hill go up there and he will be there. lok: 44, 84(ish) make sure you are in a you have potions and it would help beeing in a party. after that take the next quest and go to XR and see the guy in the middle.
/?quest=906	Betrayal from Within	25	17	Horde	3050 XP | Pick: [Barkshell Tunic, Dry Moss Tunic]	Kalimdor	Bring Lok's Skull to Thork at the Crossroads in the Barrens. Lok's Skull Provided Item: Lok's Skull	Yes, what is it?	Mangletooth	Thork	LOK 40,80 NAK 43,80 KUZ 44,80	I'm not sure where all the comments went! I use CT mod so here are the coords where I found the guys -- just remember Kuz & Nak roam a bit so these may be a little off... The entrance to the camp is 44,83 Nak 43,83 Kuz 43,79 Lok 40,80 he's in a tent on a small hill - the entrance is at 41,80 Happy questing! ~S	I didn't find Lok at once, so thought I'd drop a line. When you reach 40,80. He is up the hill inside a huge tent, in the middle.	Done this quest at lvl 22 with Hunter 1. The camp is at 44,83 2. Lok is up a mountain right by the camp 3. Kuz is arraound somewhere in the camp sidden 4. Nak is in the passage to the south out of the camp Easy exp!	Thork is at the bottom of the tower there in Crossroads if you're having a hard time finding him. https://classicdb.ch/?npc=3429
/?quest=5052	Blood Shards of Agamaggan	21	14	Horde	1250 XP	Kalimdor	Bring a Blood Shard to Mangletooth in Camp Taurajo in the Barrens. Collect more Blood Shards if you want him to bless you with Agamaggan's power. Blood Shard	Our tribes flock to the thorny areas throughout the Barrens <snort> because they are holy places, but none as holy as Razorfen. Agamaggan's body makes up the entirety of the Razorfen, <snort> but the Downs are especially protected because the entrance is made from his great maw! <snort> It will swallow whole those not loyal to him, and spit out their bodies after he's chewed them up! <snort>Agamaggan has left his body behind to protect us, and he gives of his spirit so we may protect him. <snort>	Mangletooth	Mangletooth	The absolute best way to get them is to kill the Bristlebacks&nbsp in the area (though the group to the north is my favorite area: they're relatively low lvs and respawn regularly). You'll get one or two off of amost every kill. You can get all you want in about 3o min. If you collect 30 shards, you can get all of the buffs he offers. 10 - Enhanced Movement Speed for 5 min &nbsp 4 - Spirit +25 for 30 min &nbsp 4 - Strength +10 for 30 min &nbsp 4 - Agility +10 for 30 min &nbsp 4 - Intellect +10 for 30 min &nbsp 4 - Absorb and Reflect Damage for 10 min The enhanced speed, in my opinion, is the most useful buff he offers, although the others are very welcome indeed. This quest took awhile to get to (the one that leads to it 'Tribes at War' was annoying, but doable), but was well worth it in the end. Which is more than I can say for some of the Ashenvale quests...	Actually the veins around Bristleback camps drop them 3-4 per vein	They are quest items because they have no other use. However, that is irregular.	These blood shards can be found as loot off of Razorbacks and through mining nodes in the Barrens. After giving Mangletooth one of these Blood Shards a series of options becomes available. One of them a quest, the others are various buffs, such as increased speed, increased strength, and increased intelligence.	Bristlebacks in Barrens drop them regularly..
/?quest=855	Centaur Bracers	14	9	Horde	1250 XP | Pick: [Orcish Battle Bow, Pointed Axe, Stonewood Hammer]	Kalimdor	Bring 15 Centaur Bracers to Regthar Deathgate, west of the Crossroads. Centaur Bracers (15)	How goes your hunting, <name>?	Regthar Deathgate	Regthar Deathgate	N/A	N/A	N/A	N/A	N/A
