# Quest Data for Eastern Kingdoms - Elwynn Forest
# Generated: 2025-08-18 16:41:47
# Total quests: 36
# Comment scrape timestamp: 2025-08-18 17:23:04

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=5545	A Bundle of Trouble	9	5	Alliance	775 XP	Eastern Kingdoms	Bring 8 Bundles of Wood to Raelen at the Eastvale Logging Camp. Bundle of Wood (8)	That deadline isn't getting any further away, <class>. Please hurry and collect those bundles of wood.	Supervisor Raelen	Supervisor Raelen	The bundles of wood are easily gathered northwest of the outpost. Watchout for the prowlers and bears though, they can give you quite the trouble while doing this quest. If you have the Defend the Frontier quest you can complete that while collecting the wood with ease.	Although the two quests above go together really well. Should you have already completed 'Protect the Frontier'. Take the time to kill the Prowlers. They are pretty good at yielding 'Stringy Wolf Meat'. Which is good for cooking. The Bundles themselves respawn pretty quick. They are really close to each other. So you don't have to go all out looking for these. Making this a really quick quest for 775 XP. For instance. I found them by trees at these coordinates: 76,62 (2 bundles) 77,60 (Near Murloc Camp - be wary) 77,63 77,64 78,62 79,61 79,63 You only need 8 bundles. So as you can see, there isn't that much searching to complete this quest. ~Lie	This one is pretty simple, there are world objects next to the trees in the area around there.&nbsp I tend to look in the trees to the north.	omg im the biggest idiot i was killing the mobs for about 1hour thinking about how bad the drop rate is when the wood is on the floor owell good xp	those are coords - and you cant see that unless you get any number of mods available - the best mod imo is cartographer. now you have coords, :P
/?quest=40	A Fishy Peril	10	7	Alliance	85 XP	Eastern Kingdoms	Remy 'Two Times' wants you to speak with Marshal Dughan in Goldshire.	N/A	Remy 'Two Times'	Marshal Dughan	Remy is exactly the kind of guy who hears a rumor and reports it immediately. He's like those guys in the general forums saying 'OMG i herd dat BGs giv experience gg blizz!' Don't listen to a thing he says, it's just the latest rumor. GG Remy, GG.	Most receive this quest after they reach level seven and finish [url=http://classicdb.ch/?quest=47]Gold Dust Exchange[/url]. Once you get this quest you just need to go back to the front of the blacksmith's shop (the side facing Lion's Pride Inn) and talk to the guard there.	Complete Quest Text (from Marshal Dughan): 'Yes, I spoke with Remy. I respect him as a merchant, though all reports of Murlocs to the east have been sketchy at best. 'Your concerns are noted, but unless I receive a military report of a murloc threat, we can't afford to send more troops east.'	Just turn around and speak to Marshal Dughan, he is right in front of the armory to the left of the entrance. :)	Lol this quest is HARD. Jk, all you do is talk to Remy then just turn around. Easy Exp
/?quest=84	Back to Billy	6	5	Alliance	140 XP	Eastern Kingdoms	Bring the Pork Belly Pie to Billy Maclure at the Maclure Vineyards. Pork Belly Pie Provided Item: Pork Belly Pie	Ugh... I'm starving! Do you have that pie for me, <name>?	'Auntie' Bernice Stonefield	Billy Maclure	Billy is at 42,85 Bye	This quest makes you run to Billy again.	N/A	N/A	N/A
/?quest=46	Bounty on Murlocs	10	7	Alliance	850 XP | Pick: [Long Bayonet, Solid Metal Club, Well-used Sword]	Eastern Kingdoms	Bring 8 Torn Murloc Fins to Guard Thomas at the east Elwynn bridge. Torn Murloc Fin (8)	How goes the hunting, <name>?	Guard Thomas	Guard Thomas	Deliver the Thomas Report is the prerequisite to this quest, but it is not listed as such on Wowhead.	The murlocs are located upstream the river and to the northeast. They are easily spotted by their island-style huts, and the fins don't take too long to drop but the murlocs are very difficult to face alone at level 10. Tough quest imho.	Locs: 80,56...79,49 and therabouts. The droprates on them are awful. Took quite some time to get the quest finished, but they -do- drop. Slowly.	I *think* the pre-req for this quest is Deliver Thomas' Report.	I found out the drop rate to be a bit low, and the Murlocs are quite hard to fight at level 9. Gives good XP though. Also, be careful with the aggro, as the Murlocs in the camp are really near of each other.
/?quest=59	Cloth and Leather Armor	10	7	Alliance	210 XP | Pick: [Well-stitched Robe, Patched Pants]	Eastern Kingdoms	Give Sara Timberlain the Stormwind Armor Marker. Stormwind Armor Marker Provided Item: Stormwind Armor Marker	I have been commissioned by the Stormwind Army to supply their people with cloth and leather armor.If you have a marker for me, then I'd be happy to make you something.	Marshal Dughan	Sara Timberlain	Eastvalle logging camp 79,68	I ended up abandoning this quest. It's a looong way to go for a crappy reward and only 200 exp	she is at 78.69 in the eastvale logging camp which is near redridge mountains	you have to go to the eastvale logging camp to find the armor maker, there she will make the armor u need to finish the quest	shes like in the closest house to path
/?quest=112	Collecting Kelp	7	5	Alliance	320 XP	Eastern Kingdoms	Bring 4 Crystal Kelp Fronds to William Pestle in Goldshire. Crystal Kelp Frond (4)	Do you have that crystal kelp? I'm sure Maybell is anxious to see her beau...	William Pestle	William Pestle	Go to a island in The Crystal Lake. Kill Murlocs. From Murlocs you get the Crystal Kelp Frond. Take it and its is done. Good Luck!	Completion of this quest leads to 'The Escape' (https://classicdb.ch/?quest=114).	plenty more murlocs here at 54,66	They are in the middle of Crystal Lake, and or on the edges	You can collect the Kelp in Crystal lake! Cordinations : 54,66
/?quest=39	Deliver Thomas' Report	10	7	Alliance	1050 XP	Eastern Kingdoms	Report to Marshal Dughan in Goldshire.	N/A	Guard Thomas	Marshal Dughan	42, 65 Goldshire	just walk into goldshire you should see the person	Another easy talk-to quest	From Guard Thomas follow the path west to Goldshire and speak to Marshal Dunghan who is in front of the armory. :)	N/A
/?quest=45	Discover Rolf's Fate	10	7	Alliance	420 XP	Eastern Kingdoms	Search the murloc village for Rolf, or signs of his death.	N/A	A half-eaten body	Rolf's corpse	standard world of warcraft doesn't operate in decimal coordinates, yes i agree that they'd be more accurate, but for the majority, myself included, the regular coordinates (79,55) work great for most of us, and yes, i did in fact complete calculus 2 by my senior year of highschool	79, 55 - Rolf's corpse	Actually Rolf's remains (which look like a bunch of flesh with ribs sticking out from the fleshy mass) is located at the northern most end of the first Murloc village on the eastern shore (or at least that is where I found it).	79,55 is correct, fairly easy, just dont aggro too many	Rolf doesn't look like a guy he looks like a hunk of meat :P
/?quest=37	Find the Lost Guards	10	7	Alliance	210 XP	Eastern Kingdoms	Guard Thomas wants you to travel north up the river and search for the two lost guards, Rolf and Malakai.	N/A	Guard Thomas	A half-eaten body	When you get the quest 'Find the lost Guards' swim or walk north along the river. You will get to a point where the river forks and where it forks is a tiny tiny little island (not to be mistaken with the huge island). When you get to the tiny island go to the northern most point of it and turn to the left (west). You should see the small waterfall. Swim past that small waterfall and go onto the main land. You should see a red thingy right in front of you once you get onto the main land, which is the first body you need to get. That will give you the quest to find Rolf's body around the Murlocs. So now go back in the river, swim to the east side of the river and go along until you find the first Murloc camp. If you swim to the end of the first camp, you will see 3 huts together and if you look a little past that, there are 2 huts together further away from the water. Look on the ground, to the right of these two huts and you should another red thingy, which is the second body.	Malakai - 72,60 (Corpse) Rolf - 79,55 (Corpse)	/tloc 72,60	72 60 and 79 55	If you have Cosmos, 72,60 is Malakai's body, 79,55 is Rolf's body.
/?quest=35	Further Concerns	10	7	Alliance	420 XP	Eastern Kingdoms	Marshal Dughan wants you to speak with Guard Thomas.	N/A	Marshal Dughan	Guard Thomas	74,73	73,72	Hes to the east of goldshire, jus follow the road to the bridge	Guard Thomas gives you quests after completing further concern. One is where you have to search for the remains of two buddies of his and bring back their medals from their corpses and you will get experience points and some Stormwind city reputation.	Simply follow the road heading east from Goldshire. You will eventually find Guard Thomas standing on the left side of the path, right before you reach the Elwynn bridge.
