# Quest Data for Eastern Kingdoms - Silverpine Forest
# Generated: 2025-08-18 16:41:58
# Total quests: 42
# Comment scrape timestamp: 2025-08-18 17:26:41

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=530	A Husband's Revenge	20	10	Both	1550 XP | Item: Ring of Scorn	Eastern Kingdoms	Kill Valdred Moray. Bring his hands to Raleigh Andrean in the Undercity. Valdred's Hands	Do you have those hands, <name>?	Raleigh Andrean	Raleigh Andrean	Actually it's not a castle, it's the Gilneas Gate. lore has it that Gilneas sealed itself off from the rest of the world to prevent the Scourge from invading. it's hoped that someday Blizz will open the zone.	46,86	Valdred Moray wanders back in forth in front of the wall. If you are on the road facing the wall he will start in front of the 'gate' then wander to the right towards a cluster of people. He will go back and forth between these two points constantly. The key is to get him in between, otherwise you will pull far more than intended. My best advice is to pull him back to the road. There is a fence that lines the road here. Pull to where the fence ends. You will avoid getting beast type aggros from the back. If you pull Valdred at the right time he shouldn't bring any buddies. If it is one on one, anyone 18+ should be able to get him fairly easily.	Soloed as L17 Mage. The only problem was avoiding the Son of Arugal. He was in the area and I wasn't prepared for a 25 Elite so I hid from him. Otherwise, pull Raleigh and rip him a new one. No difficulty at all.	https://classicdb.ch/?npc=2332 You can't actually go in the castle this guy is standing out in front of the castle. You're best to be level 18-22 to do this quest. It is relatively easy i you just single pull him.
/?quest=447	A Recipe For Death	12	9	Both	900 XP | Item: Senggin Root 20	Eastern Kingdoms	Collect 6 Grizzled Bear Hearts and 6 samples of Skittering Blood and deliver them to Master Apothecary Faranell in the Undercity. Grizzled Bear Heart (6) Skittering Blood (6)	Hail, <class>. What business do you have with the Royal Apothecary Society?	Apothecary Renferrel	Master Apothecary Faranell	36,17 -sipders and bear locations	at loc 53,38 i got almost 1/1 drop from the bears at lvl13 at loc 36,14 the spiders also dropped nearly to 1/1 at lvl13	Spiders can be found at loc 36, 13 - bears all over the place.	In the skittering dark, you can farm both and! while you're waiting for them to respawn you can fish along the coast and or sell all the junk you pick up from the spiders to the fishing vender there. You can also lvl your cooking on the campfire next to him from the fish you catch.	I can verify (48,69).
/?quest=450	A Recipe For Death	15 Group	9	Both	1350 XP	Eastern Kingdoms	Retrieve Apothecary Berard's journal from Pyrewood Village and take it to Apothecary Renferrel at the Sepulcher. Berard's Journal	I see you are back, <name>.	Master Apothecary Faranell	Apothecary Renferrel	This journal is found at 43,73.&nbsp It is in the back in a house, and you need to run upstairs.&nbsp When you get there, there will be 3 rooms.&nbsp Take room 3 on your right hand side.&nbsp It is in there.	there is a break in the village wall on the south side.&nbsp jump through the break into the village.&nbsp you can then skirt the inside of the wall all the way to the back.&nbsp you still have to kill everyone in front of the inn, but it is much quicker.&nbsp i did it solo as a level 20 hunter, even though my melee skills suck.&nbsp (don't freak out when you can't click on any of the books in the room like i did :)&nbsp the journal is in a bookcase.	This journal is found at 43,73 There is a back way to get to the inn. There is a break at 47,75 Once you reach the inn there are people inside ranging from 14-16 Elites. Once you reach the bookshelf , Berard will be standing next to it ( Lvl 16 Elite ) Hope this helps.	Journal is in the inn layout building all the way straight back from the gate. It is in a bookshelf upstairs.	If you go straight into Pyrewood Village, just keep heading straight. The Inn is the building right behind the fountain. The bookcase needs to be opened, and it's two rooms off to the right at the top of the stairs.
/?quest=451	A Recipe For Death	18	9	Both	2050 XP | Pick: [Nightglow Concoction, Acidproof Cloak] | Item: Elixir of Minor Fortitude | Item: Swiftness Potion	Eastern Kingdoms	Bring 6 samples of Lake Creeper Moss, 6 samples of Lake Skulker Moss and a Hardened Tumor to Master Apothecary Faranell in the Undercity. Lake Skulker Moss (6) Lake Creeper Moss (6) Hardened Tumor	What brings you back to the Undercity, <name>?	Apothecary Renferrel	Master Apothecary Faranell	I also got 2050 exp for this. If you swim straight east from the decrepit ferry, you will hit the big island.&nbsp Straight east of you are the gnolls for another quest.&nbsp If you follow the chain of islands to the south east, you will hit the mobs in the following order. First on the southern tip of the big island is the sulkers.&nbsp The next island has the murlocs (I got the 'rare' tumor on the 3rd kill).&nbsp The island after that has the creepers. Got all of the mosses fairly quickly. Hope this helps!	The Lake Creepers & Skulkers are both on the chain of islands to the East of Fenris Isle. Skulkers on the southern two, Creepers on the Northern two. The droprate for Skulker Moss isn't bad at all, but the Creeper Moss is a very low droprate. Expect to kill quite a few of these guys before you get what you need. Even though the quest says the Hardened Tumor is extremely rare, I got it on my first kill. The Vile Fin Murlocs are all up and down the East coast of these islands.	Lake Creepers are at 74, 21. Lake Skulkers are at 72,35. Hardened Tumor drops from Vile Fin Murlocs.	Lake Creeper Moss drops at 75,20 Lake Skulker Moss drops at 71,36 Hardened Tumor drops at 71,23 Drop Rate= Lake Creeper Moss = Elder Lake Creeper 46� (6/13) Lake Skulker Moss = Elder Lake Skulker 33� (3/9)Lake Skulker 30� (3/10) Hardened Tumor = Vile Fin Lakestalker 50� (1/2) Master Aphothecary Faranell is at 48,69 in Undercity	Got the Tumor underwater at 70, 22, after about 20 kills, from a Vile Fin Lakestalker. Lake Creepers are at 74, 21. Lake Skulkers are at 72,35.
/?quest=479	Ambermill Investigations	16	10	Both	1150 XP	Eastern Kingdoms	Obtain 8 Dalaran Pendants for Shadow Priest Allister at the Sepulcher. Dalaran Pendant (8)	We must hurry, their plans must not come to fruition, or we may lose our hold on Silverpine Forest.	Shadow Priest Allister	Shadow Priest Allister	54,64 on main road, then directly east to 61,64	Didn't get any till I got to [b]63,69[/b].&nbsp I picked up all 8 in 15 kills once I got there!	Kill Dalaran Protector and Mage to get Dalaran Pendants. Loc about 58,63.	Head to Ambermill in SIlverpine located around 55,65. Try to stay on the outskirts as fast respawns and multiple mobs can aggro on you quickly. The protectors can spawn little snake guardians but any time of AoE that deals a small amount of damage will kill them. Not a bad place to grind out some experience and also get linen and wool cloth.	This is a fairly easy quest, and it gives very good exp. compared to its difficulty. The Dalaran Protectors have one or two little snakes that can be very annoying, but they die in one hit.
/?quest=99	Arugal's Folly	15 Group	9	Both	1350 XP | Pick: [Logsplitter, Bonegrinding Pestle, Cinder Wand]	Eastern Kingdoms	Bring 6 Pyrewood Shackles to Dalar Dawnweaver at the Sepulcher. Pyrewood Shackle (6)	Have you secured the Pyrewood Shackles yet, <name>?	Dalar Dawnweaver	Dalar Dawnweaver	Soloed at L18 undead shadow priest... I found it best to enter the village at the west entrance located at coordinates 47:74... I pulled one Moonrage at a time and avoided the 2-man patrols.&nbsp The shackles do NOT only drop from elders they also drop from watchers and sentries.&nbsp It took me one hour and a lot of patience, but I got all 6 shackles.&nbsp I did the quest at night when all the humans had turned into Moonrages, so I don't know about the shackles dropping by day?&nbsp I would not say this was tough at all so much as using battle tactics. My tactic worked out perfectly... I would first cast Fortitude, Rank 2 and Inner Fire, Rank 1 on myself.&nbsp I then pulled using Shadow Word: Pain, Rank 2, and then ran back around the bldg to where I had slipped into the fence.&nbsp This niche is perfect because once they run from fear of death, they NEVER bring reinforcements as they get stuck in the niche, or can't walk far enough to get the reinforcements before they come back to you for the final blow. Once they're in the niche with you, DoT them again with Shadow Word: Pain, Rank 2 and Touch of Weakness, Rank 1.&nbsp Then hit them with your wand until your own life is down by half.&nbsp At that point, throw a Power Word: Shield, Rank 2 around yourself and use Heal, Rank 1 (NOT Lesser Heal).&nbsp As soon as you're healed, refresh Shadow Word: Pain, Rank 2 on the monster, and attack again with your wand.&nbsp Repeat this until they're dead.&nbsp Rinse and repeat until you have all 6 shackles.&nbsp That's it!&nbsp Good Luck!	Confirmed that shackles drop during daytime. Do the quest whenever you want.	The Inn is located straight down from the main entrance to the city, its behind a little 'fountain' looking thing at the bottom of the trail. It has exactly the same setup/layout as the Inn in Brill.	Location of the village east side entrance is 47. 71.	there is a small hole into the west wall, to enter inside the town. here u can attack one by one, it's more eawy
/?quest=422	Arugal's Folly	11	9	Both	875 XP	Eastern Kingdoms	Retrieve the Remedy of Arugal for Dalar Dawnweaver at the Sepulcher. Remedy of Arugal	Before I know what we are dealing with here, <class>, I need to study the spell known as Remedy of Arugal. Bring it to me now or I shall be forced to find myself a worthy servant.	Dalar Dawnweaver	Dalar Dawnweaver	The books are upstairs in the farmhouse in Valgan's Field at loc (52,28). When you loot the book a Moonrage Darkrunner will spawn saying 'The Sons of Arugal will rise up against all who challenge the power of the Moonrage!'.	At the farm, I forget what the name is, but it's just North-East of the bridge. The books are exactly that, a pile of books. Go into the house...not the barn...but the house and it's upstairs all the way into the back you'll see a small pile of books on the floor. They're easy to miss.	Found on second floor of southern building at 52,28. The books are on the ground.	52, 29	The farm is Valgan's Field, not Ivar's Patch.
/?quest=423	Arugal's Folly	14	9	Both	975 XP	Eastern Kingdoms	Bring 6 Glutton Shackles and 3 Darksoul Shackles to Dalar Dawnweaver at the Sepulcher. Glutton Shackle (6) Darksoul Shackle (3)	I will need 6 Glutton Shackles and 3 Darksoul Shackles before I can assess the situation and devise a final solution for Arugal. Now heed your bidding and slay Moonrage Gluttons and Moonrage Darksouls until you have what I need.	Dalar Dawnweaver	Dalar Dawnweaver	Just go North from Dalar Dawnweaver behind the house and you will go down a steep hill. At the bottom go to the left and you will find the Darksouls and the Gluttons. They have a camp there with a treasure chest that will pop up from time to time next to the tree in the middle of the camp. If you kill all of them and still need more shackles you can contiune east to the beach and you will find plenty more.	Found a bunch at 56, 48 . It's a cave southeast of the sepulcher. Levels 12-15. Both Darksoul and Gluttons respawn fast here. Also the drop rate is not that great but might take 2 or 3 respawns to get it all.	They are located on a part of the map called [b]North Tide's Hallow [/b] For those who dont have Cords It's Directly north of Sepulcher along the West coast. I was able to complete the quest within about 10 min. Farely good drop rate. :D	I had fairly good drop rates at approx 42,30.	south of deadfields, and near the coast. watch out for son of arugal!
/?quest=424	Arugal's Folly	15	9	Both	1050 XP	Eastern Kingdoms	Kill Grimson the Pale and bring his head to Dalar Dawnweaver at the Sepulcher. Head of Grimson	Has Grimson the Pale been slain? Varimathras will not be pleased if we ignore his bidding.	Dalar Dawnweaver	Dalar Dawnweaver	56, 45	Not a hard quest, you need to go into the cave and watch out for patrols. Kill every worgen on your way. Grimson is at the end of the cave, the guards are pullable without getting Grimson's aggro.	Almost Directly East of Sepulcher, goto the mine over there and just kill everything in your way, the dude is at the end. Cosmos users, coordinates 58,44	The mine is located not far from sepulcher. follow the road out of sepulcher&nbsp (located on the east side,in other words the only road).&nbsp When the road splits into 2 directions&nbsp (the sign says Tirisfal to the left and Ambermill,pyrewood village and Shadowfang keep to the right)&nbsp ,go to the right. follow the road until you reach another sign on the right side of the road,turn left and run into the hills,turn left again after putting 2-3 moonrage glutton,s into some serious pain and voila there it is. 3nj01 :D	Ez solo quest for lvl 14 undead priest. I've used a healing potion in the mine but that's it. Coord are 56,45. south east of sepulcher. Enjoy!
/?quest=442	Assault on Fenris Isle	24 Group	10	Both	1950 XP | Pick: [High Robe of the Adjudicator, Talonstrike]	Eastern Kingdoms	Bring Thule's Head to High Executor Hadrec at the Sepulcher. Thule's Head	The Scourge cannot be allowed to remain in Silverpine, <name>. Come back to me when you have proof of Thule's death.	High Executor Hadrec	High Executor Hadrec	The coords are 65.25 in Fenris Isle Castle. Stay to the middle of the castle, he spawns there (not in one of the four corner towers). Beware, he has 2 guards that aggro with him, and 2 more guards on the edge of the big room.&nbsp Take out the latter 2 guards first. I beat this pretty easy as a Solo Warlock (but I was also lvl 31...so....) Good luck, have fun. P.S. Stop posting crappy, useless stories without directions or coords.&nbsp No one cares about your adventures, they just want to know how and what the hell to do.	24 warlock, just soloed him. As a lock, be sure you have a SS on yourself, because if you're low level like me, chances are you might die on the first try (lol as I did)! First, I killed all the guards in the room except the two right by Thule. Easy pulls, shouldn't get any excess aggro on these. When Thule, his imp, and the other two guards are left, what I did was send voidwalker in and concentrate on the two guards. I died, but thankfully the two guards died in the fight. After I SS rezzed, I sent in void attack Thule. Got him down to low health while my void was going to die, so I had it sacrifice, so I was shielded for a bit and managed to kill him. Imp was left and I was about to die until I feared the imp a few times to buy time to bandage for a sec. I so thought I was going to die I thought I was going to get a heart attack. XD I think I read in one of the comments that Thule can be feared... I didn't try because I knew I would just find out he was immune which would be a waste of time, but wow I'm glad I got this done by myself, thought I would have a hard time with an elite the same level as myself.	He's not just 24, he is elite level 24! But the rewards are somewhat worth it. Edited, Wed Nov 17 03:42:53 2004	Managed to solo as lvl 18 warlock. Here's what I dwowhead:1,id: Cleared out the first floor of mobs, it's easy to send your Voidwalker to pull and deal with them using DoT, piece of cake. Clearing the area isn't mandatory in my case but I did it for exp and just in case. Monsters vary from lvl 18-19. From the first floor you take the stairs up at the opposite end of house, turn left, take the ramp on the right and you're at the boss room. It's Thule Ravenclaw, a lvl 20 mob with an imp and a single guard (regular lvl 19 rot hide). There's also a patrolling mob (also a rot hide) inside the room. Pull the patrol outside the room with a spell and have your Void taunt him. He is easy to kill. Now, send your Void to attack the imp because it does a surprising amount of damage. While Void is their point of interest use Fear on Thule. Keep him Feared while casting DoT's on the Imp and next the guard, all the while having Thule running around corners. My Void died in the middle of fight against the guard who had only 5-10 % hp at this point. He was easy to handle with but I had to take a health potion and thus couldn't remedy the Hex of Ravenclaw curse. I managed to kill the rot hide while keeping Thule Feared but I died. Luckily, I had my soulstone ready so I could summon myself back using that. Now with both me and Thule 100 % condition it's the final, epic battle. I keep him Feared while casting DoTs and curse myself for not sacrifcing my Void for a shield earlier, also for drinking that health potion. By luck I manage to wound him enough (under 10%) that the DoTs kill him at the same time I died (for real this time). With the room clear and Thule dead, I hurried from Sepulcher's graveyard to claim my prize: a bloody, decapitated head of my current archnemesis. Having no soul shards at hand and not being in the mood to fight myself out I got myself killed and resurrected at Sepulcher. Of course the above applies ONLY TO WARLOCKS. Having not much experience from WoW I can't imagine any tactics for other classes, but hopefully my example shows that it's doable with a (group of) relatively low level characters. But if you want to feel the rush of adrenaline, do it solo as a warlock. I had a great time, myself.	I was able to do this solo as a 23 priest, just barely. He's located on the second floor of the main keep-like building on Fenris Isle. There are a quite a few 18 and 19 mobs in and around the keep, sometimes 2 at a time. He's a level 24 elite, with a 24 imp (not a lot of HP at all, go for him first). There are also 2 of the regular 18 or 19 guys right by him. First, I cleared the whole top floor. Then I killed one of the normal guys by him, and ran around the top floor until I dropped agro. Then I did the same thing for the second normal guy. After that I killed the elite. I used everything I had against him, including a pot, and just barely made it. All in all, its probablly better to do this one in a small group, or at a somewhat higher level.
