# Quest Data for Eastern Kingdoms - Dun Morogh
# Generated: 2025-08-18 16:41:13
# Total quests: 31
# Comment scrape timestamp: 2025-08-18 17:20:13

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=319	A Favor for Evershine	8	2	Alliance	525 XP	Eastern Kingdoms	Kill 6 Ice Claw Bears, 8 Elder Crag Boars, and 8 Snow Leopards, and then return to Rejold Barleybrew in Brewnall Village. Ice Claw Bear slain (6) Elder Crag Boar slain (8) Snow Leopard slain (8)	Have you taken care of those wild animals?	Rejold Barleybrew	Rejold Barleybrew	they all 3 can be found at 36 36.	Ice Claw Bear slain: 37,42 Elder Crag Boar slain: 37,45 (North) Between the montains. Found more in 32,48. Snow Leopard slain: 33,48 (Search wide)	a pretty good spot to find all 3 are around 29,52.	How to complete [quest=319]: [ol] [li]accept quest /way 30,22, 45,75[/li] [li]kill 6x [npc=1196], 8x [npc=1127], 8x [npc=1201][/li] [li]return quest /way 30,22, 45,75[/li] [/ol] Ice Claw Bear coordinates: /way 29,07, 43,76 /way 29,61, 41,76 /way 27,85, 43,12 /way 25,36, 46,79 /way 30,35, 42,19 Elder Crag Boar coordinates: /way 29,25, 42,67 /way 27,97, 42,16 /way 28,39, 44,23 /way 26,21, 44,94 /way 29,27, 43,25 /way 30,16, 38,43 /way 31,58, 38,83 Snow Leopard coordinates: /way 30,37, 40,34 /way 31,26, 39,08 /way 32,57, 37,42 /way 34,92, 34,81 /way 35,18, 36,37 /way 36,97, 36,72 [b]Video guide[/b]: https://youtu.be/rMeV_mEfbN8	N/A
/?quest=417	A Pilot's Revenge	11	8	Alliance	650 XP | Pick: [Craftsman's Dagger, Compact Hammer]	Eastern Kingdoms	Kill Mangeclaw. Bring his Mangy Claw and Hildelve's Journal to Pilot Hammerfoot. Mangy Claw Hildelve's Journal Provided Item: Hildelve's Journal	Hello, <name>. Do you have word of my friend Hildelve?	A Dwarven Corpse	Pilot Hammerfoot	78,37	coords 78,37	Try search the body before you kill the bear and the claw will be yours...	Just continue straight down the path where you find the pilot's body. Coord: 78.5, 37.6	78 37 This is exactly the coords. 7 8,&nbsp 3 7
/?quest=5541	Ammo for Rumbleshot	6	5	Alliance	550 XP	Eastern Kingdoms	Bring Rumbleshot's Ammo to Hegnar Rumbleshot in Dun Morogh. Rumbleshot's Ammo	I hope you're not here for ammo, because I'm almost out!	Loslor Rudge	Hegnar Rumbleshot	found at 44,56	Got the ammo crate at 44, 56 (https://classicdb.ch/?object=176785). Be sure to watch all the crazy NPCs around the mortar launcher. The quest turn in is at 40, 65 (https://classicdb.ch/?npc=1243).	OK, this is for those of you who can't seem to find the damned ammo.. Outside of the grizzled den area there is an abandoned camp, in that camp is the box of ammo. IF YOU DONT FIND IT, either, you don't have quest, OR you're not looking hard enough, mouse over everything in the camp, because believe it or not, IT IS THERE :-D	just found ammo 44,56 turn in quest at 40,65	[b]STAY[/b] there and watch how that ammo gets put to use. You will laugh out loud.
/?quest=310	Bitter Rivals	6	2	Alliance	140 XP	Eastern Kingdoms	In the basement of the Thunderbrew Distillery in Kharanos, replace a barrel of Thunder Ale with a Barrel of Barleybrew Scalder. Barrel of Barleybrew Scalder Provided Item: Barrel of Barleybrew Scalder	The date on this barrel shows that it'll soon be tapped.	Marleth Barleybrew	Unguarded Thunder Ale Barrel	Buy a Thunder Ale from the inn-keeper to give to Jarven Thunderbrew so that he leaves. You can then complete the quest.	1. Once you reach the basement, check out the barrel beside Jarven Thunderbrew. You'll get a message that it's guarded. 2. Talk to Jarven Thunderbrew (he now has blue [b]?[/b] above him). You'll get this quest: [url=http://classicdb.ch/?quest=308]Distracting Jarven[/url] 3. Once you get Jarven out of the way (by handing him the Thunder Ale from the Innkeeper upstairs), click the barrel again.	Or, if u are really low on coppers :grin: , u can wait till someone else buy this guy a beer, and then switch barrrels while he's missing from basement.	I looked quite a bit for the basement and couldn't find it, but alas the staircase to the basement is well hidden if you don't really take the time to look for it by walking around the rooms. In the lower room where you find the cook, there is a table with all sorts of lovely pices of hacked up meat. behind this table against the wall is the staircase down where you will find a guy guarding the keg, he has a blue question mark above him. You have to give this guy one ale purchased from the innkeeper to be able to complete the barrel switch.	How to complete [quest=310]: [ol] [li]accept quest /way 30,24, 45,52[/li] [li]you will receive [item=2548][/li] [li]return quest /way 47,69, 52,69 (barrel)[/li] [/ol] [b]Video guide[/b]: https://youtu.be/uN-Va90gL70
/?quest=7674	Black Ram Exchange	1	60	Alliance	Pick: [Swift Brown Ram (1.12), Swift Gray Ram (1.12), Swift White Ram (1.12)]	Eastern Kingdoms	Black Ram	N/A	N/A	N/A	Patch 1.4 (May 05, 2005) was the first time that the 'swift' mount versions were introduced into the game. Prior to this patch, all mounts, whether 'epic' 100% speed mounts (what is now considered 150 riding skill) or 'normal' 60% speed mounts (what is now considered 75 riding skill) all looked the same. The only significant difference lay in either minor size or color variations, but the 100% speed mounts prior to 1.4 had no additional armor. Once patch 1.4 went live, this quest was added into the game so players with the non-armored mounts could exchange their un-armored mount for an armored one. Players who still have the non-armored mounts should still be able to access and complete this quest, thereby receiving an armored mount. Some people prefer to keep the old, un-armored versions, though, as a sign of their early acquisition and success - as a status symbol. There are matching quests for all factions except Draenei and Blood Elves.	where do you get this ram ?	cant you read, its 'Bind when Picked Up'... so not possible	Auction House	N/A
/?quest=308	Distracting Jarven	7	1	Alliance		Eastern Kingdoms	Hmph! There is all this booze down here. but I have strict orders not to touch it. If only I could get a taste of some of our Thunder Ale...that would sharpen my wits, no lying! Thunder Ale	N/A	Jarven Thunderbrew	Jarven Thunderbrew	Simple enough. Talk to the innkeeper up stairs, buy the Thunder Ale for 50c, and give it to Jarven. There is no XP because this quest is simply a side step in Bitter Rivals (https://classicdb.ch/?quest=310).	Complete Quest Text (from Jarven Thunderbrew): 'For me? You're a true hero, <name>!'	N/A	N/A	N/A
/?quest=318	Evershine	7	2	Alliance	160 XP	Eastern Kingdoms	Get a cask of Evershine from Rejold Barleybrew in Brewnall Village.	N/A	Pilot Bellowfiz	Rejold Barleybrew	The exact Coordinates are: 30,46 greetings Caza	I found it easier to follow the frozen river. Take it toward the west and it leads pretty much right to Brewnall. Also, less Wolves to deal with.	How to complete [quest=318]: [ol] [li]accept quest /way 49,43, 48,33[/li] [li]return quest /way 30,22, 45,75[/li] [/ol] [b]Video guide[/b]: https://youtu.be/HvRQodvPhk0	the exact loc is 30.46 on the dot.weapons at 'Return to Bigglefizz' or whoever it is	Found Rejold Barleybrew in Brewnall Village at 30,45 on the map. 'west of Kharanos' I came straight west from Kharanos, some trouble with wolves, then across lake to Brewnall.
/?quest=7673	Frost Ram Exchange	1	60	Alliance	Pick: [Swift Brown Ram (1.12), Swift Gray Ram (1.12), Swift White Ram (1.12)]	Eastern Kingdoms	Frost Ram	N/A	N/A	N/A	Patch 1.4 (May 05, 2005) was the first time that the 'swift' mount versions were introduced into the game. Prior to this patch, all mounts, whether 'epic' 100% speed mounts (what is now considered 150 riding skill) or 'normal' 60% speed mounts (what is now considered 75 riding skill) all looked the same. The only significant difference lay in either minor size or color variations, but the 100% speed mounts prior to 1.4 had no additional armor. Once patch 1.4 went live, this quest was added into the game so players with the non-armored mounts could exchange their un-armored mount for an armored one. Players who still have the non-armored mounts should still be able to access and complete this quest, thereby receiving an armored mount. Some people prefer to keep the old, un-armored versions, though, as a sign of their early acquisition and success - as a status symbol. There are matching quests for all factions except Draenei and Blood Elves.	N/A	N/A	N/A	N/A
/?quest=287	Frostmane Hold	9	7	Alliance	600 XP | Pick: [Warm Winter Robe, Stone Buckler]	Eastern Kingdoms	Explore Frostmane Hold, and kill 5 Frostmane Headhunters for Senir Whitebeard in Kharanos. Fully explore Frostmane Hold	You can't find it? My directions were very clear! We don't have much time, you've got to hurry! Don't come back until you've found the cave.	Senir Whitebeard	Senir Whitebeard	--Getting There-- Walk the long way to the middle of Iceflow lake (33,42) and kill all normal animals you may encounter. Once you arrive at the Camp Brewnall Village (29,46) Head south West to the cave 'FrostMane Hold' (24,50). --Part 1 (Kill all 5)-- When you start see see trolls slowly pull the outside defenders 1 by 1 and then make it to the cave. just keep pulling them and killing them untill all 5 are slain. --Part 2-- For this i reccomend if you have any items or food that will increace stamina use them now. SImply kill the forst 3-4 in the cave so its safe (carefull not to get mobbed by 2) and then run as fast as possible to the end of the entrace passage. Jump down from there onto the ice and run around that snow/ice mound in the middle and it SHOULD say (Quest Frostmne Hold - Area Discorver) or something and then you will probably die but that doesnt matter because you are under 9 simply talk to the Spirit Healer and walk the 30 feet to the quest hand in and theres 750 exp. (Please vote and Comment)	Coords are 24,50 (south west of Brewnall village)- it is NOT the cave at shimmer ridge (41,34 - NE Brewnall village / Iceflow lake)	Frostmane Hold is 26,51 The entrance to the cave is 24,50	Only 600 exp for a lvl 9 rogue.	You get it fully explored at 21,51
/?quest=403	Guarded Thunderbrew Barrel	1	1	Both		Eastern Kingdoms	N/A	N/A	Guarded Thunder Ale Barrel	Guarded Thunder Ale Barrel	This is the same quest as http://classicdb.ch/?quest=308 'Distracting Jarven'	N/A	N/A	N/A	N/A
/?quest=7675	Icy Blue Mechanostrider Replacement	1	60	Alliance	Pick: [Swift Green Mechanostrider (1.12), Swift White Mechanostrider (1.12), Swift Yellow Mechanostrider (1.12)]	Eastern Kingdoms	Icy Blue Mechanostrider Mod A	N/A	N/A	N/A	Patch 1.4 (May 05, 2005) was the first time that the 'swift' mount versions were introduced into the game. Prior to this patch, all mounts, whether 'epic' 100% speed mounts (what is now considered 150 riding skill) or 'normal' 60% speed mounts (what is now considered 75 riding skill) all looked the same. The only significant difference lay in either minor size or color variations, but the 100% speed mounts prior to 1.4 had no additional armor. Once patch 1.4 went live, this quest was added into the game so players with the non-armored mounts could exchange their un-armored mount for an armored one. Players who still have the non-armored mounts should still be able to access and complete this quest, thereby receiving an armored mount. Some people prefer to keep the old, un-armored versions, though, as a sign of their early acquisition and success - as a status symbol. There are matching quests for all factions except Draenei and Blood Elves.	What the $%^ is this? Does this even exist?	N/A	N/A	N/A
/?quest=412	Operation Recombobulation	10	7	Alliance	850 XP | Pick: [Driving Gloves, Oil-stained Cloak]	Eastern Kingdoms	Bring Razzle Sprysprocket in Kharanos 8 Restabilization Cogs and 8 Gyromechanic Gears. Restabilization Cog (8) Gyromechanic Gear (8)	The Recombobulator will be up and running as soon as we have sufficient Restabilization Cogs and Gyromechanic Gears.	Razzle Sprysprocket	Razzle Sprysprocket	Hi, I've attempted to do this quest, I collected both sets of 8 parts, the restabilization cogs and the gyromechanic gears. I ran back to Razzle and there's no mark over his head and he doesn't respond to clicks. Is this quest currently working? Thanks ahead of time for help and information.	From Brewnall Village, you'll find them just a hint North West from there. Almost due West of the lake. The Leper Gnomes like to run, which will typically mean that they come back with a friend, so do what you can to kill them before they get too far. Also, they like to hit you with 'Decayed Strength', which reduces your strength by 2. For those with Cosmos, or Titan Panel and like coordinates, I started finding Leper Gnomes around 26,43 approaching from the South. After you complete the quest, be sure to stand back and watch Razzle Sprysprocket's invention kick into action. It's pretty funny.	Leave it to Blizzard to make the end of this quest involve chickens and gnomes! classic!	Every time i draft a new gnome or dwarf I do this quest and zomfg i must say without a doubt after several lvl 70s with full t6 gear it is by far the most annoying quest i have ever done in my life along side aswell any of the achindoun quests b/ the spirit healer is ALWAYS on the complete opposite end of the zone. Normally im not one to wish harm onto anyone but If by some fluke of luck the blizzard designer for these zone's sprite placement should befall a heart attack and fall to the ground in silent agony to be only a fraction of an inch out of reach of altering someone to his duress I'd probably lean in and say 'poetic justice is a beautiful thing'.	How to complete [quest=412]: [ol] [li]accept quest /way 45,86, 49,31[/li] [li]go around /way 27,48, 37,56[/li] [li]kill [npc=1211] for drop 8x [item=3083] (43% drop rate) and 8x [item=3084] (42% drop rate)[/li] [li]return quest /way 45,86, 49,31[/li] [/ol] [b]Video guide[/b]: https://youtu.be/gtH5vexj7ak
