# Quest Data for Kalimdor - Desolace
# Generated: 2025-08-18 16:50:36
# Total quests: 57
# Comment scrape timestamp: 2025-08-18 17:35:47

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1386	Assault on the Kolkar	32	30	Both	2550 XP	Kalimdor	Maintain your reputation with the Magram. Kill 12 Kolkar Centaurs, 12 Kolkar Scouts and 6 Kolkar Maulers, then return to Warug in the Magram Village in Desolace. Kolkar Centaur slain (12) Kolkar Scout slain (12) Kolkar Mauler slain (6) Magram Clan Centaur (Friendly)	Are you afraid of the Kolkar? Why do you not kill them? Maybe you forgot how to kill. Hurry and kill Kolkar before they are dead!	Warug	Warug	I got this one :) ALl 3 the Kolkar's are at the same place, a bit north of the questgiver. I found all of mine in a square of like ... 68,43 - 70,50 The Scouts were the hardest to find. Total time ... it took half an hour maybe. And as 37 Priest I got between 90 - 100XP per kill.	&nbsp &nbsp The quest is easy enough, just head up the road through the coven to the Kolkar camp. The only problem I had was that [b]A-[/b] A party had wiped the camp previously and there was nothing there, and [b]B-[/b]I had a bit of trouble with the Maulers (they look like some other type of guy you don't need). &nbsp &nbsp The [b]Scouts[/b] predictably, are on the fringes and outermost parts of the camp the [b]Centaur[/b] are more buff and are scattered amung the Scouts and the [b]Maulers[/b] are towards the inner part of the camp, looking alike to the Centaur in appearance. &nbsp &nbsp &nbsp (PS: All the guys you want run away at low HP levels.)	I don't know why, but just like the person above me wrote... I didn't get this quest either. It took me straight to Broken Tears. Odd.	Easily. The prereq isn't actually required. Horde can go kill magram until the Gelkis like them, or vice versa, but they don't get a quest unitl they're done doing that.	Received 2550 experience at level 31, higher than listed amount as of Jan. 16, 2007.
/?quest=5821	Bodyguard for Hire	35	30	Both	2750 XP | Item: Trader's Ring	Kalimdor	Escort the Gizelton Caravan past the Kolkar Centaur village. Talk with Smeed at Scrabblescrew's Camp for your reward. Escort Gizelton Caravan past Kolkar Centaur Village	Why do I find myself waiting for that blasted caravan?<Smeed looks enlightened.>Oh yeah, they pay the bills. Have you seen them?	Cork Gizelton	Smeed Scrabblescrew	[url=http://img96.imageshack.us/img96/8025/wowscrnshot040507065501ho6.jpg]http://img96.imageshack.us/img96/8025/wowscrnshot040507065501ho6.jpg[/url] Caravan moves back & forth on its route.&nbsp When its east of Kormek's Hut at 66,38, one of the goblins will shout to entire region that he needs bodygaurds.&nbsp At this point he will have a yellow '!' above his head & you can begin quest. You can heal the NPC's so they don't die All NPC's will help kill in all fights, if they are close enough. If you start a fight with a mob that isn't part of the quest, bring it close to the caravan NPC's & they'll help you kill it.&nbsp	This is the first of two quests on the caravan trade route between Kormek's Hut and the Gelkis Village. It is also the easier of the two. After returning to Kormek's Hut, the caravan sets up shop and rests for 10 minutes. Then it departs headed east along the road and stops just north of the Kolkar Village. At this point the quest becomes available for only 4 minutes. If it is not recieved within that period, the caravan continues south along the road and then west straight to the Gelkis Village. You have to then wait for the caravan to complete it's circut before you can pick up the quest (which takes approx. 40-60 minutes! depending on the quests being picked up or not along the way) For the quest, you are attacked by three seperate mobs as you pass the Kolkar Village heading south. All three mobs spawn the same units and they are as follows : 2 Kolkar Ambushers (level 34-35) 2 Kolkar Waylayers (level 33-34) After the third mob is defeated, the quest objective is completed and you can head directly to Scrabblescrew's Camp to recieve your reward.	This quest is available as the caravan makes its way south from Kormek's Hut along the road.	There is also another escort quest by the gelkis village. lvl 38 quest http://classicdb.ch/?quest=5943	this quest start north of the Kolkar Village along the road. 3 sets of Kolkar Ambushes. not too hard since the caravan fights too. one of two escort quests for the caravan. this is the&nbsp easier of the two. the other is https://classicdb.ch/quest=5943
/?quest=5501	Bone Collector	39	33	Both	2250 XP | Item: Kodobone Necklace	Kalimdor	Bring 10 Kodo Bones from the Kodo Graveyard to Bibbly F'utzbuckle at Kormek's Hut. Kodo Bone (10)	Do you have the bones? The caravan will be here any moment. I need just ten more kodo bones to reach a career high. A career high, I tell you!	Bibbly F'utzbuckle	Bibbly F'utzbuckle	2250 XP at level 39.	You DO NOT kill the kodos for the bones, you right click the bones on the ground.&nbsp The bones look like skulls.	BONES?>> AT 50,60 TURN IN AT>> 61, 41 MOB-- around 36.. easily did as a 38 Hunter.. bones are on the ground.. skull like things.. or just skulls :)	The bones are found in the Kodo Graveyard. Mouse over the solitary kodo skulls and you'll see that you can use them. Once you open a skull, grab the bone but be ready to either fight or run. There's a better than 50% chance that a Kodo Apparation will spawn and attack you. They are level 38 and not too hard. Just watch your back, as the birds in the graveyard patrol and aggro easy.	If you're a lower level character trying to do this quest, be aware of the fact that sometimes some of the bones will spawn a Kodo Apparition, around level 39, and it hits pretty hard, so be prepared to run away.
/?quest=6027	Book of the Ancients	38	30	Both	3550 XP | Pick: [Silkstream Cuffs, Arcmetal Shoulders]	Kalimdor	Get the Book of the Ancients and return it to Azore Aldamort at the tower in Ethel Rethor. Book of the Ancients Gem of the Serpent Provided Item: Gem of the Serpent	Ah, <name>! It's good to see you again. Do you have the Book of the Ancients?	Azore Aldamort	Azore Aldamort	a bunch of you people posting are just idiots.&nbsp people come here for help on quests, not to see 'i soloed it np with my lvl 36 warlock or shammy or or any other class'&nbsp they are looking for ways other people did it.&nbsp so how bout ya get off your high horses and if you are gonna post that you beat it tell in detail so the next person can see and understand.&nbsp No i have not done this quest yet just wanted to see where i get it from and yes i know how to spell and and when to use caps but honestly i care less about it.&nbsp so for those of you that actually told how you did and notjust it was easy blah blah ty and for the rest of you shut up if you are not going to be helpful.	The location is 28,6 . Its some hot serpent lady statue :)	3550 experience gained from this at level 36	28,7 Book of the Ancients	try doing this together with https://classicdb.ch/?quest=1456 and https://classicdb.ch/?quest=6161 all end at the same island
/?quest=1369	Broken Tears	33	30	Both	2650 XP	Kalimdor	Maintain your reputation with the Magram, and bring 3 Broken Tears to Warug in the Magram Village. Broken Tears (3) Magram Clan Centaur (Friendly)	If you are not our enemy, then you will do what I ask!	Warug	Warug	Coordinates ARE at 38,91	cosmos loc is 38,90. Cave is called Bolgan's hole. It is located in the very southern part of the zone, you have to cross a rickety wooden susspension bridge to get there, and ther are a few mobs on the way. Hope this helps. As of today, np collecting the crystals.	Simple quest. There are crystals just inside the mouth of the cave (at least three). Just right click on three crystals, and leave. Cave is over the bridge in kolkar camp, you can jump down, or work your way around. Either way, you will have to clear a few 34/35 mobs but quest itself is pretty easy. First time in, I walked right by crystals. Thought the drops would be in furthest reaches of the cave...lol	Just make sure that [b]AS SOON AS YOU ARE FRIENDLY[/b] on part one of the quest line - [b]STOP KILLING THEM[/b].&nbsp They'll be orange for this quest, and won't attack you at all.&nbsp You can walk right in and break their crystals, and they won't even look at you :D	the entrance to the cave is 38,90. If you're in the gelkis camp look up and you'll see a bridge, well the bad part is walking around until you find the bridge. The good part is these guys give some good experience so take advantage of that. If you're having problems just wait a few more lvls, i easily did this with my 34 hunter
/?quest=6141	Brother Anton	39	34	Alliance	300 XP	Kalimdor	Speak with Brother Anton in Desolace.	N/A	Brother Crowley	Brother Anton	How did he recieve word so fast... I practically sprinted there!	You need to complete this quest chain to be able to get 'In the Name of the Light' https://classicdb.ch/?quest=1053.	Desolace can be reached via a path in the SW corner of Stonetalon Mountains. Once you enter the northern bit of Desolace, follow the feet of the mountains to the east, there's a very obvious (lighted, with guards) path up the hill to Nigel's Point.	300xp, no rep at 40 (yellow quest)	lvl35 pally got quest in SW Temple basement
/?quest=1385	Brutal Politics	35	30	Alliance	2050 XP	Kalimdor	Gain a Friendly reputation with the Magram, then speak with Warug. Magram Clan Centaur (Friendly)	You will go now, or the Magram will crush you! To be our friend, you must kill Gelkis.	Captain Pentigast	Warug	Choose this quest If you need leather armour, and 'strange alliance' If you need mail armour. check the final rewards. NUFF SAID	Personally I find it weird that The Gelkis the Magic users of the centaur clan gives the good melee class reward and that the Magram the brutes of the centaur rivals give out the better of the caster rewards. If you do Brutal Politics and follow through the chain you will get one of two items http://classicdb.ch/?item=6789 Ceremonial Centaur Blanket which is a decent caster cloak or http://classicdb.ch/?item=6788 which is a good leather wearing belt for hunters and rogues. If you decide to do the Strange Alliance side of the two quests you will receive one of two rewards. You will receive http://classicdb.ch/?item=6773 The Gelkis Marauder Chain a decent mail chest piece or http://classicdb.ch/?item=6774 Uthek's Finger which to be frank sucks unless you are using a caster dagger or one hand of some sort other than that its pretty much useless. There is a little insight for you.	Warun is at 74,68 . You need to kill a lot of Geikies (whatever) to gain his advantage !	Well I found the Gelkis spokesperson relatively easily, but Warug, the Magram spokesperson was a bit harder. If you look at Magram Village, there is a small island with tents on it. Looking at the map, draw a straight line north from the island. Warug is North of the island and EAST of the imaginary line you drew. You should see the indicator on your minimap when you get close enough (he's hangin out by a big fire) Hope this helps	Warug at hill with bonfire, NE of village.
/?quest=5386	Catch of the Day	37	32	Horde	2100 XP | Pick: [Mithril Ore 3, Thick Leather 5, Mageweave Cloth 5]	Kalimdor	Talk to Jinar'Zillen at Shadowprey Village, and then bring Nataka Longhorn 2 Bloodbelly fish. Bloodbelly Fish (2)	My hoof tingles and my mouth starts to water when I think of fried Bloodbelly fish... You have any on you?	Nataka Longhorn	Nataka Longhorn	go to shadowprey village&nbsp which is far west of Desolance,about 25 70. go in to water south of village, look for cages, open them the talk to the Fisherman who is on the dock after u get 5 and there u r....	Under normal circumstances, this quest is relatively easy. Just go to Shadowprey Village, jump in the ocean and check the shellfish traps. Once you have 10 shellfish, you can turn them in to Jinar'Zillen on the dock (in lots of five) to get your two fish. However, recently several websites/forums have mentioned that the shellfish traps are good to farm, as they have a chance of dropping the Big Iron Fishing Pole. On some servers, that pole sells for upwards of 10g on the AH. Also, turning in shellfish yields about 55s for every 5 you turn in. As such, the shellfish traps are usually camped hardcore, making it difficult to finish the quest, depending on your server. You need to open a minimum of five traps to complete the quest (and that's with great luck, as the traps sometimes yield vendor trash or even nothing). Good luck.	i founded my first at 22.75 right underthe water .. its like the fish is in jail :D just take em out D	jinar is in the middle of the pier. he doesnt have a ? over his head. you gotta talk to him and swim into the water to find some traps. get 10 and cash em in for the bloodbelly fishies. then go back	he's standing on the pier
/?quest=1366	Centaur Bounty	31	30	Horde	3750 XP | Pick: [Lilac Sash, Braced Handguards]	Kalimdor	Bring 15 Centaur Ears to Felgur Twocuts in Desolace. Centaur Ear (15)	How is your collection of ears, <name>? Large?	Felgur Twocuts	Felgur Twocuts	Do this quest while attempting to gain favor with one the Centaur tribes. You kill to gain favor with the opposing clan and to collect ears. Make sure you have the quest that requires you to gain favor with one of the centaur clans. (You get that quest from they NPC next to the one that gives you this quest). Proceed to find the leader of the clan that you are going to gain favor with. Talk to that NPC. Then go find the opposing clan and do what you do best...KILL! These poor humanoids are very level 35. They go down easy. Biggest threat are the critters that roam the land and that (pain in the ass) Deepstrider elite (38-42). The centaurs begin to hate you when your earcount gets around 8. By the time you have 15 ears they will despise you. (go turn in your ears and then go talk to the Centaur NPC) See! 2 for 1.	Khan'Dezhepah is a pre-requisite for this quest. You may want to do that before grinding out the Centaurs for the Magram Alliance.	Magram 66,66 Gelkis 39,83 Kolkar 70,48	Don't be confused like I was, any centaur will do...not just those with Centaur in their name (for example: Kolkar Centaur).	Large camp can be found at 70, 45 area.
/?quest=1387	Centaur Bounty	31	30	Alliance	3750 XP | Item: Ring of Calm	Kalimdor	Bring 15 Centaur Ears to Corporal Melkins at Nijel's Point in Desolace. Centaur Ear (15)	Do you have a report, <name>?	Corporal Melkins	Corporal Melkins	[url=http://i10.tinypic.com/4043i4o.jpg]http://i10.tinypic.com/4043i4o.jpg[/url]	You can find the centaurs along the east mountains directly south of Sargeron.	Coords 68,40	well actually the caentaurs are at 70,40 precise not 70,50	Might I suggest doing this quest along with Brutal Politics/Strange Alliance. The ears drop off of them as well and you will probably finish the ears before you've gotten friendly with the faction of your choice. Also the mobs won't attack you seeing as how you will be neutral with them. http://classicdb.ch/?quest=1385 Brutal Politics http://classicdb.ch/?quest=1382 Strange Alliance Good luck!
