# Quest Data for Kalimdor - Mulgore
# Generated: 2025-08-18 16:48:44
# Total quests: 25
# Comment scrape timestamp: 2025-08-18 17:39:12

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=833	A Sacred Burial	10	7	Both	625 XP	Kalimdor	Lorekeeper Raintotem wants you to kill 8 Bristleback Interlopers at Red Rocks. Bristleback Interloper slain (8)	The Bristleback Interlopers must be driven away from our sacred burial ground, <name>.	Lorekeeper Raintotem	Lorekeeper Raintotem	He is actually in Red Rock at 59,25.&nbsp Easy quest.&nbsp He is standing beside a tree with a campfire.	Easy to find mobs for this one, when you talk to quest giver turn directly north from him and run about 100 feet and Wha Laaa !	You can do this quest while working your way to the middle of the 'camp' and speak to the spirit there for the Rites of Wisdom quest https://classicdb.ch/?quest=773	According to the map linked to this description he is to the west near the zone edge. Can anyone else confirm that? Or is that where the mobs can be found?	where is this quest giver?
/?quest=743	Dangers of the Windfury	8	5	Both	700 XP	Kalimdor	Bring 8 Windfury Talons to Ruul Eagletalon in Bloodhoof Village. Windfury Talon (8)	The Windfuries are deadly foes. Their strength in battle is only rivaled by their desire for fresh meat.	Ruul Eagletalon	Ruul Eagletalon	Couple people mention you can find these just South of road before entering The Barrens. Coords roughly 63, 69 if you have mod. Otherwise you will see what looks like giant pine cones hanging from trees on your right as you are walking down the road right before getting to Barrens. That's their nests. Harpies are female looking birds. You will see Turquoise and White ones. The drop rate is about 1 in 2 or 3. It shouldn't take you much more than about 10-15 mins working solo. Their levels are 7-8.	63,70 along that ridge there.	the harpies can be found @ 34.43 for the tallon	You can find plenty at 62,72 - Mulgore talons drop	South of road at Barrens border--all the way tothe foothills.
/?quest=746	Dwarven Digging	8	6	Both	700 XP | Pick: [Fortified Bindings, Rough-hewn Kodo Leggings]	Kalimdor	Collect 5 Prospector's Picks. At a forge, smash the Prospector's Picks to create Broken Tools. Bring 5 Broken Tools to Baine Bloodhoof in Bloodhoof Village. Broken Tools (5)	Hello, <name>. Do you have the Broken Tools? The dwarves' digging will enrage the kodos of Mulgore. This defilement must be stopped!	Baine Bloodhoof	Baine Bloodhoof	You get the tools from the dwarves and break them at that same camp at 32, 48. The anvil is at the back left corner of the camp.	If you are having trouble getting to the forge at the dwarven camp, you can always go to Thunder Bluff and use the forge by the blacksmith to create the broken tools.	Bael'Dun Dig Site Opening 34, 48 Edit: Good drop rate. Out of 5 killed, 2 picks.	Leave Bloodhoof Village heading towards Thunder Bluff. You pass over the bridge. As you travel down the path you will come to a path on your left take that path into the mountains and you will find the appraisers and the diggers. You get the picks from them. But they are not broken take them to a forge and right click to break. If you go to TB to use forge as soon as you get off elevators right near pond edge is the area you can break the picks at.	Each [Prospector's Pick] produces one piece of [Broken Tools]
/?quest=775	Journey into Thunder Bluff	10	3	Both	420 XP	Kalimdor	Speak with Cairne Bloodhoof in Thunder Bluff.	N/A	Ancestral Spirit	Cairne Bloodhoof	He's in Thunder Bluff.&nbsp Location is 60,52.	Says I, as a troll, would be 'revered within our great city.'&nbsp Instead, I gained a mere 15 rep.&nbsp Bah.&nbsp Fix it Blizz.	Enter in the tower where is the ' Tal [Wind Raider Master], and exit before reached him - 1 level under him; go just straight and you'll find Bloodhoff :))) Coordinates 59,51	I went to the place with the wind guy and went inside and started climbing up. I went out the second door, and he was right across....just on the other side of the bonfire.	He Stands at 60, 51... in thunder bluff..
/?quest=854	Journey to the Crossroads	12	9	Horde	230 XP	Kalimdor	Speak with Thork at the Crossroads in the Barrens.	N/A	Kirge Sternhorn	Thork	I just made a male troll warrior, and carefully walked him over to mulgore (not discovering a darn thing, especially XR) and started like a tauren does in red rock mesa with 0/400 xp.&nbsp :)&nbsp Let me clarify that,&nbsp since i had 0/400 xp while standing in mulgore as a TROLL,&nbsp i did not discover or unveal anything in all of barrens or durotar,&nbsp including XR or camp T.&nbsp although i did have to touch gold roads once or twice, but that doesnt reveal map.&nbsp then i leveled up to 9 while doing tauren quests.&nbsp i went to camp tarajo after all that, (which i also managed to not discover uuntil that point of course) and kirge had no '!' for me.&nbsp then, just to absolutley double check, i made a male tauren warrior, same gender and class, and even with the exact same name!&nbsp and did only the exact same quests my troll could do (leaving out the waterwell quests, and the quests from the start npc that gives you a note from the trainer so you find him the first time).&nbsp and of course there was a '!' for me then.&nbsp same EXACT quests turned in! so in summary,&nbsp the only difference besides my race, was the order in which i turned the the quests, and that i had valley of trials explored (troll starting zone).&nbsp Not only did i talk to the same npcs (and ignored the same ones between my troll and tauren too), I even discovered the areas in the same exact order, except for when the troll starts in valley of trials and i had to step in barrens once of course.&nbsp also,&nbsp if the server logs me as stepping in gold road or southern barrens (not 'discoverable' areas that give xp,&nbsp they just chage the title in your minimap)&nbsp and THATs what makes it happen, then your screwed.&nbsp You CANNOT&nbsp get to mulgore without stepping in southfury river, the barrens, and southern barrens.&nbsp i suppose you can avoid southern barrens but then you MUST then touch agammagor or camp tarajo, which give xp for discovering.&nbsp i'd have to say that IF this quest is NOT tauren only, then it doesnt matter anyway, cause its impossible for any thing besides a tauren to go through the exact proper hoops to get it.&nbsp case closed fellow gamers.&nbsp just go to thork and start from there if you aint tauren	'...for our lives with the orcs have become intertwined and they need assistance.' -He is saying we (Taruen) need to help the orcs. This quest is indeed Taruen only.	I believe that this is a Taruen only quest. I could't get the quest as a level 15 Blood Elf Rouge	cant make it with my UD rogue .. i am lvl 20.. hmm someoen know?	You have way too much free time on your hands.
/?quest=766	Mazzranache	8	5	Both	700 XP | Pick: [Cliff Runner Boots, Plains Hunter Wristguards]	Kalimdor	Bring a Prairie Wolf Heart, Flatland Cougar Femur, Plainstrider Scale and Swoop Gizzard to Maur Raincaller at Bloodhoof Village. Prairie Wolf Heart Flatland Cougar Femur Plainstrider Scale Swoop Gizzard	My fever grows worse and I find my mind drifting into delirious nightmares... I should have known that I wouldn't be able to handle a beast my grandfather was unable to defeat...Do you have the ingredients for the remedy? I fear if I do not clean the infection soon, it will be the death of me.	Maur Raincaller	Maur Raincaller	The [b]Swoop Gizzard[/b] dropped before I even realized I had the quest.&nbsp I think around [b]42,40[/b]. The Prarie Wolf Heart also dropped rather fast.&nbsp I believe it was around the same location as the [b]Swoop Gizzard[/b].&nbsp I had to a ton of Flatland Cougers to get the [b]Flatland Couger Femur[/b].&nbsp I believe that one finally dropped off the ones at about [b]52,32[/b], somewhere in the Golden Plains.&nbsp I gave up trying to find normal Plainstriders.&nbsp The [b]Plainstrider Scale[/b] dropped off an [b]Adult Plainstrider[/b] at exactly [b]36,38[/b].	Very nice killing quest but on an unlucky day it can be very annoying. Anyway, you have to kill [url=http://classicdb.ch/?npc=2956]Adult Plainstrider[/url] or [url=http://classicdb.ch/?npc=2957]Elder Plainstrider[/url] to get the Plainstrider Scale. I would recommend the Adult Plainstriders they are closest to the camp. You have to kill [url=http://classicdb.ch/?npc=3035]Flatland Cougar[/url] for the Flatland Cougar Femur. You have to kill [url=http://classicdb.ch/?npc=2958]Prairie Wolf[/url] , [url=http://classicdb.ch/?npc=2959]Prairie Stalker[/url] or [url=http://classicdb.ch/?npc=296000Rzc]Prairie Wolf Alpha[/url] to get Prairie Wolf Heart - again I would recommend the Prairie Wolf's because they are closest to the camp and only lvl 5-6. The Prairie Wolf Alphas are also needed for the quest [url=http://classicdb.ch/?quest=759]Wildmane Totem[/url] where you have to get some teeth from them. You have to kill [url=http://classicdb.ch/?npc=2969]Wiry Swoop[/url] , [url=http://classicdb.ch/?npc=2971]Taloned Swoop[/url] or [url=http://classicdb.ch/?npc=2970]Swoop[/url] to get the Swoop Gizzard. Here I would recommend the Wiry Swoop or Swoop because the others are too far away from the camp and those are also only lvl 5-9.	Easy quest, just kill wolf,birds,tigers. Bad droprate	the femur took me the longest about 45min, but I got to kill Mazzranache, (the rare plainstrider).	I've found a good deal of Cougar Femur at 56.60
/?quest=748	Poison Water	5	4	Both	450 XP	Kalimdor	Bring 6 Prairie Wolf Paws and 4 Plainstrider Talons to Mull Thunderhorn in Bloodhoof. Prairie Wolf Paw (6) Plainstrider Talon (4)	Do you have the paws and talons, <name>?	Mull Thunderhorn	Mull Thunderhorn	There are a number of both beasts around 54,63. Hope this helps.	This quest is available to all Taurens, regardless of class, only.	If your having trouble finding plainstriders that drop the talons try the area South and West of Bloodhoof.	They are everywhere, 36,54 is a good spot to start looking	I beleive this quest is Tauren only... thottbot has the tauren cleansing totem marked as usable only by Tauren so I think that means the quest is as well.
/?quest=767	Rite of Vision	6	3	Both	55 XP	Kalimdor	Speak with Zarlman Two-Moons in Bloodhoof Village.	N/A	Baine Bloodhoof	Zarlman Two-Moons	well is located at 53,66.&nbsp took me a while to find it for some reason	the Ambercon can be found at 55.66 and 57.77	jsut look under all trees that are three....	At level 60, I got 2 TB reputation for this quest.	i LIKE it
/?quest=771	Rite of Vision	7	3	Both	625 XP	Kalimdor	Collect 2 Well Stones and 2 Ambercorn and bring them back to Zarlman Two-Moons in Bloodhoof Village. Well Stone (2) Ambercorn (2)	Once you have gathered enough well stones from around the water wells and Ambercorn from beneath the trees, I will prepare the Water of the Seers for you.	Zarlman Two-Moons	Zarlman Two-Moons	32,36 It is located south west of ThunderBluff. If you look up on the side of the mountain, you will see a different feature that looks like blue rock.	The quest is bugged right now, no wolf shows up, you just have to run to the cave in the hills to the northwest of Bloodhoof.	Directly accross the road from the village you will see one of the spinning windmills with what looks like sails or flags on it the stones are there......Hope this helps	Directly accross the road from the village you will see one of the spinning windmills with what looks like sails or flags on it the stones are there......Hope this helps	This guest is working... just go near fire then use water then spirit wolf will spawn follow him if you somehow lost him or dont want follow him then go these coords 33,37(cave entrance) inside cave is tauren npc speak him. Guest done pretty easy one...
/?quest=772	Rite of Vision	7	3	Both	480 XP | Pick: [Rainwalker Boots, Sun-beaten Cloak]	Kalimdor	Consume the Water of the Seers in front of the tribal fire in Bloodhoof Village and follow the vision once it appears. Provided Item: Water of the Seers	N/A	Zarlman Two-Moons	Seer Wiserunner	If you've consumed the water by the fire, youu should see a Ghostly (water colored) Wolf step out of you. Follow him to the next stage of the quest. IF you did not get the wolf, proceed to 32,36 (north along the road, and up&nbsp a dirt trail to the mountains to a cave). There you will recieve the next step in the quest (inside the cave). Good Hunting.	It seems that you do not have to follow the wolf in order to complete the quest and so if you know of the location (32, 36) then you can simply just travel there and hand it in; useful for those doing these quests at a higher level for reputation.	1st step as said above 2st - 61:20 3rd - 59:51	leads you to a cave at (33,36)	There are 2 fires but only one is the Tribal fire this is at 47, 57 make sure u are at this one. After consuming the drink The Water coloured wolf should appear and come out of u, it howls and starts to walk to the next part of the quest which is in a cave at 33, 36. in the cave is the person to talk to for the next part.
