# Quest Data for Eastern Kingdoms - Stranglethorn Vale
# Generated: 2025-08-18 16:44:13
# Total quests: 113
# Comment scrape timestamp: 2025-08-18 17:29:03

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=610	"Pretty Boy" Duncan	39	32	Alliance	2250 XP	Eastern Kingdoms	Get Catelyn's dagger from 'Pretty Boy' Duncan. Catelyn's Blade	I'd never been beat before, you know, <name>? Sure I'd been cut, can't get in a knife fight without that, but he just smacked me on the side of the head, blacked me out. When I came to my blade was gone.As much as my nickname might indicate, I still need a knife to fight, and for me, it has to be that one.	Catelyn the Blade	Catelyn the Blade	found him at 27,70	If done carefully, you can pull each mob out surrounding him and kill them one by one. People often grind here, so if you're lucky Duncan may be all by himself. A useful tip is that if you're too lazy to kill the mobs around him yourself, or you're incapable of doing so, tag a mob and run back to Booty Bay. At the entrance of the tunnel to BB, there are 2 level 60 guards who will make quick work of the Pirates. This way, you can isolate Duncan easily.	Pretty Boy is a fairly easy kill, though he does tend to be in a camp with a few other mobs hovering nearby. Either take your time clearing the camp, or have a partner, and this is very easy. Just make sure the casters are taken out!	I just jumpt of the pier whre the boat leaves from..&nbsp short swim in the the bridge in front of the waterfall...&nbsp Pretty Boy is at the camp by the littel boat.&nbsp I had to try twice (the first time I got the hole bunch after me :S) but the second time I used a Frostbolt and pulled him out in the sea by himself.. And me - [b]a level 36 Mage[/b] - had no problem killing him at all!	Each of the mobs near his camp (27, 70) can be picked out one by one, this is easily soloable in the lower 40s. - SJ
/?quest=617	Akiris by the Bundle	43	38	Both	3600 XP | Item: Scorching Sash (1.4)	Eastern Kingdoms	Bring 10 Bundles of Akiris Reed to Privateer Bloads in Booty Bay. Akiris Reed (10)	If ya got no business with me, then move along, <name>.	Privateer Bloads	Privateer Bloads	26,62	Location - Beach 25, 60 killing the Naga Explorers lvl 43-44	There's a chest spawn in the ruins near the Wellspring fountain (before you cross the bridge it's on your left). I used a potion to stealth past most of the guards, killed the Naga by the chest and looted the chest. Then went on a killing spree picking off all the Naga in the area, by the time I had my 10 Akiri the chest had re-spawned :-) Overall the quest was well worth doing, at level 43 the fights were quite easy and the XP was good. There's Purple Lotus, Steelbloom and Stranglekelp in the area for herbalists. There's mithril veins for miners. Edited, Wed Apr 20 07:06:14 2005	The Akiris drop from the Naga on the island to the Northwest of BB.&nbsp Levels 43-44	Good to do with this quest: https://classicdb.ch/?quest=573
/?quest=623	Akiris by the Bundle	43	38	Alliance	2700 XP	Eastern Kingdoms	Bring a Bundle of Akiris Reeds to Privateer Groy in Theramore. Bundle of Akiris Reeds Provided Item: Bundle of Akiris Reeds	Yeah?	Privateer Bloads	Privateer Groy	Find him at 69,53 in Theramore	I got 2700 XP for completing this quest at level 42 in addition, my reputation with Booty Bay 'greatly increased'.	They're backwards, the other quest is the prerequisite for this one. :)	68,52. Right next to the Gryphon Master. 2700 XP for me (40 priest)	I wish they could fix whatever it is that makes drop rates so horribly variable from player to player, or time to time. Maybe its dependent on the phase of the moon over something. In any case, this leg of the quest was simple enough, getting the reeds is another matter. [i][small]Edited, May 16th 2007 8:33pm by jackv[/small][/i]
/?quest=603	Ansirem's Key	37	32	Alliance	1400 XP	Eastern Kingdoms	Talk to Catelyn in Booty Bay.	N/A	Archmage Ansirem Runeweaver	Catelyn the Blade	'It's not as though I can get by as a knife fighter with insults and a sharp tongue alone...' Anybody else think this is a nod to the insult swordfighting in the Monkey Island series?	She's in the INN - second floor.	Archmage Ansirem Runeweaver He is in Alterac Mountains 19,79	Quest doesn't show up for me, although I've seen others get it. Any other pre-reqs?	You do have to do Magical Analysis before you get this quest. Magical Analysis is part of the quest chain that starts with The Haunted Isle, which you pick up in Booty Bay.
/?quest=7838	Arena Grandmaster	55 PvP	1	Both	Item: Arena Grand Master	Eastern Kingdoms	Avast Lubber! Bring me 12 trinkets of the Arena Master. Arena Master (12)	Avast Lubber! Bring me 12 trinkets of the Arena Master.	Short John Mithril	Short John Mithril	This was how I accomplished this quest for my level 19 gnome twink, without any help from friends or multiple accounts: 1. First, I moved my 70 main and twink out to the arena in STV. 2. Secondly, I logged out my main on the edge of the arena so that he was not in neutral mode and could not be attacked by members of the same faction. I logged out my twink in the center of the arena. 3. I set an alarm for every 3rd hour when the arena starts. 4. Approximately five minutes before the arena started, I logged in my main and sweeped the edges of the arena with perception to catch any horde in the area before the arena even started. 5. When the chest was dropped, I ran into the arena and immediately began opening the chest. If there were any stealthers or other 70s nearby, they would challenge me and I would kill them (most of the time, anyway). After clearing all visible opposition, I opened the chest and took all items but the trinket itself. 6. I jumped on top of the chest and force quit WoW (Alt+f4). This had the advantage of leaving my 70 in the arena for approximately 45 seconds (your main will actually be in-game during step 7), deterring any ninjas or late arrivals from taking the chest. Simply logging out will leave ninjas with an easy grab. 7. I restarted wow and logged onto my twink. Having the advantage of being a tiny gnome female, I was able to actually log inside the chest, being invisible from the outside. If you are a different race, this may be more difficult, but hopefully your 70 main will be enough of a deterrent to allow you enough time to grab the trinket. 8. I logged out my twink, moved my main up to the edge again and waited another 3 hours to do it all over again. Using this method, I was successful 12 of 14 tries, which is an incredible success ratio considering the amount of competition from both 70s and lowbies. Happy hunting!	If you have few friends which are willing to help, you can get this for your twink, of course if you got one, since it's best twink trinket.	Just wondering do you turn in one arena master to get this quest or just turn in 12 arena masters to get the trinket?	Anyone know how much xp you get for turning in the quest? have about 10,000 xp to spare before my rogue lvls.	550 Exp at 19 K THX BAI
/?quest=7810	Arena Master	55 PvP	1	Both	550 XP	Eastern Kingdoms	Speak with Short John Mithril in the Stranglethorn Arena. Provided Item: Arena Master	N/A	Arena Master	Short John Mithril	Chest appears every 3 hours server time, 12:00, 3:00, 6:00 ect	While I am not positive, I believe that this quest leads to https://classicdb.ch/?quest=7838 It comes from the guy you turn these in to, and involves getting 11 more.	Yeah, the event happens every 3 hours, starts at about 12 in the morning and is reoccuring through-out the day.	[quote]Gains Upon completion of this quest you will gain: * 550 experience (or a 4 80 compensation at level 70) [/quote] My 23 warlock got 825 xp for turning this in - anyone who is budgeting xp should know that it's not 550 anymore.	any time is spawns past midnight there is hardly anyone around to get the chest; i have looted it 8 or 9 times all past midnight and no fighting had to be done to obtain the chest
/?quest=4621	Avast Ye, Admiral!	60	55	Both	9950 XP | Item: Bloodsail Admiral's Hat (1.11)	Eastern Kingdoms	Additional requirements to obtain this quest: Your reputation with Booty Bay must be lower than Neutral Slay Fleet Master Seahorn and Baron Revilgaz of Booty Bay, and then return to Fleet Master Firallon aboard the Crimson Veil off the coast of Stranglethorn Vale. Baron Revilgaz slain Fleet Master Seahorn slain Bloodsail Buccaneers (Friendly)	Yer back already, ya blasted tar! Haves ye done as I've ordered? Fail us, and ye will be walkin' the plank.Arrrrr...	Fleet Master Firallon	Fleet Master Firallon	Take note that you MUST be hated with Booty Bay in order to get this quest. There is a bug/exploit you can do to get to Friendly with Bloodsail and still be friendly with Booty Bay, but you will be unable to get this quest. Dont waste your time on the exploit. But get this hat, its very worth it for the novelty! Dont be afraid of goblin rep. You can reobtain that within hours with just about 200 gold by buying cloth and turning it in (or farm instances for it) YARR MATEYS!	For those that looked for more then just basic info on the quest Avast Ye, Admiral! I have 2 warnings you should heed. 1. On the way to the Inn is nasty business, many times along the way there are 'check points' where your presence will spawn bruisers who will immediatly aggro you. If you kill them, then try to eat, or even just take a breather, they will spawn ontop of you again, within a window of oh, lets say 5 seconds. With that in mind you need to KEEP MOVING. 2. You won't just get aggro from the Bruisers, I was also attacked by other NPCS on the way up. I was able to solo this but I died several times. You can spirit rez but most locations bring you right into combat. The one spot I found you could rez in without immediate aggro was the clear spot in the Inn, where there are 2 rooms , right after the bridge, and right before going up to a bruiser room and your intended targets. If you have died in the general area, and would like a place to not get instant aggro, this is it. The targets themselves were a joke, the bruisers are what is fierce. Remember keep in melee range, those guns will drop you in the ocean, send you to more bruisers. Very deadly. I recommend you bring pots and sat food because if your going to solo this every bit helps.	There are men in Naldir's Cove (southeast Bay in Arathi Highlands Jump from Thandol Span and Jump to it) that are from Booty Bay which give 5 rep. They are lvl 38-39 'Blackwater Deckhands'	After getting the pirate hat, go to https://classicdb.ch/npc=1016318 for a quest to rapidly restore your Goblin rep. That, or kill Venture Company goblins and be on good terms with both BB and Bloodsail, but that takes far, far longer :)	the bruisers on lvl 67 still give 25 rep
/?quest=1036	Avast Ye, Scallywag	60	55	Both	650 XP	Eastern Kingdoms	Additional requirements to obtain this quest: Your reputation with Booty Bay must be lower than Neutral Speak with Fleet Master Firallon aboard the Crimson Vale off the coast of Stranglethorn Vale. Bloodsail Buccaneers (Friendly)	N/A	'Pretty Boy' Duncan	Fleet Master Firallon	Take note that you MUST be hated with Booty Bay in order to get this quest. There is a bug/exploit you can do to get to Friendly with Bloodsail and still be friendly with Booty Bay, but you will be unable to get this quest. Dont waste your time on the exploit. But get this hat, its very worth it for the novelty! Dont be afraid of goblin rep. You can reobtain that within hours with just about 200 gold by buying cloth and turning it in (or farm instances for it) YARR MATEYS!	You can get this quest as low as level 55. I started trying to get this quest since I was level 41 and since checked back at 'Pretty Boy' Duncan to see if I could get this quest. You can farm Bloodsail rep at Faldir's Cove in Arathi Highlands if you want to finish this rep gain as early as lv 40. I started farming Bloodsail rep in Faldir's Cove at level 37.	Who gives this quest?	this will be long, seen as im hated by them :(	My shammy relly want that hat from 2nd quest. but cant find those things (my shammy is level 70. dinget in a little) :D
/?quest=204	Bad Medicine	34	30	Alliance	2700 XP | Pick: [Dalaran Sharp0, Guerrilla Cleaver]	Eastern Kingdoms	Bring 7 Jungle Remedies and 1 Venom Fern Extract to Sergeant Yohwa at the Rebel Camp. Jungle Remedy (7) Venom Fern Extract	I'm waiting on those remedies and that extract, <name>.	Sergeant Yohwa	Sergeant Yohwa	Hey guys just a word of warning! Please dont try to get the jungle remedies from the Medicine Men. The drop rate is very very poor and they are hard to kill. Instead get a mate and go into the cave. There you can kill loads of headshrinkers (perfect for combinong with the mission where u gotta kill a few of them) where the drop rate of jungle remedy from them is almost 100%. Hope this is useful!	[url=/quest=203]The Second Rebellion[/url] is no longer the prerequisite for the quest. This makes complete sense, since Kurzen Medicine Men & Kurzen Jungle Fighter stand so close to each other, it is pretty much a necessity to kill them both just to complete either one of these two quests. Needless to say, these two quests should be done together now. [:smile:] Edited, Sun Feb 26 00:02:57 2006	It's in one of the boxes near a campfire. Right click and it shoud come up for you. :)	The boxes with the Fern Extract can be found at 44,9 in front of the two-story house, 44,10 in the middle of the campfire area, or 45,9 next to the stables. The Medicine Men are a bit of a pain, because they'll heal themselves twice if you don't down them quick enough. If you've got spell interruption abilities, use them when they try to heal it'll make downing them a lot faster. Also, the drop rate on the Jungle Remedy is fairly low, you'll be killing quite a few of these guys.	loc 44,10 and very poor droprate :-(
/?quest=208	Big Game Hunter	43 Group	28	Both	5350 XP | Pick: [Master Hunter's Bow, Master Hunter's Rifle]	Eastern Kingdoms	Hemet Nesingwary wants you to bring him the head of King Bangalash, the great white tiger. Head of Bangalash Suggested Players [3]	I see you're back, old bloke. King Bangalash has caused me to come crawling back to camp many times. Hang in there.	Hemet Nesingwary	Hemet Nesingwary	If you can get a higher level to run you through the questlines Panther Mastery (https://classicdb.ch/?quest=190), Tiger Mastery (https://classicdb.ch/?quest=185), Raptor Mastery (https://classicdb.ch/?quest=194), and Big Game Hunter (https://classicdb.ch/?quest=208) you will get a very solid set of gear for a 29 twink hunter or for any other leather class.	He's at 38,34 at the top of the hill. Look for all the dead bodies and bones scattered around	Khyler 45 Paladin Alleria Hemet Nesingwary = Ernest Hemingway S.J Erigadin = J.D. Salinger Ajeck Rouack = Jack Kerouac BUT... Who are... Jaquilina Dramet? And Barnil Stonepot?	I completed this quest at level 41 and got 5350 XP and no reputation change.	up on small plateu near 36, 36.&nbsp many tigers and shadowmaw's near him.&nbsp i needed help at lvl 45.
