# Quest Data for Kalimdor - Thousand Needles
# Generated: 2025-08-18 16:50:16
# Total quests: 63
# Comment scrape timestamp: 2025-08-18 17:46:04

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=1175	A Bump in the Road	33	28	Both	2650 XP	Kalimdor	Kill 10 Saltstone Basilisks, 10 Saltstone Crystalhides and 6 Saltstone Gazers for Trackmaster Zherin on the Shimmering Flats. Saltstone Basilisk slain (10) Saltstone Crystalhide slain (10) Saltstone Gazer slain (6)	It's bad enough having to clear out the wreckage of the racers without having to pick them out of burnt animal parts.	Trackmaster Zherin	Trackmaster Zherin	Here is a lot of 'em. Gazer: 77,91 Crystalhide & Basilisk: 78,63	2650 XP at level 34 (when the quest is still yellow).	Both Sides. Minimum Level Required: 33 You get this quest from Taskmaster Zherin, You can find him at/around the following co-ords. (81,77) The best place to get your gazer kills at the shimmering flats is at/around the following co-ords. (80,87)	you can find lots of Saltstone Basilisks at 77,59	The gazers and crystalhide are at 76,87 The Basilisks are around 73,59
/?quest=4821	Alien Egg	26	24	Horde	2100 XP	Kalimdor	Return the Alien Egg to Hagar Lightninghoof in Freewind Post. Alien Egg	I must know more about this mysterious egg, who knows what will hatch from it.	Hagar Lightninghoof	Hagar Lightninghoof	The egg location wanders between three diferent locations. When someone picks up the egg from one location, it respawns at one of the others. As a result, if you can't find it in one location, look in one of the others.	This quest is a reference to Aliens. The reason the serpent kills the dog before it jumps is because in the movie (either one of the movies or the game, can't remember which) a newly hatched Alien feeds on dogs (and other such pet animals).	thats 55,52	The egg can spawn around 3 possible spots. 52,56 45,63 41,60	Found it at 56,50
/?quest=5088	Arikara	28 Group	24	Horde	2300 XP | Pick: [Brute Hammer, Stingshot Wand, Clink Shield]	Kalimdor	Slay Arikara. Bring her remains and the Incendia powder to Motega Firemane in Whitereach Post as proof of your deed. Light the Sacred Fire of Life Incendia Powder Arikara Serpent Skin Provided Item: Incendia Powder	Have you slain the vicious serpent Arikara, <name>?	Magatha Grimtotem	Motega Firemane	The start of the path up to Darkcloud Pinnacle was at 31, 37. Head to the pinnacle that the Fire is at 38, 35.	37,35 28 elite not difficult for lvl 30 mage. you can doo eet!	[28+] Arikara Incendia Powder: 0/1 Arikara Serpent Skin: 0/1 - ramp /31,36 / - open your bag right click to the [Incendia Powder] an push right sacred fire of life. -&nbsp Arikara Serpent Skin: 0/1&nbsp &nbsp /37,35 /&nbsp &nbsp monsters - end&nbsp / 21,32 / whitereach post in thousand needles	Just a note if you do this in a group. Each party member has to light the fire. I did this with one other person and we ended up having to fight Arikara twice, as we both had to light the fire to get the quest completed (and lighting the fire spawns Arikara). You might be able to have other party members light the fire while Arikara is already spawned, thus avoiding extra battles.	Solo with 32lvl Rogue. After the kill just jump to the lake next to hill. Fastest way to go down.
/?quest=4881	Assassination Plot	28	23	Horde	2300 XP	Kalimdor	Warn Kanati Greycloud at Whitereach Post of the plot to kill him. Provided Item: Assassination Note	N/A	Assassination Note	Kanati Greycloud	Coords are 21, 32 <or> just west of the Great Lift... (https://classicdb.ch/?npc=10617) - Walk west to main path... follow that north and you'll see it just up on the left. - Follow on quest has 3 lvl 27/28 attack. - I used a heal potion and was able to take care of them as a 33 hunter (w/o pet out, I was just passing through) Good Luck!	coordinates are just 21.32 so easy quest i did it with 31 mage only ...	As Alliance you can get the quest from the centaur messenger, but this is definately a horde only quest.... this npc is hostile towards alliance.	The Cords are 21.32 I completed this quest as a 27 Shaman with relative ease. Being buffed sure did help alot. Easy XP on this one!	Did it with a 30 priest. Put your curses on them then cast fear very easy. cor, are 21,32
/?quest=1118	Back to Booty Bay	43	35	Both	900 XP	Kalimdor	Bring Kravel's Scheme to Crank Fizzlebub in Booty Bay. Kravel's Scheme Provided Item: Kravel's Scheme	Hello hello. And what brings a noble <race> such as you down to Booty Bay?	Kravel Koalbeard	Crank Fizzlebub	Well, seeing as he talks about Zanzil, this chain is meant as a prerequisite to it, but I think you can get 'Zanzils Secret' anyway, as another quest of his. I guess he got the information about Zanzil from another player or something ^^.	900 XP at level 38.	Leads to https://classicdb.ch/?quest=1119 this quest has a 2 hour timer.	There's a prereq for this quest(Which is not listed). It's: http://classicdb.ch/?quest=1117 . Could a nice mod add this?	Is this the end of the quest chain?&nbsp I hadn't done Fizzlebubs 2 quests up to this point.&nbsp I wonder if I have to complete them both before it continues.&nbsp
/?quest=1114	Delivery to the Gnomes	36	30	Both	700 XP	Kalimdor	Bring the Delicate Car Parts to Fizzle Brassbolts in Shimmering Flats. Delicate Car Parts Provided Item: Delicate Car Parts	You have something for me? That's great! let's see it!	Kravel Koalbeard	Fizzle Brassbolts	700 xp at level 35. The monetary reward is tem silver, not the ten gold and ten silver that are stated here (sorry, guys).	If anyone needs the coords... you obviously havent looked behind you lol Thats like free money!	leads to http://classicdb.ch/?quest=1115	The pre-quest is Parts for Kravel http://classicdb.ch/?quest=1112	N/A
/?quest=1107	Encrusted Tail Fins	35 Group	28	Both	3450 XP	Kalimdor	Bring 10 Encrusted Tail Fins to Wizzle Brassbolts in the Shimmering Flats. Encrusted Tail Fin (10)	Do you have the tail fins? If I can't protect our car from its own speed, then it won't last long in these races.	Wizzle Brassbolts	Wizzle Brassbolts	27.23	So... at ~33 you gotta travel half way across the world, to fight MURLOCS, that are ELITE, UNDERWATER...then travel all the way back across the world, for about 3.5k xp and 75 silver? Do yourself a favor. Stay where you are, and grind. You'll make 10x the XP and cash in half the time. Most idiotic quest ever. This would be worth it if they gave you a nice green weapon maybe.	I soloed this quest at level 35 (as a paladin). I fought the level 36 warriors (elite) and they were fairly easy kills. Just keep your mana up and heal through it. Note that these are now the only murlocs that drop the Fin.	In strangehorn vale around 25,25	23, 25 The Vile Reef (in Stranglethorn Vale)
/?quest=5361	Family Tree	35	32	Horde	2050 XP	Kalimdor	Deliver Cliffwatcher Longhorn Report to Nataka Longhorn at Ghost Walker Post in Desolace. Cliffwatcher Longhorn Report Provided Item: Cliffwatcher Longhorn Report	What news have you, <class>! Ah - a message from my brother you say? Well then, hand over the report!	Cliffwatcher Longhorn	Nataka Longhorn	its in Ghost Walker Post you complete the quest, Desolace location 55,56	Journey to Stonetalon Mountain north of the Crossroads, and then head west into Charred Vale. From there, head south into Desolace there you will find a road going south to Ghost Walker Post.	you'll complete the quest in Ghost Walker Post , Desolace.. Coordinates about (55,55)	The cords are 55,55. middle of desolace	If you are in the habit of skipping stone talon mountains you can still get to Desolace by running from Thousand Needles through Feralas. There is only one road and no threats on it. Don't forget to get the flight point in Ferales if you do go this way. Not a short walk, but saves you time later.
/?quest=1394	Final Passage	36	25	Horde	4200 XP | Pick: [Windstorm Hammer, Dancing Flame]	Kalimdor	Speak to Dorn Plainstalker in Thousand Needles.	N/A	Parqual Fintallas	Dorn Plainstalker	for anyone who thinks that the quest rewards arnt worth the effort, how much of those 2 books did you read, or did you just thottbot the answers how much of the warcraft pre-text, do you know, or do you just thottbot it, for someone who has never been in this realm before this quest is ideal it teaches&nbsp them the backgeround of the wworld you are playing in, the dev team has put years into devoloping this world in which we play, and that seems to be forgotton in your race to lvl 60. excellent quest imo for those who want to learn about the enviroment that they spent so much time in.	All in all this chain quest gives: 17600 xp 500 rep with DsT 500 rep with Org 500 rep with SM 1400 rep with TB 725 rep with UC	You forget that not all quests have to end in good rewards. For a new player, these quests are invaluable. This is probably one of the first mentions of SM that a new player will find--thus they have motivation to go & explore. You also forget all of the experience across a large spectrum of levels for this chain. In short, relax.	I got this game because i wanted to continue the story of the last series. This quest chain does an Excellent job of explaining the previous games (or summing them up). and it was a nice refresher. For those who power-lvl through the game and don't pay any attention to the story what-so-ever you're not Getting your money's worth. the wand is a small step up, but still a step up from what i have. and i gladly accept it as my reward. if your an ignorant 13 year old that just wants to have the best lewt and wants to rip on blizzard and call people stupid $%s and such all the time, stop playing. [b] Oh and for the quest, run around UC til you find him, don't be lazy,&nbsp half the fun of the game is exploring, and to [/b][u]Experience [/u][b]everything they created and put into it. [/b]	This is just going back to talk to the original 'Test of..' quest giver... Remember he's in the cave in 1K... You talked to him for the 'Test of Faith' quest... Oh and Grats on getting this done...
/?quest=4904	Free at Last	29	25	Horde	2350 XP | Pick: [Windsong Cinch, Windsong Drape]	Kalimdor	Escort Lakota Windsong from the Darkcloud Pinnacle, and then talk to Thalia Amberhide at Freewind Post. Escort Lakota Windsong from the Darkcloud Pinnacle.	Thalia Amberhide:	Lakota Windsong	Thalia Amberhide	I read some of the posts saying the quest was bugged but its not. You have to escort Lakota out of the Village and then she will&nbsp disappear. From there, return to Freewind Post and speak with Thalia Amberhide who is inside of the Inn. Everything worked fine for me. Lvl 25 mage.	The spawn rate here is high, so you'll need to fight your way down even if you cleared the path on the way up. Additional mobs spawn when she reaches each plateau, but you can start pulling the respawned Grimtotems while still on the bridges to avoid fighting them all at once. Lakota disappears once you get to the bottom of Darkcloud cash in the quest in Freewind Post to get the reward.	Her respawn rate is slow: I got there right at someone else started and there was enough time for 3 repops before she came back. She stands just outside the hut near Arnak in case you get there and are waiting for her to return.	She can be found at 37.26 near hut.	Lvl 29 Druid and I handled it pretty easily.&nbsp I stayed in bear form the whole time except for the one heal I needed.
