# Quest Data for Eastern Kingdoms - Northshire Abbey (Elwynn Forest)
# Generated: 2025-08-18 16:45:59
# Total quests: 12
# Comment scrape timestamp: 2025-08-18 17:25:14

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=783	A Threat Within	1	1	Alliance	40 XP	Eastern Kingdoms	Speak with Marshal McBride.	N/A	Deputy Willem	Marshal McBride	N/A	N/A	N/A	N/A	N/A
/?quest=6	Bounty on Garrick Padfoot	5	2	Alliance	340 XP | Pick: [Tapered Pants, Layered Tunic, Ensign Cloak]	Eastern Kingdoms	Kill Garrick Padfoot and bring his head to Deputy Willem at Northshire Abbey. Garrick's Head	Did you find Garrick's shack? Are we finally free of that villain?	Deputy Willem	Deputy Willem	57,48	Garrick Padfoot is located at (57,48) in Northshire Vineyard. He's a level 5, and will have at least one other level 5 with him. He's next to a little shack, which is next to the mountains. Just kill him and take his head!	For those who don't have a coordinate add-on yet, or just want an extra hint, here's what worked for my lvl 5 warlock...enter the Defias area on the far right side by the river, where it meets the wall.&nbsp Consider the area as a U shape.&nbsp Start here: x U Follow the hillside as high up as you can get & you shouldn't attract much, if any, attention of those below.&nbsp At the bottom left of the U....xU..will be about as low as you will come to the Defias.&nbsp You may need to pause and wait until the current person on guard looks and walks away to continue your run. As you continue on the bottom part of the U, you'll eventually find that the hillside contours up and that there is a path behind the hillside that will lead you to Garrick's shack at the bottom right side of the U...Ux.&nbsp Here you can pause to reflect, buff up or whatever, before you start your battle. Garrick is lvl 5 and his thugmate is lvl 3.&nbsp Both will participate in the fight.&nbsp I returned the same way I came without any problems.&nbsp Good luck!	At the right side of the camp.. Al the way to the back.. There is a little wooden house.. There stands garrick and a female.	I can't imagine any class having a hard time with him, he is a level 5 with 1 add. Not quite as epic as our faction leader huh?
/?quest=18	Brotherhood of Thieves	4	2	Alliance	360 XP | Pick: [Militia Dagger, Militia Hammer, Militia Shortsword, Militia Warhammer, Militia Quarterstaff]	Eastern Kingdoms	Bring 12 Red Burlap Bandanas to Deputy Willem outside the Northshire Abbey. Red Burlap Bandana (12)	Have you gathered those bandanas for me yet?	Deputy Willem	Deputy Willem	the bandanas are across the river everywhere, you have to kill those defies thugs to get them the cords are different so one of them is 54.46	This quest is given in [url=http://classicdb.ch/?maps=12:474475479489487499493518461471453471443464432458426442426423426400426376426353426330432306446281461281479281492283437287507285518293532299544308546320559330568339590376573351582361602390602407602429602452602469599487591502580524433330553533538533522533509533496535591522436345433363433384]Northshire Valley[/url] at level two. No prequests are needed to pick this quest up.	+100 Stormwind rep Edited, Wed Mar 16 03:47:31 2005	54,44	N/A
/?quest=5261	Eagan Peltskinner	2	1	Alliance	85 XP	Eastern Kingdoms	Speak with Eagan Peltskinner.	N/A	Deputy Willem	Eagan Peltskinner	Deputy Willem will ask from you to speak with Eagan Peltskinner. To do that, go around the abbey and you will see Eagan. Speak with him and the quest if finished :). ------------------------------------------------- Last update - 4.2.2006 EntWarrior - Level 22 Human Warrior Mining - 51, Blacksmithing - 36 Guild - Phoenix Knights Server - Im playing on private servers because i dont have the money to buy the real game (im only 13 :D), but soon I'll have. The name of the private server is Knights Legion WoW server (you can find it on Wowstatus.net). =) About the private servers... Latency: Depends on how many people plays. But usually its about 300-400. Very bad. Population: 20-30 people online, always. Bugs: It has few more bugs than bliz server, but its still playable. ------------------------------------------------- I cant wait to get real WoW :). Edited, Sat Feb 4 02:19:26 2006	This is just another simple GO TO quest. Deputy Willem (loc. 48.2/42.9) instructs you to go and speak with Eagan Peltskinner (loc. 48.9/40.2) who is located on the western wall of the Northshire Abbey.	+50 Stormwind rep	N/A	N/A
/?quest=3905	Grape Manifest	4	2	Alliance	360 XP | Pick: [Wine-stained Cloak, Latched Belt]	Eastern Kingdoms	Bring the Grape Manifest to Brother Neals in Northshire Abbey. Grape Manifest Provided Item: Grape Manifest	You look to be in fine spirits! Come! Have a seat, and have a drink!	Milly Osworth	Brother Neals	Neals is at the top of the Northshire Abbey... in the tower. The spiral stairwell that leads to the top, is left of the entrance to the Hall of Arms. (Cosmos 49,42)	Once you've given Milly her grape buckets, she''ll direct you towards Brother Neals at the top of the Abbey. He'll take the Grape Manifest (Milly gives it to you), then give you a nice reward.	can anyone tell me where to find Brother Neals,im running up and down the abbey and cant see him.Is there any special thing i should know?	+100 Stormwind rep	i cant find the guy in the bell tower i walk up the round stairs in the abbey till i come to a wooden room but i think hes in a floor more up but i dunno how to get up there -_-' (Heeeeeeeeeeeeewp:S)
/?quest=15	Investigate Echo Ridge	3	1	Alliance	250 XP	Eastern Kingdoms	Kill 10 Kobold Workers, then report back to Marshal McBride. Kobold Worker slain (10)	Have you been to the mines? Are you ready to report?	Marshal McBride	Marshal McBride	Even though abit of Kobold Workers are mixed with Kobold Vermin in their camps around Northshire Valley, their biggest spawn site is infront of the Echo Ridge Mine. I did this quest there and got all 10 of them at 46.2/32.9.	Continue Quest Text (from Marshal McBride): 'Have you been to the mines? Are you ready to report?' Complete Quest Text (from Marshal McBride): 'I don't like hearing of all these kobolds in our mine. No good can come of this. Hear, take this as payment, and when you're ready, speak to me again. I would like you to go back to the mines one more time...'	[b]Location:[/b] Northshire Abbey 48.41 (To recieve and complete the quest). Northshire Valley 51.37 (Kobold Worke[b]rs). Description:[/b] Level 3. Also level 1-2 Kobold Vermin around. However, there is no proximity aggro here. [b]Experience:[/b] 250 [b]Reputation:[/b] 110 points with Stormwind [b]Character:[/b] Level 3 [b]Version:[/b] 1.8.4 Edited, Fri Dec 23 07:05:23 2005	+100 Stormwind rep	N/A
/?quest=7	Kobold Camp Cleanup	2	1	Alliance	170 XP	Eastern Kingdoms	Kill 10 Kobold Vermin, then return to Marshal McBride. Kobold Vermin slain (10)	How goes the hunting, <name>? Have you found and defeated those vermin?	Marshal McBride	Marshal McBride	How hard cud it possibly be...	looooooooooooooooooooooooooooool at that guy who posted his life story. easy quest, no problems	lmao to the guy with his life story im guessing hes about 12? spelling and also humans cant wear helmets because of the aloy? rofl! gg	After the completetion of A Threat Within [Green]Marshal McBride[/Green] will automatically display this quest. Accept it to begin this quest. 1. Leave the [Yellow]Northshire Abby[/Yellow] and head North (to the right). 1a. Head in that direction until you reach the corner of the first part of the castle (past three threes). Turn east (right) and you will spot [Green]Eagan Peltskinner [/Green] ([Silver]Coordinates: 49, 40 Elwynn Forest[/Silver]). He will offer you to start the quest [Orange]Wolves Across the Border[/Orange]. This is another easy quest that can be done at the same time. 2. Contune in that direction past all the wolves until you reach a camp ([Silver]Coordinates: 48, 36 Elwynn Forest[/Silver]). 3. Here you will see an assortment of Kobolds. You need the Kobold Vermin (level 1-2) which are dressed in red. Kill 10 of these. Note: Save everything you get from them! Then you can sell it to the merchant for some money. It may only be a few copper, but you will need it when you comes time to buy your skills. Don't buy anything at this point either. You gain about 50 experiance for killing level 1's and 52 experiance for killing level 2's. You should level by the time you have killed 10 of these. 4. Once you have killed 10 of these head back to the [Yellow]Northshire Abby [/Yellow] and talk to [Green]Marshal McBride [/Green] ([Silver]Coordinates: 48, 43 Elwynn Forest[/Silver]). He should be indicated on your map with a gold dot. [Blue] Money Gained: 25 copper Experience gained: 170. Reputation gained: 110 for Stormwind.[/Blue] This quest leads to [Orange]Investigate Echo Ridge [/Orange] as well as a class specific quest, [Orange]Consecrated Letter[/Orange].	Kobold Vermins can be found [url=http://classicdb.ch/?maps=12:502380507365497357490374477374487361]behind the Abbey[/url], scattered around those locations.
/?quest=3903	Milly Osworth	4	2	Alliance	35 XP	Eastern Kingdoms	Speak with Milly Osworth.	N/A	Deputy Willem	Milly Osworth	'brotherhood of thieves' is also a prerquisite for this quest	Complete Quest Text (from Milly Osworth): 'Oh, Deputy Willem told you to speak with me? He's a brave man and always willing to help, but his duties keep him stuck at Northshire Abbey and I'm afraid the problem I have today is beyond him. 'Perhaps you can help me?'	Only given after [url=http://classicdb.ch/?quest=18]Brotherhood of Thieves[/url] is handed in.	+10 Stormwind Rep	couldn't attain after wolf q
/?quest=3904	Milly's Harvest	4	2	Alliance	180 XP	Eastern Kingdoms	Bring 8 crates of Milly's Harvest to Milly Osworth at Northshire Abbey. Milly's Harvest (8)	Do you have my harvest, <name>?	Milly Osworth	Milly Osworth	Each one of the grape pots are guarded by one or two of the Defias, and they may not aggro until you attempt to open the pot. So to be safe and avoid interruption when opening, kill any Defias standing close by before trying to open one of the pots.	54,48	look in ur map , then you will see a little farm then go there and there will be little basket to loot.	54,48 is correct but if u dont have cosmos installed for the co-ords then u go to the little farm near northshire abbey and there are baskets of fruit, loot 8 of them, done	Am i the only on who thinks it wierd that first she says ' I gathered most of my grapes into buckets' but then, just in the next line, she says: 'Bring me those crates!' It's magic! Buckets turns into crates!
/?quest=54	Report to Goldshire	5	1	Alliance	230 XP | Item: Layered Tunic78	Eastern Kingdoms	Take Marshal McBride's Documents to Marshal Dughan in Goldshire. Marshal McBride's Documents Provided Item: Marshal McBride's Documents	You have word from McBride? Northshire is a garden compared to Elwynn Forest, but I wonder what Marshal McBride has to report.Here, let me have his papers...	Marshal McBride	Marshal Dughan	I dont know ho to do this i cant find him. can someone help me?	+50 Stormwind rep	This quest begins your chain of 'talk-to quests'.	Simply travel by road to Goldshire. If you see any enemies lower than your current level kill them to get some xp. There's also a crazy cat lady selling cats in her house. Stop by to get a cat pet if you ever wanted one.	N/A
