# Quest Data for Eastern Kingdoms - Westfall
# Generated: 2025-08-18 16:44:48
# Total quests: 35
# Comment scrape timestamp: 2025-08-18 17:32:07

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=6181	A Swift Message	10	10	Alliance	210 XP	Eastern Kingdoms	Bring Lewis' Note to Thor the gryphon master. Lewis' Note Provided Item: Lewis' Note	You look like you're in a hurry. Well, then you came to the right place!	Quartermaster Lewis	Thor	[ul] [li]Human version : [url=http://classicdb.ch/?quest=6181]A Swift Message[/url] [/li][li]Dwarven version : [url=http://classicdb.ch/?quest=6387]Honor Students[/url] [/li][li]Night Elf version : [url=http://classicdb.ch/?quest=6344]Nessa Shadowsong[/url] [/li][li]Draenei version : [url=http://classicdb.ch/?quest=9603]Beds, Bandages, and Beyond[/url] [/li]	I believe this short series is one of a particular type of quest that involves using gryphons/hippogriffs for the first time. For dwarves and gnomes, it would be Loch Modan and the 'Honor Students' series, and for night elves it would be the 'Nessa Shadowsong' series starting in Darnassus itself. I strongly believe that once you have completed one of these series, you cannot do the other two. My only question now is whether or not any of the three series would still be available if a particular character has already used a gryphon/hippogriff before doing one of them.	Where can i find the questgiver? coords?	Lewis is in the tower at 56, 47	Is it possible that this quest is for Humans only? Tried to get it with my Draenei Mage at lvl 24 and my Night Elven Priest at lvl 60.
/?quest=136	Captain Sander's Hidden Treasure	16	10	Both	575 XP	Eastern Kingdoms	Find Captain Sanders' footlocker and search it for the next clue. Provided Item: Captain Sander's Treasure Map	N/A	Captain Sander's Treasure Map	Captain's Footlocker	Drops from any Murloc at the Westfall coast/beach. The Cordinates: 1) 26,49. 2) 40,47. 3) 40,17. 4) 25,16. Final Reward: 1xSilver Bar. 8 Slot Bag called 'Captain Sander's Booty Bag'. Captain Sander's shirt. Captain Sander's sash (cloth waist - 16ac 2sta, 2spi). - Merowlin	first go to 26, 49 second&nbsp 40, 47 third 40, 17 fourth 25, 16	Horde can also get this quest along with every other captain sander's quests.	<done as mage, lvl 19) TO GET CAPTAIN SANDER'S MAP: Kill Old Murk-eye (highest drop rate), or murlocs in general. the harder the murloc, the better chance of drop. 4 PLACES:(in this order) 1) FOOTLOCKER (26, 49) Go west of Gold Coast Mine. Find the Anchor near the sunken ship on beach. 2) OLD BARREL: (40, 47) Go east of footlocker. Location is Northeast of Alexston Farm. 3) OLD JUG: (40,17) Go directly north. Location Northwest of Jangolode Mine, look for solitary windmill by coast. 4) LOCKED CHEST (25, 16). Directly west, past the sunken ship is an island with a small out-house thingy. it's there. enjoy.	Well worth the walk for the xp! Make sure to grab the murloc quest (https://classicdb.ch/?quest=152) from Captain Grayson before you go hunting for the treasure map to start the quest.
/?quest=138	Captain Sander's Hidden Treasure (Part 2)	16	10	Both	575 XP	Eastern Kingdoms	Find the old barrel near the ruined chimney and search it for your next clue. Provided Item: A Clue to Sander's Treasure	N/A	Captain's Footlocker	Broken Barrel	Location: (40,47) Its a broken-looking barrel on the side of the road. Its northeast of the Alexston FarmsteC by the ruins of a home or something similar.	The barrel is at 40,47 right along the road. Edited, Tue Dec 7 03:35:37 2004	is at 40.47	can confirm location 40.47	i saw thew broken barrel everyone is talking about thats within 2 feet from the chimney. thats the wrong one, theres annother barrel 5 feet NE from the chimney, right next to the fence, thats the right one
/?quest=139	Captain Sander's Hidden Treasure (Part 3)	16	10	Both	575 XP	Eastern Kingdoms	Search the empty jug next to the windmill for the next clue. Provided Item: Another Clue to Sander's Treasure	N/A	Broken Barrel	Old Jug	Location is 40, 17 by the log.	Location: (40,17) As stated in previous posts, it is next to a log. Head northwest past Jangolode Mine, and you'll see a tattered windmill. Behind the windmill is the log, which the jug rests next to.	Almost due north from the broken barrel. The windmill is just northwest of the Jangolode Mine and the jug is blue and next to a log. For those of you with coordinate addons, you can find it at 40,17	its a blue bottle on the ground next to a big logg,	The location is 40,17 on the dot. Remember in order to get this part you must have an open slot in your inventory for the piece of parchment recieved from the barrel in last step.
/?quest=140	Captain Sander's Hidden Treasure (Part 4)	16	10	Both	1150 XP | Item: Silver Bar | Item: Captain Sander's Shirt | Item: Captain Sander's Sash | Item: Captain Sander's Booty Bag	Eastern Kingdoms	Locate Captain Sanders' chest and open it for your reward. Provided Item: Final Clue to Sander's Treasure	N/A	Old Jug	Locked Chest	This may sound a little bit silly, but hang on to Captain Sander's Shirt (https://classicdb.ch/?item=3342) if you're into fishing. Why? Because it's one of the most styling shirts you can wear while fishing. What? You don't have a fishing outfit yet? -) This all started with Draznar's Fishing FAQ (http://wow.toshimo.com/viewtopic.php?t=272). In the FAQ, he highlights some of the more fashionable fishing items you can wear. When the addon 'Fishing Buddy' (http://ui.worldofwar.net/ui.php?id=1095) came out, he gave style points based on Draznar's Fishing FAQ. So if you want to maximize your 'style points', then you'll want to hang onto this shirt. Does this really DO anything for your fishing? No, but it is fun and makes fishing a little more interesting. :-) Here's a link to my fishing outfit - https://classicdb.ch/?screenshot=view&3.874917373	The chest can be found on the biggest island of three just west of the whiskey jug.	The horde can get this quest chain. I picked the shirt just because it is one of a kind, you dont see many people with it. The others can be replaced with ease	You can throw away all the clue items you get with each part of the chain after you're done, these are of no value other then RP.	This quest is multi-stepped. Step 1: Upon receiving the map the first thing I had to find was Captain Sander's Footlocker. Loc 25,47 - just SW of Gold Coast Quarry next to rusty anchor. Step 2: Find and old barrel near a burned out chimney. The barrel is located at 40,47 right along the road next to a broke piece of fence. Step 3 - Search the empty jug next to the windmill for the next clue. The windmill is west of Jangolode mine at Loc 40,17 sitting on some junk. Step 4 –Last step - Locate Captain Sanders' chest and open it for your reward. The chest is on the middle island NW of the Jangolode mines. Right next to a small building at Loc 26,17 and it is labeled 'locked chest'. I did not see any Mobs around the shack or on the island.
/?quest=6281	Continue to Stormwind	10	10	Alliance	420 XP	Eastern Kingdoms	Buy a gryphon ride from the gryphon master Thor, then bring Lewis' Note to Osric Strang, in the shop Limited Immunity, in the Old Town of Stormwind. Lewis' Note Provided Item: Lewis' Note	You've been traveling, eh? Have you been anywhere interesting?	Thor	Osric Strang	As has been stated in the comments of the other part of this quest chain, just take the Gryphon since you'll earn more than the fee to fly it.&nbsp You could spend that walking time killing stuff for XP and gold anyways.	74,47	You can find Osiric in the Old Town district of Stormwind in the armor shop at the eastmost corner of the district. His coordinates are 74, 47.	i can't find this guy anywhere....	Behold the power of searching. [url=/npc=1323][/url]
/?quest=6261	Dungar Longdrink	10	10	Alliance	210 XP	Eastern Kingdoms	Bring Osric's Crate to Dungar Longdrink the gryphon master. Osric's Crate Provided Item: Osric's Crate	Is that sweat on your brow, lad? You've been running too much. Next time, take a gryphon!	Osric Strang	Dungar Longdrink	Wont let me do quest level 10 paladin here.	Dungar Longdrink at 66,62.	N/A	N/A	N/A
/?quest=184	Furlbrow's Deed	9	8	Alliance	600 XP | Item: Ripe Watermelon 5 | Item: Small Pumpkin 5	Eastern Kingdoms	Bring Furlbrow's Deed to Farmer Furlbrow. Furlbrow's Deed Provided Item: Furlbrow's Deed	You have the deed to my farm?? That's good news! Some ruffians stole it days ago... I thought it was gone for good!Please, let me have it. We're on our way out of Westfall and ain't coming back any time soon, but if we do then we'll need those papers...	Westfall Deed	Farmer Furlbrow	You turn this in at 59.19 in Westfalls.&nbsp This is where you enter Westfalls from Elwynn forest	This is a pretty easy quest. The hardest part is catching the random drop of Furlbrow's Deed (https://classicdb.ch/?item=1972) in the first place. Kill enough Defias and you're sure to get one eventually however.	You have to right click on the deed to start the quest. I had no idea of that. Once I did it, it gave me the quest, and, since I was standing next to him, I was on the quest for like, 10 seconds.	This is found on a mob in the pumpkin patch	To get the item needed for to start the quest [item=1972] You will need to do a bit of farming on the defias bandits the drop chance aint super great so it might take you up to an hour depending on you're luck once you have the deed just click on it to begin and then head to farmer furlbrow by the bridge leading into westfall (westfall side)
/?quest=22	Goretusk Liver Pie	12	9	Alliance	900 XP | Item: Goretusk Liver Pie 3 | Item: Recipe: Goretusk Liver Pie	Eastern Kingdoms	Salma Saldean needs 8 Goretusk livers to make a Goretusk Liver Pie. Goretusk Liver (8)	All I need for my famous meat pie are 8 Goretusk Livers!	Salma Saldean	Salma Saldean	ok ive done this quets so many times but im wondering.....how do the frickin things survive without a liver! can any1 tell me it took me like 20 mins just to get one so i just said 4get it plz help tyvm	Perhaps the most annoying Alliance quest ever concieved, you have to kill the goretusks in the area to get their livers despite them having a small chance of dropping. Pretty easy though, just expect to spend some time on it.	The Goretusks around Stendel's Pond drop it like 70% of the time. It took me 5 minutes to get all 8!!	the livers drop about 5x more often if you're not on the quest	It took me like 30 mins to get 3 livers... then I got 4 in a row, the last a couple kills later. I dunno. I don't think the drop rate is all that good. But I farmed these in the middle of the farms, like how the road splits, I farmed in between the roads.
/?quest=103	Keeper of the Flame	16	10	Alliance	1150 XP | Pick: [Minor Mana Potion 3, Minor Healing Potion 3] | Item: Scroll of Intellect | Item: Scroll of Stamina	Eastern Kingdoms	Bring 5 Flasks of Oil to Captain Grayson at the Westfall Lighthouse. Flask of Oil (5)	The flame will not burn for long without oil, <name>.	Captain Grayson	Captain Grayson	The Harvest monsters can be found on the fields of the farmyards.&nbsp They are the mechanical monsters with Harvest in their name.&nbsp	You can get the flask of oil off of the Harvest watchers you kill in the earlyer quest 'The Killing Feilds'.	this quest is horde and alliance i did it with my tauren hunter	I found the lighthouse at 31.87	Harvest Wathers: 39,54
