# Quest Data for Kalimdor - Thunder Bluff
# Generated: 2025-08-18 16:48:04
# Total quests: 36
# Comment scrape timestamp: 2025-08-18 17:46:30

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=7822	A Donation of Mageweave	60	40	Horde	3300 XP	Kalimdor	Mageweave is running low, and we could use your help to replenish our stocks! By counting on the community as a whole, we would only need a donation of 60 pieces of mageweave cloth from you to enable us to reach our goal. Such generosity would not go unnoticed by Thunder Bluff, I assure you! If you have the sixty pieces of mageweave cloth on you and are ready to donate them, I'm able to take them from you now. Mageweave Cloth (60)	N/A	Rumstag Proudstrider	Rumstag Proudstrider	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	N/A	N/A	N/A	N/A
/?quest=7823	A Donation of Runecloth	60	50	Horde	6600 XP	Kalimdor	<name>, you've been a tremendous contributor to our cloth drive. As we work hard to replenish our reserves, one form of cloth remains critically low - runecloth. We are in absolutely dire need of it, and we hope that you will be able to help us as you have in the past! If you are willing, please bring me what runecloth you can spare. We'll initially accept a single donation of sixty, and then we'll go from there. Runecloth (60)	N/A	Rumstag Proudstrider	Rumstag Proudstrider	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race. After the initial hand-in, this quest becomes repeatable. For every stack you hand in (as opposed to the three stacks initially), you get the same amount of reputation per runecloth turned in as the original quest.	Initial turn in is 350 rep, each additional stack you turn in is 75 rep	I have been looking at Anonymous.com and here and I can`t find out who I have to give the cloth to. :( Help plz )	Note that while this says the Quest is Repeatable, the follow on Quest (called Additional Runecloth) requires only 20 Runecloth and gives 50 Rep and no XP.	Anyone know why the npc would not give this quest to my lvl60 player? I see the donation for silk, mageweave and wool only. None of the major cities have the quests for runecloth for me. Edit: Never mind. I have to do the other three donations first wool, silk, mageweave. And I have to choose the major city I want the faction for i guess. [i][small]Edited, Mar 31st 2007 3:44pm by jtbalogh[/small][/i]
/?quest=7821	A Donation of Silk	60	26	Horde	1650 XP	Kalimdor	As with most other fabrics, our stocks of silk are at an all-time low. Our stores are such that we'd only need sixty pieces of silk from you total; we should be able to reach our goal with the support of others. A benevolent gift such as silk, might I add, would certainly increase your local standing in the community! If you have the sixty pieces of silk cloth on you and are ready to donate them, I'm able to take them from you now. Silk Cloth (60)	N/A	Rumstag Proudstrider	Rumstag Proudstrider	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	This quest can only be done once (e.g. once for Darkspear Trolls, once for Orgrimmar and so on)	thu thun thunder , thunder, thunder THUNDER CATS WHOOOOOOOOOOOOOOOOOOOOOOOEEEEEEEEEEEEEEEEE	Minimal level is 26 to obtain quest.	N/A
/?quest=7820	A Donation of Wool	60	12	Horde	650 XP	Kalimdor	We are currently accepting donations for wool cloth. A donation of sixty pieces of wool cloth will net you full recognition by Thunder Bluff for your generous actions. Our stores are such on wool that we would only need sixty pieces from you total; we should be able to acquire enough from others in the realm to support our drive. If you have the sixty pieces of wool cloth on you and are ready to donate them, I'm able to take them from you now. Wool Cloth (60)	N/A	Rumstag Proudstrider	Rumstag Proudstrider	Each of the races has a seperate NPC that gives this quest. The NPC is usually located near the tailoring trainers in the race's capital. Turning in the quest to that race's NPC also gives you a significant amount of reputation for that race.	Thought I would save all my Wool Cloth up on my new Troll Shaman alt and donated it at lvl 24 when I had collected 60. I got all 60 by normal questing, no farming. Reward: 210xp and my Reputation with TB slightly increased. So do this much earlier or not at all )	Where can you get the wool?	Got the quest at lvl 12. 650XP and 350 rep. Same for all horde faction.	Damn. I think I'll sell my saved up wool then. I thought you would have got something cool. Guess not!
/?quest=2968	A Future Task	50	45	Horde	4700 XP	Kalimdor	Speak with Sage Truthseeker in Thunder Bluff.	N/A	Nara Wildmane	Sage Truthseeker	The quest line to obtain these rewards can be confusing, so here is a quick rundown on how to get to the end....on the Horde side. The Alliance side is almost exactly the same except it involves chatting up NPCs in Ironforge instead of Thunderbluff. [ol] [li]You can't start this quest line until you are level 40. The lineage is in 2 parts and the second part has a minimum level of 45. This is where a lot of folks get messed up......so start it at 40 and come back at 45 to finish it.[/li] [li]The first thing that has to be done is for the last boss in Uldaman ([url=/?npc=2748]Archaedas[/url]) to be killed by any group whether you are in it or not. It takes a minimum of 3 folks to summon him so don't get a single high level friend to run you through. 3 have to click on an altar to summon him and then he can be killed.[/li] [li]Once he dies a set of doors behind him open up into a closed room. Here is where the quest line will start. At this point, anyone in this group's instance level 40 or above can start the quest line. So if you have a level 40 alt you can log off your high level main, log on your alt, get invited to the group by its leader, and come in and start the quest line without having to have killed anything in the instance.[/li] [li]In the room is a pile of discs which you will click on. These are the [url=/?object=131474]Discs of Norgannon[/url] and you will click on them and take the quest offered.[/li] [li]Now you will be asked to talk to a Watcher. He will appear on the side of the room as a ghost and you MUST click on him and then click every page of comments he gives you until you get the Quest Completed notice. It is several pages of 'tell me more' 'how does this all affect us' sort of things. When done with him, go back and click on the Discs one more time and you will receive a miniature version of them in your pack. Make sure to have room and Do Not lose them. [/li] [li]Click on the discs in your pack or you may have already gotten the instructions (can't remember) to take the discs to: [url=/?npc=5387]Ironforge Explorers League[/url] if Alliance or [url=/?npc=3978]Sage Truthseeker[/url] in Thunder Bluff. I am Horde so the specifics will be for Horde. Alliance is the same with just NPCs being in Ironforge instead.[/li] [li]Sage will give you this quest: [url=/?quest=2440]The Platinum Discs[/url], where you will talk to [url=/?npc=3009]Bena Winterhoof[/url], the alchemy trainer in Thunderbluff, for your reward. The Alliance talk to [url=/?npc=7292]Dinita Stonemantle[/url], who is in the Bank in Ironforge, with the same type of quest and the same rewards.[/li] [li]Now here is The Key to Happiness for this quest line that messes up a lot of folks: The NPCs will tell you when they send you off to get your reward 'Come back and see me soon, there is much left to do!' This means in reality 'Come back to me at Level 45 or above and start the rest of the quest line!' So your minimum start was level 40 and now you must be 45 to come back to [url=http://classicdb.ch/?npc=5387]this quest[/url] for Alliance or [url=http://classicdb.ch/?npc=3978]this one[/url] for Horde to continue. Come back and you will get a quest called Portents of Uldum ([url= /?quest=2963]Horde[/url]) and [url=/?quest=2963]Alliance[/url]). These send you across Thunderbluff and Ironforge to one more NPC. They will tell you to head off to Uldum in Tanaris with this quest: [url=http://classicdb.ch/?quest=2946]Alliance[/url] and [url=http://classicdb.ch/?quest=2966]Horde[/url]. This quest is called Seeing What Happens and requires you to have your Discs with you so make sure you have it in your pack. Fly to Gadgetzan and head to a [url=/?object=142343]pedestal[/url] in the far south of the map.[/li] [li]This pedestal is to the left side of a gate surrounded by level 49 and 50 elite giants. It is at the base of a pillar/column. If you can stealth then just do your thing up to it along the side. If you can't stealth, then go around the left hand (as you face the gates) hills to a ruins called Southmoon Ruins. Directly in front of the ruins gate is a sand path up the hills at location [39, 78] Take this path up and you will come down the hill right at the pedestal/column. Wait for a pathing elite to walk on by, slowly come up to the pedestal until your cursor/gear will activate it. Activate it and another ghost [url=/?npc=7918]The Stone Watcher[/url] will appear and you will have to run through pages of conversation again clicking each page until you get Quest Complete. This is the quest for both sides: [url=http://classicdb.ch/?quest=2954]The Stone Watcher[/url]. Do it quickly as the pathing elite will come back by you. Now Do Not Forget to click the pedestal again!!! It will give you the quest back to Ironforge and Thunderbluff.[/li] [li][url=/?quest=2977]Alliance[/url] and [url=/?quest=2967]Horde[/url] are the pedestal quests it gives. You just go back to the NPC that sent you to Uldum, turn it in, take the quest to the next Ironforge/Thunderbluff NPC and get your rewards: [url=/?quest=2968]A Future Task[/url] for Horde and [url=/?quest=2964]A Future Task[/url] for Alliance. Now you know how to do it from front to back. Good luck and have fun. Rate the post up if it helped you.[/li] [/ol]	Very easy 2G and 4700 exp. Use the map here to find Sage: https://classicdb.ch/?npc=3978	Is it gonna be another 40-50 instance or another 70 one in tanaris?	Awesome lore so far... any clues what comes next?	i was excited to find out what is next, oh well i wonder how long till they implement uldum
/?quest=7825	Additional Runecloth	60	50	Horde		Kalimdor	Whenever you are ready to hand in the stack of runecloth, I'll accept it. Runecloth (20)	N/A	Rumstag Proudstrider	Rumstag Proudstrider	As of patch 2.0.x, you get 75 rep points per turn in. Friendly to Honored (6000 pts) = 80 stacks Honored to Revered (12000 pts) = 160 stacks Revered to Exalted (21000 pts) = 280 stacks	Here is a list of what you get when you do the hand ins. A Donation of Wool = 60x Wool Cloth (at lvl 50 you get 400 xp and 350 Thunder Bluff Rep). A Donation of Silk = 60x Silk Cloth (at lvl 50 you get 1000 xp and 350 Thunder Bluff Rep). A Donation of Mageweave = 60x Mageweave Cloth (at lvl 50 you get 2000 xp and 350 Thunder Bluff Rep). A Donation of Runecloth = 60x Runecloth Cloth (at lvl 50 you get 3950 xp and 350 Thunder Bluff Rep). Additional Runecloth = 20x Runecloth Cloth (at lvl 50 you get 75 Thunder Bluff Rep).	@Lvl60 Donation of Wool [60] (+150 Faction) Donation of Silk [60] (+150 Faction) Donation of Mageweave [60] (+150 Faction) Donation of Runecloth [60] (+150 Faction) Additional Runecloth [20] (+50 Faction) ( Additional Runecloth [60] (+150 Faction) )	That's correct, it's 75 rep per turn in. Turn in a stack and you get 75 rep. Let's say you wanted to get exalted from 0/6000 friendly. You would need exactly 39,000 reputation points (6000 till honored, 12000 till revered, and then 21000 till exalted) If it's 75 rep per stack, or per 20 Runecloth, then 39,000 divided by 75 is 520. You need to turn in this quest 520 times to get from 0/6000 friendly to attain exalted. Which means, go farm yourself 10,400 Runecloth! For humans, of course this is much easier because they get 10% more reputation points than you would regularly. If you're a human you get 82 rep per turn in (82.5 to be exact). So if you wanted to get from 0/6000 friendly to exalted AS A HUMAN... You need to turn in this quest only 472 times (472.7 if you wanted to be exact). Which = 9454 Runecloth. simple math, good luck	N/A
/?quest=3762	Assisting Arch Druid Runetotem	50	47	Horde	470 XP	Kalimdor	Speak with Arch Druid Hamuul Runetotem in Thunder Bluff.	N/A	Innkeeper Pala	Arch Druid Hamuul Runetotem	Leades to [quest=3761]	Hes at elder's rise	You will need 20 soil	N/A	N/A
/?quest=1066	Blood of Innocents	23	13	Horde	1850 XP	Kalimdor	Bring 5 Vials of Innocent Blood to Apothecary Lydon in Tarren Mill. Vial of Innocent Blood (5)	Did you find the Syndicate Shadow Mages, and collect from them the blood?	Apothecary Lydon	Apothecary Lydon	Leads to http://classicdb.ch/?quest=1067	There is no reason why you should enter Durnholde Keep to get the vials,there are 5 Shadow Mages that spawn at the Guard Tower right beyond the bridge next to Taren Mill,just sniper them,loot them and go home ^_^ (100% drop chance for me)...	76, 41 for durnholde keep.	Dropped by http://classicdb.ch/?npc=2244	For anyone else wondering, the tower mentioned is at 66,47
/?quest=1064	Forsaken Aid	18	13	Horde	340 XP	Kalimdor	Speak with Apothecary Zamah in the Pools of Vision in Thunder Bluff.	N/A	Magatha Grimtotem	Apothecary Zamah	Required Quests: https://classicdb.ch/?quest=1062 https://classicdb.ch/?quest=1063	Ok, a very easy quest, Zamah is at 23,21 and enterance to pools is at 30,30	N/A	N/A	N/A
/?quest=1136	Frostmaw	37	26	Horde	4250 XP | Item: Spirit Hunter Headdress	Kalimdor	Bring Frostmaw's Mane to Melor Stonehoof in Thunder Bluff. Frostmaw's Mane Provided Item: Kodo Skin Scroll	Have you been to the Alterac Mountains, <name>? Did you face the elusive Frostmaw?	Melor Stonehoof	Melor Stonehoof	This should combine all the previous comments into one meta-tip: You get this quest from Melor Stonehoof in TB after completing [30] Steelsnap. 1- Head to Tarren Mill and make sure to pick up [33] Helcular's Revenge, http://classicdb.ch/?quest=553, which takes you to the cave at Darrow Hill in Hillsbrad Foothills. 2- Head north towards the Alterac Mountains, in between The Headland and Corrahn's Dagger. Careful for the Alliance entrance to AV, as the guards will Kill on Sight. 3- Continue north, where you should look for the Growless Cave. Kill mountain lions until you loot a [Fresh Carcass], then proceed to the Flame of Uzel, (37, 66). 4- Clear the nearby Yetis in and around the cave, click the flames so you get credit for your other quest, then place the carcass on the Flame of Uzel. **Frostmaw will spawn outside the cave and after a few moments begin wandering in at a slow pace. **He has 1535 HP and does approximately 135 DPS.	You should have a scroll of Kobo skin in your bag, this will tell you how to call Frostmaw. First you must kill a lion in the area, and get the carcass. He is to the northwest of Tarren mill, you are in the correct area if there are lots of white yetis. There will be a cave, go into the cave and clear it. Then place the carcass of the lion on the fire in the cave. That will call Frostmaw.	Despite what the Kodo Skin Scroll says, the lion you kill for the carcass doesn't have to be a Hulking Mountain Lion. The regular Mountain Lions just south of the cave will do.	Easily soloed as lvl 35 holy priest. Follow the road going north of Tarren Mill till you hit Altarac Mountains, then go west and then south when you get to the yetis. The cave is southwest from there. Around 38'68 in Altarac Mountains if you use coords. Place the fresh carass (can be obtained by a lion in Hillsbrad) and wait for Frostmaw to come. Edited, Sun Apr 9 17:11:50 2006	Prerequisite is 'Steelsnap': http://classicdb.ch/?quest=1131
