# Quest Data for Eastern Kingdoms - Duskwood
# Generated: 2025-08-18 16:41:25
# Total quests: 79
# Comment scrape timestamp: 2025-08-18 17:21:08

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=231	A Daughter's Love	35	28	Alliance	1350 XP | Item: Archeus	Eastern Kingdoms	Take Sarah Ladimore's ring to Morgan Ladimore's grave. Sarah's Ring Provided Item: Sarah's Ring	Leave me be...	Watcher Ladimore	A Weathered Grave	Easy finding it if you have good directions. Go to Raven Hill Go north to Raven Hill cemetry head to the most northern house on the map or 1 you find it is the highest house as well you'll know when you have found it cus the screen goes blue and there are two torches just outside entrance to house. Once found, face north and align your self with the front of the house(the side with the entrance on) and walk north you cant miss it	Alliance Side Only Minimum Required Level: 28 Upon returning to the Grave where the whole chain started you will be rewarded. (Grave co-ords {17,29}) I would say that this was a excelent end to a great quest chain.	In my opinion, this is more of a paladin quest then the paladin quest for that hammer (though an RPers eyes anyway.) it doesn't feel right that as a paladin, you have to go out and get the supplies to give to someone so you can get a cool hammer. When you could do this quest and get a cool sword while doing a good deed (though to start off the paladin quest, you save someone's life and farm. But still) The weapons you get from both arn't too far off damage wise, and this has a cool proc (which as a SoC paladin, I like more than stats). The Hammer has 4 more max damage (same min) and is .1 faster than archeus, and it has 6 stam and some intelect (7?). I don't know the level on the hammer, but I know the level on archeus is 35, meening you can enchant it with the new enchants that can be gotten from BC. Meh, I guess it's just an opinion thing, but I think this quest is better as a paladin quest then the lvl 22 paladin quest, and the weapon is a better paladin weapon than the paladin weapon (and it's good in the hands of a warrior too XD)	The grave is just a small cross like tombstone sticking out of the ground. If you look at your map - start at the northwestern most building, the house icon, in raven hill and proceed due north - it will be a tad off to your right. If you see the shore you have gone too far.	Grave is at [b]18,29[/b]
/?quest=337	An Old History Book	25	20	Alliance	1500 XP	Eastern Kingdoms	Return the book: The History of Stormwind, to the Stormwind Library. An Old History Book Provided Item: An Old History Book	Ooh! What's that old book you have there? Can I see it??	An Old History Book	Milton Sheaf	It is a random drop in Duskwood. Nothing more needs to be said.	I got the book from a skeleton in the cemetary south of the town.. we had two drop in killing the 20 skeletons for a quest.	[b]/tloc 74,8[/b] in Stormwind Keep	loc. 74, 7.4 in Stormwind Keep. You then get a different quest once you turn the book in, called Southshore	Just for Easy Directions, When entering SW keep, take the first Left and keep right.
/?quest=325	Armed and Ready	29	20	Both	600 XP	Eastern Kingdoms	Bring Morbent's Bane to Sven in Duskwood. Morbent's Bane Provided Item: Morbent's Bane	Hello, <name>. You haven't been gone that long, but I see a fire in your eyes I did not see before.	Grimand Elmore	Sven Yorgen	[i]Whenever I need to get to Sven but I'm not in the area, I fly to Sentinal Hill in Westfall, and then just go north-east across the river, and then back. Sure beats running all the way from DS to Sven, who is located so damn far. [/i] Nice suggestion! that is a much faster way to getting to sven! and yes the confirmed location of sven is [b](7, 34)[/b] or the north western most part of darkshire p.s. i hated all the running from darkshire to raven hill! but i guess it was worth all the XP	Sven is in the most northwestern part of Darkshire. To get to him the quickest, fly to Sentinel Hill in Westfall and then go northeast across the river. It's faster than flying into Darkshire and setting out on foot to find him that way.	sven is the guy in north western corner of duskwood	You can find sven at x7, y36 on map.	Morbent has around 4 'helpers' in his room. They will all aggro if one does. Furthermore, when you reach the top of the stairs, if you can clearly see Morbent, he can see you and will aggro, bringing his friends with. They are Skeletal Raiders and such--the kind of thing you find in the surrounding graveyard. Just completed this with level 31 mage and a level 30 paladin, with a level 26 paladin doing nothing but cast heals. 30 Pal pulled all outside, we wiped out the helpers, then turned on Morbent.
/?quest=322	Blessed Arm	29	20	Both	1200 XP	Eastern Kingdoms	Take the Crate of Lightforge Ingots to Grimand Elmore in Stormwind. Crate of Lightforge Ingots Provided Item: Crate of Lightforge Ingots	How might I ply my craft for you, <class>?	Glorin Steelbrow	Grimand Elmore	Confirmed Location - 51, 12 (basically the same location as the first guy said) To those people without tloc he's in the north west part of the Dwarven District	Confirmed Location - 51, 12 in the north west part of the Dwarven District.	52,12	1200 xp. 50 Ironforge faction at Lvl 33. Grimand is in the dwarven part of Stormwind in a shop in a corner.	N/A
/?quest=253	Bride of the Embalmer	30 Group	20	Alliance	3650 XP | Item: Mantle of Honor | Item: Crest of Darkshire	Eastern Kingdoms	Find Eliza's grave. Retrieve the Embalmer's Heart from her, then return to Ello Ebonlocke. The Embalmer's Heart	Have you yet found Eliza's grave? Do you have the Embalmer's heart?	Lord Ello Ebonlocke	Lord Ello Ebonlocke	ok ive been reading most of these comments and alot of the same questions are being asked over or going unanswered so heres how it goes.&nbsp After delivering the letter, you take it to the mayor, and then to sirra von indi, just outside the mayors big room.&nbsp Sirra will take it then give u a quest to get it back from him after a minute.&nbsp Bring the translated note back to the mayor and he gives you the bride of the embalmer quest. CTMOD rates this quest as lvl 30+(lvl 30 monster with elite status)so you need a solid team to fight her or you need to be around lvl 30 and capable of handling her alone.&nbsp Go back to Abercrombie's shack and go around behind it.&nbsp youll find the burial site of his wife there and you right click it to summon her.&nbsp I am told she has up to 3 guards so be prepared in case that happens. After you kill her loot the heart and takeit back to the mayor, i think that is the end of the chain for good, but its been a while since ive done this and i havent killed the bride yet on my new warrior.&nbsp Also many people have said they get to keep the letter after the quest is over.&nbsp To my knowledge the letter is not important for anything and the rumors that you can use it to spawn stitches are false.&nbsp You can keep it with you or bank it if you really want but id probably just trash it since its not used for anything but this quest. edit: i just did this on my hunter at lvl 30.&nbsp Simply open the grave then run back a short distance so u have room to fight.&nbsp Let your pet tank her.&nbsp after 5-10 seconds she summoned 3 guards to fight but if you start putting all your ranged attacks into play except of course multi shot(DO NOT USE MULTISHOT) you can kill her before she takes out your pet.&nbsp I did end up dieing because she died at the same time as my pet and the guards killed me but i came back and ressed at my body quick enough to loot her before her body dissappeared.	I soloed this as a 28 shadow priest by using the terrain -- specifically, by jumping from the nearby cart onto Abercrombie's shack as soon as I opened the grave. Once you're on that building, the adds will completely ignore you, and it's just a shooting match with Eliza. After she was dead, the adds despawned within about ten seconds.	As a level 33 shadow priest, I believe it's possible to solo Eliza. I (as a level 33 shadow priest) was able to bring her to around 80% health, before a random Shaman jumped in to help and finish her off. But, to be honest, I did not need any help. Here is the synopsis of the strategy I used: 1) Run a little distance from grave after opening. 2) Shackle Eliza. 3) Mind blast Eliza. 4) repeat step 2 Here is the strategy in a little more detail. As many people have already mentioned above, Eliza does two things: She will cast frostbolt / frostnova and during the encounter she will summon three undead guardians, whom I believe are level 29. Because she will try to frostbolt you when you are out of melee range, the basic idea of my strategy was to cast a direct damage spell on her, then immediately shackle her before she can finish casting frostbolt. The shackling has the affects of interrupting her spell casting, allowing you some time to regenerate mana, and preventing her from summoning her undead friends. That's basically all there is to it. When she's shackled, she can't summon her friends. When she's casting frostbolt, she can't summon her friends. A few things to note. You want to cast a quick damage spell, like mind blast or smite. If you mind flay, you will probably not have the time to shackle her before her frostbolt finishes casting. You also don't want to use a spell like Shadow Word: Pain, for obvious reasons (You are using shackle!). You also probably want to wait for the 'Five Second Rule' http://www.wowwiki.com/Formulas:Mana_RegenFive_Second_Rule to fade so that you regenerate some mana. Else, if you decide to spam shackle / mind blast, you run the risk of running out of mana. Good luck.	cords 28,31&nbsp behing the shack	As with several other quests, like the Agent Kearnen rogue quest, [b]you get to keep the document[/b] (in this case a letter) afterwards.&nbsp You can choose whether to [u]hold onto it or get rid of it[/u].
/?quest=157	Deliver the Thread	24	20	Alliance	1450 XP	Eastern Kingdoms	Bring the Ghost Hair Thread to Abercrombie, in his shack north of the Raven Hill Cemetery. Ghost Hair Thread Provided Item: Ghost Hair Thread	I need to string the Ghost Hair Thread along my door and my windows to keep out unwanted spirits. Did you get it for me?	Madame Eva	Abercrombie	This thread delivers.	That Stitches thingy likes to hang out near the hermit's hut and I got aggro'd three times by him trying to give the thread to Abercrombie. So I gave up and came back a little later - he was gone and there wasn't any problem. Anyone else have this problem? >_>	His shack is at 28,31 for all those of you who use co-ords...	'Here is your thread, <name>. It has a thousand uses, from binding evil spirits to [b]sewing life into inanimate objects[/b].' This is the first hint that you are helping Abercrombie create Stitches, the elite abomination.	This thread truly delivers! No lie!
/?quest=164	Deliveries to Sven	23	17	Alliance	925 XP	Eastern Kingdoms	Deliver the supplies to Sven. Supplies for Sven Provided Item: Supplies for Sven	You look a sturdy type, <class>. Have you come to join our fight?	Elaine Carevin	Sven Yorgen	The NPC your looking for is called Sven Yorgen located @ 7,34 in Duskwood	The camp is at 7,33. For those who don't read them, the camp is at the top left hand corner of the land when you look at the map. Above Raven Hill.	He is the extreme NW corner of Duskwood. From Sentinhill in Westfall it is almost a straight line to him. If u look at your map you'll see an Island in the river. He is just SE of there. He is really really easy to find.	By the way, north of Sven's camp is a chest with some really nice items ...	It seems that if you meet Sven before doing the quest, you will never get this quest.
/?quest=254	Digging Through the Dirt	35	20	Both		Eastern Kingdoms	N/A	N/A	Eliza's Grave Dirt	Eliza's Grave Dirt	Soloed after patch 2.3 no longer elite. Sheonly summons one helper non-elite as well. Very easy now and This quest is repeatable after you complete it before you turn it in as you can see a blue question mark above her grave. I got a good drop from her after a few times. good luck!	I am not sure. I got the message 'Quest: Digging through the Dirt' completed when I approached the grave of Eliza, the embalmers wife in Duskwood, and she had not yet spawned, I searched the dirt, and got that message. Shortly after she spawned. I had the quest to kill her and retrieve her heart, however never got the quest to dig through the dirt, which seems like it may have been the pre-req for this quest in beta maybe? Maybe having never been updated. I did not gain any experience for it, either.	What's with this quest? No description whatsoever aside from title, zone, and level...And it doesn't show up on Anonymous. Does this even exist?	I've done this quest at level 26 or 27. I don't understand why it states level 35, because it's way easier than that. I think you won't even get xp for the quest at level 35.	N/A
/?quest=93	Dusky Crab Cakes	20	17	Alliance	775 XP | Item: Recipe: Gooey Spider Cake	Eastern Kingdoms	Gather 6 Gooey Spider Legs and bring them to Chef Grual in Darkshire. Gooey Spider Leg (6)	Hail, <name>. Did you get those Gooey Spider Legs yet?	Chef Grual	Chef Grual	Location is Duskwood (65,23), very low drop rate	The chance of drop is about 36% on all spider mobs In Duskwood, the quest is best stacked with the quests 'Eight-Legged Menaces' (https://classicdb.ch/?quest=245) and 'The Totem of Infliction' (https://classicdb.ch/?quest=101) The spiders for the quest are most heavily found around the north of Darkshire, by the river or to the very west.	Found the Black Widow Hatchlings Lvl 24 Dropped them almost every second one they are at 31 52 East Of Raven Hill	if your log says your q is completed but u cant turn in, try either of these: if its a collect-items quest, check your bank, if its not, try /Console ReloadUI	I got a higher drop rate from the green recluse spiders up there than the venom web spiders... just a hint...
/?quest=245	Eight-Legged Menaces	21	17	Alliance	1250 XP | Item: Night Watch Gauntlets	Eastern Kingdoms	Kill 15 Pygmy Venom Web Spiders, and then report back to Watcher Dodds in Duskwood. Pygmy Venom Web Spider slain (15)	You'd best be careful when dealing with the spiders, I've lost a few of my men to them, and trust me, it isn't a pleasant sight to see a man hanging upside down in their webs after the venom has started to soften them up.I wouldn't want to see one of the bugs having you for lunch.	Watcher Dodds	Watcher Dodds	This quest Is best done stacked with 'Dusky Crab Cakes' (https://classicdb.ch/?quest=93) For greater efficiency. This quest is found In central Duskwood, If you start in Darkshire and you havn't picked this quest up/compleated it yet, pick up 'Dusky Crab Cakes' from Chef Grual In the Darkshire Inn. The mobs in this quest also play a part in 'The totem of Infliction(https://classicdb.ch/?quest=101), which starts and ends at Madame Eva In Darkshire. The spiders can be found around the very north of the very west of Duskwood.	Plenty of them in the north west corner around Sven Yorgen and Lars in their camp. Approx cords are 10,40	These coordinates are correct, you can find the spiders along the border with Westfall, along with other kinds of spiders and wolves. Respawn rate isn't very high, so kill off other beasts to have them spawn quicker. Just run from south to north and back again a few times. Won't take you more than 20 minutes. Look around before you go after one if your level isn't very high, cause otherwise there'll be 3 spiders and a wolf on top of you in no time.	The Pygmy spiders are all along the riverbank between the bridge to Westfall and the bridge to Red Mtn., but mostly around the bridge to Westfall.	7.40
