# Quest Data for Kalimdor - Tanaris
# Generated: 2025-08-18 16:51:16
# Total quests: 94
# Comment scrape timestamp: 2025-08-18 17:43:26

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=2750	A Bad Egg	60	42	Both	525 XP	Kalimdor	These are the eggs that cannot be saved -- they will never hatch. Bad Egg	N/A	Curgle Cranklehop	Curgle Cranklehop	The egg lady has a blue Question Mark, so is this just a reputation quest? I'm sure not flying back and forth and running past those very aggressive Hippos for reputation with gadget or darnassus.	these eggs are located at 56,76 (using CT-Mod)	Repeatable for very slow reputation grinding	You get these eggs (extraordinary, Fine, Ordinary, Bad) in Feralas, south of the Ruins of Isildien. They are pretty much in the hills...They are called the Hipporyph eggs and those are the ones to collect, however you can only hold one at a time. You then take them back to the egg lady in Tanaris, and put it in the egg-o-matic. That will give you 1/4 of the eggs. Hand them in.	56,76 is the area you have to go. Reference http://classicdb.ch/?object=141931 for a map.
/?quest=2748	A Fine Egg	60	42	Both	2100 XP | Item: Box of Spells	Kalimdor	A fine egg is one that will, in ideal conditions, hatch free of the evil effects of the Gordunni ogres' incantations. Fine Egg	N/A	Curgle Cranklehop	Curgle Cranklehop	Oddly enough the Ordinary Egg rewards are generally better. Most people value food/drinks and potions over buff scrolls.	Now you that you have the Fine egg go to the female gnome next to the egg-omatic and she will take the egg and give you a box with some buff spells.	[url=http://classicdb.ch/?quest=2750]A Bad Egg[/url], [url=http://classicdb.ch/?quest=2749]An Ordinary Egg[/url], [url=http://classicdb.ch/?quest=2748]A Fine Egg[/url] and [url=http://classicdb.ch/?quest=2747]An Extraordinary Egg[/url] are the four egg-related quests offered by Curgle Cranklehop. To get the eggs, proceed to Feralas to the location of the [url=http://classicdb.ch/?object=141931]Hippogryph eggs[/url] and collect one, then return it to Curgle. Thank you to Alincoln for the egg location reference.	at level 42 got 4200xp for using the egg machine and +100 TB rep.	You get these eggs (extraordinary, Fine, Ordinary, Bad) in Feralas, south of the Ruins of Isildien. They are pretty much in the hills...They are called the Hipporyph eggs and those are the ones to collect, however you can only hold one at a time. You then take them back to the egg lady in Tanaris, and put it in the egg-o-matic. That will give you 1/4 of the eggs. Hand them in.
/?quest=8925	A Portable Power Source	60	58	Both	6600 XP	Kalimdor	Find Magma Lord Bokk in the Burning Steppes, obtain his Magma Core and bring it to Mux Manascrambler in Gadgetzan. Magma Core	Have you found the Magma Lord, <name>?	Mux Manascrambler	Mux Manascrambler	36, 58 Standard 60 elemental, not that much health. Pull carefully and adds dont follow. Hits plate for 80-100, approx 2 sec swing speed. Occasionally does nature damage for 600 per shot. Can also give knockback, so careful where you stand.	before you fly BACK from gadge to do this, go up to winterspring first and get the fel rod ( is a required item from the NEXT qwest in the chain) that way it saves one cross continent trip and you just have to go back to gadge once, you dont have to do them in order	Bokk was a tough fight for my warrior. He has an earth shock that does about 600 damage and can cast this every several seconds, a knockback, and a stun.	He is at 34,58 Easily soloable, he isn't immune to any magic either. Very easy and quick part to this long chain of quests :)	As i am writing this, i am on a flight to gagetzan, to turn in this quest, i also picked up up the Fel Elemental Rod earlier today. He is a easy lvl 60 element. His location is 36,58. Hes in a lava pool with about 6 other creatures. Dont worry bout the adds, just pull the boss, they will stay there. I brang a few health/mana pots with me, thinking this is gonna be a tough fight. To my suprise it wasn't. First, pull with faire fire, dps in cat form till u get about 30% in hp, Nature's swiftness + Healing touch, u might also want warstomp + regrowth, rejuvination, and finally, just dps the hell outta him in cat form. This fight took under a minute. Good Luck all Redbul 60 Feral/Resto Tauren Druid HAKKAR
/?quest=8928	A Shifty Merchant	60 Group	58	Both	3300 XP	Kalimdor	Search for an imp inside a cave at the entrance of Darkwhisper Gorge in southern Winterspring, purchase a Fel Elemental Rod and return to Mux Manascrambler in Gadgetzan. Fel Elemental Rod	Have you had any luck finding the imp in Darkwhisper Gorge?	Mux Manascrambler	Mux Manascrambler	Horde side leads to https://classicdb.ch/?quest=8978	Why do people keep asking 'is it worth it'? You do the math. Spend lots of gold and do tons of tough quests, all for gear that won't be worth !@$ when Burning Crusade comes out in a month from now. But I'm still doing it. Why? Just for the sake of completion, just to have all the 0.5 pieces and look cool in them, even though the stats aren't great at all compared to lvl 65 greens. Most people want a completed set, and this is a pretty fun way to do it, instead of getting 20 people together, killing a boss and hope that it'll drop the tier 1 or 2 piece that you're missing. I find the quest chain fun, so that's why I'm still doing it. Hope you have fun with your chain. Good luck Razia Horde Greymane	Leads to https://classicdb.ch/?quest=8977	Follow the road south from Everlook. When you get to the end of the snow where all the elites are, stay on the road and look [b]directly in front of you.[/b] The cave is up a small hill. There are two demons guarding each side of the road, go to their right along the side of the hill. Getting around the one right in front of the cave is easy, you just need patience to watch his path. Go around when it's clear. I aggroed him but had enough time to buy the rod and get out unharmed.	Coords are 58.78 axactly. Just mount up and sneek by easy as hell Only the 40h are a pain :)
/?quest=8922	A Supernatural Device	60	58	Alliance	6600 XP	Kalimdor	Bring the Sealed Blood Container to Mux Manascrambler inside Gadgetzan in Tanaris. Sealed Blood Container Provided Item: Sealed Blood Container	You've something for me?	Deliana	Mux Manascrambler	leads to: [quest=8921]	DON'T forget to buy the damned Fel Elemental Rod while you're getting the frozen ectoplasm. 3G 96S for completing this turn in quest.	I picked up this quest at 57 after doing Deliana's quest 'An Earnest Proposition' https://classicdb.ch/quest=8909	I can't fidn this little bas****.&nbsp Glitched?	when doing this quest i cruised all around gadgetzan tryign to find the mux guy and it wouldn't pop up on my mini map but the guy is located in one of the little huts to the northeastern of the town, (52,27) and i was able to continue
/?quest=8923	A Supernatural Device	60	58	Horde	6600 XP	Kalimdor	Take the Sealed Venom Container to Mux Manascrambler in Gadgetzan. Sealed Venom Container Provided Item: Sealed Venom Container	You wish to speak to me?	Mokvar	Mux Manascrambler	I question the logic of this series of D2 (T.5) quest upgrades. The bracers are an easy switch, but the following quests require a good amount of time and money. As far as gear goes, there are plenty of nice replacements for D2 in the standard non-raid instances at lvl 60. There are many rare quality items that will outperform the D2 set. As far as the time goes, you are most likely going to get more for your effort if you spend the time doing the BGs and getting some PvP gear either from rank or from rep with the different BG factions. If you are a crafter it will most likely be no problem to gather the mats for your epic crafting recipies WHILE you are running instances to get your D1 gear -- thereby skipping over D2 and going right for epics and other high end gear.	The plans for the arcanite converter can be found in Winterspring sodl by Xizzer Fizzbolt who is an Engineering Supplies trainer in Everlook	probly not worth going thru all the trouble of completing this quest with any non caster class.	is this chain required to acquire Deathmist?	There has to be a quest where you find the sealed blood container or is it just a drop quest? Or does the quest giver give you the sealed blood container? [i][small]Edited, Mar 21st 2007 7:54am by fourh[/small][/i]
/?quest=1157	Alexstrasza	60	30	Both		Kalimdor	TODO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
/?quest=2747	An Extraordinary Egg	60	42	Both	4200 XP | Item: Box of Goodies	Kalimdor	I have seen very few eggs retrieved from Feralas in extraordinary condition. These are eggs of the rarest sort... Extraordinary Egg	N/A	Curgle Cranklehop	Curgle Cranklehop	[url=http://classicdb.ch/?quest=2750]A Bad Egg[/url], [url=http://classicdb.ch/?quest=2749]An Ordinary Egg[/url], [url=http://classicdb.ch/?quest=2748]A Fine Egg[/url] and [url=http://classicdb.ch/?quest=2747]An Extraordinary Egg[/url] are the four egg-related quests offered by Curgle Cranklehop. To get the eggs, proceed to Feralas to the location of the [url=http://classicdb.ch/?object=141931]Hippogryph eggs[/url] and collect one, then return it to Curgle. Thank you to Alincoln for the egg location reference.	To do this quest, you need to first go to Feralas, and find a Hippogryph Egg. then take it to the Egg-o-matic outside the inn in Gadgetzan. You will then randomly get 'A bad Egg', 'An Ordinary Egg', 'A Fine Egg' or 'An Extraordinary Egg'. From turning it in at the gnome next to the Egg-o-matic, you get a box of reward with better contains, the better the quality of the egg.	Elaborating on Glais' recommendations: This is really in the Frayfeather Highlands. (makes sense since these are all Hippogryph-looking flying mobs) What you might want to do is use the following location macro (modified from wowwiki.com): /script px,py=GetPlayerMapPosition('player') /script DEFAULT_CHAT_FRAME:AddMessage(format('[ %s ] %s , %s',GetZoneText(),(px*100),py*100))) I use the 'X marks the spot' icon (in the middle of row 23 of the icons) I labeled this macro 'Location' Start just North of the small lake in the furthest SW corner of the map and move wouth then east along the hills. Some nest locations to get you started: 55.9, 76 56.7, 76.6 56.3, 77.4 53, 71.5 At Level 49: 1050 xp when receiving the Egg Crate from the Egg-o-Matic each time. 1050 xp when receiving the Box of Rations after handing in the Egg Crate from an Ordinary Egg. 2100 xp when receiving the Box of Spells (Agility II and Stamina III) after handing in the Egg Crate from Fine Egg. No reputation gain, but the quests are repeatable.(blue question mark). I'd go with hearthstoning in Gadgetzan, but it's a toss up whether you ride from Thalanar or take another hippogryph and come south from Feathermoon.	has anyone got these eggs i have no idea where to start	Because you have to go back and forth for this egg, I recommend having your hearthstone set to Gadetzan, same some of that flight money. Edited, Mon Jul 18 02:42:55 2005
/?quest=2749	An Ordinary Egg	60	42	Both	1050 XP | Item: Box of Rations	Kalimdor	Ordinary hippogryph eggs hatch about half the time. We do our best to nurture them and with a little luck, they will hatch. Ordinary Egg	N/A	Curgle Cranklehop	Curgle Cranklehop	[url=http://classicdb.ch/?quest=2750]A Bad Egg[/url], [url=http://classicdb.ch/?quest=2749]An Ordinary Egg[/url], [url=http://classicdb.ch/?quest=2748]A Fine Egg[/url] and [url=http://classicdb.ch/?quest=2747]An Extraordinary Egg[/url] are the four egg-related quests offered by Curgle Cranklehop. To get the eggs, proceed to Feralas to the location of the [url=http://classicdb.ch/?object=141931]Hippogryph eggs[/url] and collect one, then return it to Curgle. Thank you to Alincoln for the egg location reference.	After the recent patch, the egg lady was no longer attackable. Do you think these quests are available to Horde now? I want to know before I go out and farm 50 hippogryphs.	where is it? Anybody?	You get these eggs (extraordinary, Fine, Ordinary, Bad) in Feralas, south of the Ruins of Isildien. They are pretty much in the hills...They are called the Hipporyph eggs and those are the ones to collect, however you can only hold one at a time. You then take them back to the egg lady in Tanaris, and put it in the egg-o-matic. That will give you 1/4 of the eggs. Hand them in.	Image and co-ords here: http://www.blackcatfx.co.uk/wow/images/lang_english/hippogryph_egg.JPG
/?quest=841	Another Power Source?	46	38	Horde	Item: Model 4711-FTZ Power Source	Kalimdor	Bring 10 Wastewander Water Pouches to Chief Engineer Bilgewhizzle in Gadgetzan in exchange for another power source. Wastewander Water Pouch (10)	Well, have you got the ten water pouches?	Chief Engineer Bilgewhizzle	Chief Engineer Bilgewhizzle	This is the follow-up quest for Tanaris Field Sampling (https://classicdb.ch/quest=654) If you fail to do the Tanaris Field Sampling quest within the two hours given, this quest will give you another two hours. Note: If you completed the TFS quest, then try to turn in 10 Wastewander Water Pouches, you will [b]not[/b] get XP and you will [b]not[/b] get another quest from the Model 4711-FTZ Power Source.	I got the same message when I tried to right-click to begin the quest on the power source...&nbsp My feeling is that it probably doesn't begin the quest if you don't have the 'field testing kit' in your inventory (which I believe was turned in with the first power source, so it doesn't make sense if that's the case).&nbsp But that's assuming others are having the same situation I am:&nbsp That there's no more field testing kit in your bags.&nbsp Any replies?	What are the requirments for this quest? I completed it the first time when you had to collect all the samples in under an hour. But I get this one after collectign 10 water pouches and right on it and it say that i do not meet the requirements for this quest. Any idea? I am lvl 48 btw.	uh im pretty sure u can buy the field testing kits from the vendor in UC where u got the original quest from..	this quest don't give any exp :( (lvl 51, green).
