# Quest Data for Dungeons - Blackfathom Deeps
# Generated: 2025-08-18 16:54:24
# Total quests: 11
# Comment scrape timestamp: 2025-08-18 17:13:51

Quest Extension	Name	Level	Required Level	Faction	Rewards	Category	Instructions	Progress	Start	End	Comment1	Comment2	Comment3	Comment4	Comment5
/?quest=6564	Allegiance to the Old Gods	22 Dungeon	17	Horde	1750 XP	Dungeons	Bring the Damp Note to Je'neu Sancrea in Ashenvale. Damp Note Provided Item: Damp Note	Yes, <name>? What is it you need? There is still much I must learn about the crystals the naga are gathering.	Damp Note	Je'neu Sancrea	The coordinates to turn in are are [b]11,34[/b].	You can turn this in at Zoram'gar Outpost. The coordinates are (12,34)	Be sure to complete this quest before actually going into the instance, unless you're planning to go there again. I had a perfect run last night and got the followup where you need to kill Lorgus Jett inside Blackfathom Deeps.	The page drops of the Blackfathom Tide Priestess. They are on the way in to the BFD instance	Since the item is unique I think it is likely that you still had one somewhere possible in bank, or of course there is a bug causing the game to think you have it :)
/?quest=6565	Allegiance to the Old Gods	26 Dungeon	17	Horde	2650 XP | Pick: [Band of the Fist, Chestnut Mantle]	Dungeons	Kill Lorgus Jett in Blackfathom Deeps and then return to Je'neu Sancrea in Ashenvale. Lorgus Jett slain	Have you found him yet, <name>? Lorgus must be stopped!	Je'neu Sancrea	Je'neu Sancrea	N/A	N/A	N/A	N/A	N/A
/?quest=6921	Amongst the Ruins	27 Dungeon	21	Horde	2750 XP	Dungeons	Bring the Fathom Core to Je'neu Sancrea at Zoram'gar Outpost, Ashenvale. Fathom Core	Have you been successful in locating the fathom core? Without it we'll have no idea what the Twilight's Hammer is exactly up to down there.	Je'neu Sancrea	Je'neu Sancrea	The Fathom Core is actually under the water. The water area I am talking about is the part where the path actually makes walls for you to walk inbetween bodies of water.	The Fathom core is found as a lootable item called Fathom Stone, so don't let that fool you. When Barn Aquanis spawns, kill him and you get a Strange Water Globe, which leads you to the quest, http://classicdb.ch/?quest=6922 .	The Ruin's Fathom Stone is underwater, just in the big pool, before you arrive at the final big Boss location. You don't have to go inside the Big Boss walled room to find it, but it is underwater in previous pool, in central location, and looks like a small cone, parallelepiped. Doing this dungeon you will find 2 big pool location, one with a Big Turtle and, going to north, this other big pool area with ruins where you will find, going underwater, the Stone.	[url=http://i55.photobucket.com/albums/g131/sublimemota/Fathomstone.jpg]http://i55.photobucket.com/albums/g131/sublimemota/Fathomstone.jpg[/url] Watch out for Mobs when you open the stone, 3 came as soon as i opened the stone and killed me =)	if u wanna finish this quest any time today, listen to me: get to the turtle island, once ure there, keep moving south on the main ' path '&nbsp and eevntually it will lead u to a place where reach another big area, with an option to go to the water from the right, or go down the stairs on the left... u will realize is where im talking about if u notice that instead of monsters ure about to fight, u will see humans.. if u reached to that place.. u will see like a bridge... that cross the water to continuing of that path.. u need to go underwater THERE, and u will see the stone. right at the middle... again .. .once ure at the instance, just follow the MAIN path,dont go to the sides, its pointless.. u need to go south from the island with the turtle boss which im sure u got to.. south from there eventually will lead u to that placei&nbsp mentioned above. i hope this helps in any way at all, because none of those comments above helped me.. good luck to you. p.s u can solo it by stealth if ure lucky and the monsters didnt detect u.. wll take u like.. 15 minutes if it goes smooth ...
/?quest=1200	Blackfathom Villainy	27 Dungeon	18	Alliance	3300 XP | Pick: [Gravestone Scepter, Arctic Buckler]	Dungeons	Bring the head of Twilight Lord Kelris to Dawnwatcher Selgorm in Darnassus. Head of Kelris	Time is a precious commodity, <class>.My role here in Darnassus is to ensure that the Argent Dawn thrives and that the evil forces encroaching upon Kalimdor are thwarted.State your business quickly or be on your way.	Argent Guard Thaelrid	Dawnwatcher Selgorm	He is located above the Alchemists in Darnassus.&nbsp Have a guard mark the Alchemists Trainer and go to the second floor to find Selgorm	Clarification: Both Horde and Alliance can get this quest. Alliance can get in Darnassus BUT you don't have to go there first! Here's why --> Basically, the quest in Darnassus is to find the guy. You find him in BFD. The quest is completed. Done, done, done. He already has another quest, to kill the boss Kelris (which leads to your reward of the Gravestone Scepter or Artic Buckler). **Essentially, you do not have to go to Darnassus first. To find the guy to get the quest (for BOTH Horde and Alliance), whose name is Argent Guard Thaelrid, you have to see where the turtle boss is (Ghamoo-ra) and check the nodes. Check this link: https://classicdb.ch/zone=92 and look at where Thaelrid's name is. You only need to kill Kelris. You can also have the person running you clear everything prior to Kelris. You just need to be there to loot the head. (If the rewards were all you wanted, you do not have to light/gear the fires. It sends&nbsp aves for each fire lit and mobs come. That activates the door for the hydra boss. You can just leave after looting the head) TURN IN: for Alliance, it's the Argent Dawn person at the Craftsmen Terrance in Darnassus. For Horde, it's at Elder Rise at Thunderbluff. Look for yellow dot! Have fun.	I did this witha group the other night and it didnt go to well but i came out of it with a few tips for every one. First off you gotta get to the npc to get the quest. He is hidden pretty well, you have to go under the water in the room with Ghamoo-ra and the other turtles to find him. after that work your way through the rest of the dungeon till it opens up into ruins, here where it got messy for us. First off have some one stick to healing while every one else fights. Make sure every one is fighting the same guy as many guys will pile up on you pretty fast but if you take them one at a time the adds will really mean nothing. do this till you get to the building in the back of this area that you can go into. This is where we got fed up with this place... First you gotta clear the entire inside of the place of any thing that isnt Kelris, this is key cause Kelris is very hard to fight with adds and his AoE sleep effect will end up being the death of the group, i know this for sure casue it was the case with ours... after that just go after Kelris and hope to god you are at enough of a range that you gont get sleeped. you should be able to take him out if he's the only guy left. other thing to note is the fact that if yuo die you have to go back through the cave again but when you pass through the portal you will be automaticly revived. if to long a time has passed this will respawn but it does take a very long time for this to happen and will be very annoying if it does. Hope this helps every one and i hope to get back in there to get this guys head! Edited, Mon Jan 17 12:58:31 2005	U can find a map over all the mobs and the whole instance at this ardess: http://wow.tentonhammer.com/files/gallery/albums/Blackfathom-Deeps/BFD_Map.jpg	If your a twink and worried about getting too much exp just pick it up inside the instance, you do not need to have gotten the first quest to get it so you save 2.4k experience.
/?quest=6561	Blackfathom Villainy	27 Dungeon	18	Horde	3300 XP | Pick: [Gravestone Scepter, Arctic Buckler]	Dungeons	Bring the head of Twilight Lord Kelris to Bashana Runetotem in Thunder Bluff. Head of Kelris	May the Earthmother be with you, <name>.Peace between the earth and all her people should be our goal. She has a grand plan for nature, and we all have a role to play in that plan.	Argent Guard Thaelrid	Bashana Runetotem	Bashana can be found at 71,34 on the Elder Rise.	For Horde, you can not go to the alliance town (Darnassus). You can still get this quest, but you pick it up from the guard himself in Blackfathom Deep. You will find him on the ground next to a campfire in a small room off of the room with the named turtle. The named turtle room has 4 exits: 1. The one you came in from the entrance 2. Clockwise from that is the way to move on to the rest of the instance 3. Clockwise from 2. is the room with the guard and campfire 4. Clockwise from 3. is the room with the named naga boss. Note also this room has no spawn, so it is a safe place to go afk, logout, etc.	The mob you're looking for is in Blackfathom Deeps. There are actually two ways to start this quest. One is in ThunderBluff. The other is actually 'inside' of Blackfathom, off a horde mob near the 'giant turtle' room. You loot his dead corpse and the quest starts if you haven't already done it. The turn in NPC is in the horde outpost on the west shores of Ashenvale.	This boss is at the back of the instance, beyond all the cultist mobs. He is...doing something (channelling?) at an altar in the middle of a large room. You can fight around him, just don't get too close or he will 'wake up'. Be sure to clear all the Twilight Hammer mobs from the room before you start. Kelris is not that hard by himself. His only real trick is to cast Sleep. If you are doing this instance under-manned, that might cause problems. Rumor has it that if you attempt to fight Kelris without first getting the Blessing of Blackfathom (from the Murloc altar earlier in the instance), he has the ability to mind control your character, thus making them activate the flames around his altar, which in turn summons waves of enemies. I have not yet fought Kelris without the Blessing, however, so I can't confirm. Once you beat Kelris, you can activate the flames at the four corners of the altar to open the way to the final area. Each flame will summon monsters, so use one flame then clear out the enemies it summons. Use the next flame and so on. Don't use all four flames in quick succession or you'll be swarmed. I highly recommend casters do this quest as early as they can, especially if you intend to do any wanding. The wand you can get as a reward is as good a level 32-34 green wand.	Did this yesterday with a full group, 26war, 23pala, 24priest(me), 23hunter, 24Mage. We went through this verry easy, after a while we lost the hunter due to connection problems on his side, so from the murloc boss till end we had it 4manned.. Went really well, although I as priest had to stick to healing only. Sometimes the mobs just pile up like mad and you will have alot of add-ons to worry about. as a 24 priest I always had atleast 800 mana left out of my 1.5k total. (+78 healing gear though). A pala is verry usefull for Blessing of Wisdom, combine it with a minor mana oil or something like that and you'll keep your mana good most of time, usefull during fights. You'll get a blessing from the stone at the murloc boss which will help you against Kel'ris. However, never light all the 4 candles at once. you'll whipe within a minute ^^ Kel'ris room must be cleared completely before you take him. Just let a hunter or warrior with range carefully pull 1 or 2 at a time (or more if your group can handle). Then you should be fine.. Just dispel the sleeped party members and he should be down pretty fast. We killed him verry easy and fast..
/?quest=1198	In Search of Thaelrid	24 Dungeon	18	Alliance	2400 XP	Dungeons	Seek out Argent Guard Thaelrid in Blackfathom Deeps.	N/A	Dawnwatcher Shaedlass	Argent Guard Thaelrid	Actually, I was able to confirm yesterday that Horde characters can indeed obtain the quest from Dawnwatcher Shaedlass in Darnassus.&nbsp She is a neutral faction in the middle of the city.&nbsp You just have to either raid the city to get there, or just corpse hop all the way to her.&nbsp Once there, rez and talk and accept the quest before the guards kill you again.	This quest is also available to Horde, though the questgiver is a bit out of the way. (And, of course, it doesn't grant the Darnassus rep.)	In the room with the turtle boss, there is a cave (past the turtle platform). You have to swim underwater to get to it. Thaelrid is in there. (Look for the dot on your map.) Note that this is not the same cave as the one that holds Lady Sarevess (http://classicdb.ch/?npc=4831) which is farther to the right.	Thaelrid is southwest of the turle pond: http://www.videogamemaps.net/wow/maps/Blackfathom%20Deeps%20-%20Mephea.jpg (D'oh..wish I'd known that before I travelled all the way to the end and mistakenly teleported out)	Confirmed it is possible for a patient orc to get the quest in Darnassus.
/?quest=971	Knowledge in the Deeps	23 Dungeon	10	Alliance	2750 XP | Item: Sustaining Ring	Dungeons	Bring the Lorgalis Manuscript to Gerrig Bonegrip in the Forlorn Cavern in Ironforge. Lorgalis Manuscript	The journey to Ashenvale is long, and your task is not easy. But if you get me the manuscript, <name>...then your reward will be great.	Gerrig Bonegrip	Gerrig Bonegrip	When entering the area of The Pool of Ask'ar where Ghamoo-ra is located make an immediate right. On the radar you will notice an outward extention of the pool. This is NOT a cave. The next one over is. Swim to the extention area and you will find a chest down on the bottom guarded by a Naga or 2. Kill them and open the chest to find the Lorgalis Manuscript.	This is located in a specific chest. The chest is just to your right as you enter the room with turtles. It is under the water in the alcove just to the right on the North end. There are a few single pull naga which must be killed.	Blackfathom Deep is located inside the Zoram Strand, which is the NW corner of Ashenvale. It is full of lvl 20-25 elite nagas and satyrs, some of which are rogues and hide. If you are travelling from Auberdine, head south till you hit ashenvale, then turn west and go to the beach, it is located inside a ruin, the only one you can jump down into water in. Have to go underwater a very short distance to get to the mobs. The instanced zone inside is at the very bottom, and would highly suggest taking a full group of 20+'s with you to get to. Even the crabs in the instanced zone are 20+ elites.	MAP: http://classicdb.ch/?maps=719:291269	It's in the Zoram Strand.&nbsp Which is the extreme northwest of Ashenvale.&nbsp On the shore of the ocean.&nbsp Hope this helps.
/?quest=1275	Researching the Corruption	24 Dungeon	18	Alliance	2400 XP | Pick: [Beetle Clasps, Prelacy Cape]	Dungeons	Gershala Nightwhisper in Auberdine wants 8 Corrupt Brain stems. Corrupted Brain Stem (8)	Once I have enough samples to study, my true work can begin. With the corrupted brain stems of both the satyr and naga of Blackfathom Deeps I can try to draw a correlation between the mutations.Perhaps with that gained knowledge we can prevent the blood elves from delving deeper into deformity and evil.	Gershala Nightwhisper	Gershala Nightwhisper	Blackfathom Depths is a dungeon found in the Zoram Strand (on the west shore of Ashenvale).&nbsp Head to the northen part of the Zoram Strand and look for a building that has been flooded with water.&nbsp Dive down in the water and swim under the wall to enter the dungeon. The dungeon contains elite satyrs and nagas,&nbsp levels 20-22.	The dungeon is located at the end of the road to Zoram Strand, in northwest Ashenvale. Just jump into the well. The mobs are all located in the entrance area and no need to go into the instance. They're 20-23 elites and they kill like 28-29's so be at least mid 20's before trying this solo. Edited, Fri Jun 9 15:36:22 2006	Quest was modified, only requires 8 of the brainstems as of completing it last night. For the safest way to grind this out, camp these next to the instance zone, so that if you get overrun, you can just zone it. Be warned though, if you hit instanced zoneline as a whisp it will send you back to the GY.	Interestingly, Gershala's theories have been confirmed with the introduction of the Sunwell and it's [url=http://www.wowwiki.com/Felblood]Felblood[/url].	i just read all the comments here and have figured out that you cannot get it if you have done a quest called precious and fragile things break easy (or something) which is a low lvl quest in the draeneii starting area, so most if not all draeneii will have completed it and as such cant get it this seems to be a bug that blizzard is working on, i myself am a lvl31 draenei mage who is currently grinding darnasus rep to get a nightsaber (dont want an elek) but i do remember getting the quest from argos and then getting a do not meet requirements message when i tried to get this quest, hope they fix it soon.
/?quest=6563	The Essence of Aku'Mai	22 Dungeon	17	Horde	1750 XP	Dungeons	Bring 20 Sapphires of Aku'Mai to Je'neu Sancrea in Ashenvale. Sapphire of Aku'Mai (20)	How goes your search for the crystals, <name>? Have you witnessed the naga harvesting them? I pray to my ancestors we find the reason they are collecting such things.	Je'neu Sancrea	Je'neu Sancrea	These are pulled from the blue crystals that appear in the tunnels leading up to the instance, not inside the instance itself. They respawn quicker than the monsters do, so if you (or a group headed for the instance) can clear a small area, you can harvest multiple crystals.	The are located at ruins at 13,14 in Ashenvale (Zoram Strand)&nbsp You have to go into the ruins and then down a bunch of stairs, swim under water to get to the other side of a wall. THere are lvl 21 Elites. I was able to solo it with my lvl 27&nbsp Gained 1750 exp and 17 Silver.&nbsp Check on the wals for the essence. And my name will be written in the Book Of Legends	I soloed the begining with my level 24 hunter without to many troubles. However I did the mistake of going deeper: don't do that. Sooner or later 3 mobs simultanuously attack you, and then the only solution is resurecting at the cemetery.	If you're a stealther, you can sneak past the first elites, then go to the pool of water to the left. At 43.8, 34.8, there's an unguarded crystal node.	They spawn also outside the instance
/?quest=6562	Trouble in the Deeps	22 Dungeon	17	Horde	440 XP	Dungeons	Speak to Je'neu Sancrea in Ashenvale.	N/A	Tsunaman	Je'neu Sancrea	This quest is a skippable introduction to The Essence of Aku'Mai (http://classicdb.ch/?quest=6563). If you don't plan to go to Stonetalon Mountains already, you can save some time and skip straight to Ashenvale.	Alright people, its really simple.&nbsp all you have to do is look.&nbsp Just follow the road west into ashenvale and its at the very corner of ashanevale. The Coordinates to Je'Neu Sancrea are 12,34 Ashenvale forest	It appears this is no longer needed to obtain The Essence of Aku'mai quest in Zoram Strand. Perhaps it was changed because Tsunaman is difficult to find I doubt I would have known he was there if I weren't looking for him. He does still give a quest, just not this one (at least not if you already have The Essence of Aku'mai). If you want to find him, he is up a steep path that leads off the south road into Sun Rock Retreat. As you are entering the town, the path will be on your left.	N/A	N/A
